key	verdict	reason
P2-24450-hu	AGREE	retranslation matches incl very light; predicate adjective gap
P2-25189-cz	AGREE	Stěna -> Deska (board); nothing else changed
P2-25189-sk	AGREE	Stena -> Doska (board); nothing else changed
P2-25189-ua	AGREE	Стіна -> Дошка (board); nothing else changed
P2-25312-hu	AGREE	verb vár added; gap intact
P2-26971-ua	AGREE	Вони мають grammatical; distractors має/мати wrong
P2-32226-ua	AGREE	занадто багато fixes the doubling; duplicate distractor replaced
P2-35746-cz	AGREE	budou (they); duplicate distractor replaced with wrong-case 3 míčků
P2-35746-sk	AGREE	budú (they); duplicate distractor replaced with wrong-case 3 loptičiek
P2-39231-cz	AGREE	na pánvi = in the pan
P2-39231-sk	AGREE	na panvici = in the pan
P2-39474-hu	AGREE	habnak köszönhetően = thanks to; distractors ungrammatical after dative
