key	exercise_id	lang	mode	intro_text	correct_answer	distractor_1	distractor_2	note
P2-17212-hu	17212	hu	PATCH	A barna ló ... a széles zöld sztyeppén.	nyugodt	nyugodtak	nyugodtabb	dropped tegnap/volt (present); no 3sg copula, gap on nyugodt
P2-17381-hu	17381	hu	RETRANSLATE	A jégkorong gyors ... a hideg jégen.	játék	játékok	játékot	retranslated (ice hockey is a fast game); gap on predicate noun
P2-17991-cz	17991	cz	PATCH	... snacků je na gauči?	Kolik	Mnoho	Několik	sáčků -> snacků; gap moved to Kolik (= how many)
P2-17991-hu	17991	hu	PATCH	... rágcsálnivaló van a kanapén?	Hány	Mennyi	Sok	zacskó (bag) -> rágcsálnivaló (snack)
P2-17991-sk	17991	sk	PATCH	... snackov je na gauči?	Koľko	Mnoho	Niekoľko	vreciek -> snackov; gap moved to Koľko (= how many)
P2-17991-ua	17991	ua	PATCH	... снеків на дивані?	Скільки	Багато	Кілька	пакетів -> снеків; gap moved to Скільки (= how many)
P2-18001-cz	18001	cz	PATCH	Žilek listu se ... jedním prstem.	dotýká	dotýkají	dotýkat	sleduje -> se dotýká (touches), genitive object
P2-18001-sk	18001	sk	PATCH	Žiliek listu sa ... jedným prstom.	dotýka	dotýkajú	dotýkať	sleduje -> sa dotýka (touches), genitive object
P2-18027-hu	18027	hu	RETRANSLATE	A barna bőr erős és ...	puha	puhák	puhább	retranslated (strong and soft); gap on predicate adjective
P2-18163-hu	18163	hu	RETRANSLATE	A régi könyvtár nagyon nagy és ...	csendes	csendesek	csendesebb	retranslated (old library very big and quiet); gap on predicate adjective
P2-18273-hu	18273	hu	RETRANSLATE	A fehér vonal hosszú és nagyon ...	egyenes	egyenesek	egyenesebb	retranslated (long and very straight); gap on predicate adjective
P2-18387-cz	18387	cz	PATCH	Na teplé kamenné zdi ...	sedí	sedají	sedět	se vyhřívá (basks) -> sedí (sits)
P2-18387-hu	18387	hu	PATCH	A meleg kőfalon ...	ül	ülnek	ülni	sütkérezik (basks) -> ül (sits)
P2-18387-sk	18387	sk	PATCH	Na teplom kamennom múre ...	sedí	sedia	sedieť	sa vyhrieva (basks) -> sedí (sits)
P2-18387-ua	18387	ua	PATCH	На теплому кам'яному мурі вона ...	сидить	сидять	сидіти	гріється (basks) -> сидить (sits)
P2-18568-hu	18568	hu	PATCH	Tegnap az öltönyös férfi kezet ... vele.	fogott	fog	fogni	megfogta a kezét -> kezet fogott vele (shook hands)
P2-18973-hu	18973	hu	RETRANSLATE	A vödörben lévő paszta sűrű és ...	halvány	halványak	halványabb	retranslated (paste in the bucket thick and pale); gap on predicate adjective
P2-19229-hu	19229	hu	PATCH	Tíz nedves körme ..., és nincs szabad keze.	van	vannak	volt	added 'és nincs szabad keze' (no free hands)
P2-20293-hu	20293	hu	RETRANSLATE	A kis tabletta fehér és nagyon ...	kicsi	kicsik	kisebb	retranslated (white and very small); gap on predicate adjective
P2-21557-hu	21557	hu	RETRANSLATE	A nagy rózsaszín rózsa puha és ...	friss	frissek	frissebb	retranslated (soft and fresh); gap on predicate adjective
P2-21793-ua	21793	ua	PATCH	Вони п'ють гарячий ..., щоб зігрітися й відчувати себе в безпеці.	чай	чаї	чаїв	added 'and safe' (відчувати себе в безпеці)
P2-22131-hu	22131	hu	RETRANSLATE	Az iskolám nagy, régi és tele ... diákokkal.	van	vannak	voltak	retranslated (my school big, old, full of students), gap van
P2-23110-cz	23110	cz	PATCH	V nočním vlaku ... vždycky ospalá.	bývá	bývají	být	gap moved from adjective to verb: je -> bývá (gets)
P2-23495-hu	23495	hu	RETRANSLATE	A dobozban lévő üdítő narancssárga és nagyon ...	szénsavas	szénsavasak	szénsavasabb	retranslated (orange and very fizzy); gap on predicate adjective
P2-23606-hu	23606	hu	RETRANSLATE	A leveseskanál ..., mint a teáskanál.	nagyobb	nagyobbak	nagy	retranslated (soup spoon bigger than teaspoon); gap on predicate comparative
P2-23998-hu	23998	hu	PATCH	A futár sárga láthatósági mellényben ...	van	vannak	lenni	dropped 'a kapuban', subject sentence with van
P2-24164-hu	24164	hu	RETRANSLATE	A téglasor hosszú és nagyon ...	egyenes	egyenesek	egyenesebb	retranslated (row of bricks long and very straight); gap on predicate adjective
P2-24450-hu	24450	hu	RETRANSLATE	A szörfdeszka hosszú, fehér és nagyon ...	könnyű	könnyűek	könnyebb	retranslated (long, white, very light); gap on predicate adjective
P2-25189-cz	25189	cz	PATCH	Deska ... hodně starých nástrojů.	má	mají	mít	Stěna (wall) -> Deska (board)
P2-25189-sk	25189	sk	PATCH	Doska ... veľa starých nástrojov.	má	majú	mať	Stena (wall) -> Doska (board)
P2-25189-ua	25189	ua	PATCH	Дошка ... багато старих інструментів.	має	мають	мати	Стіна (wall) -> Дошка (board)
P2-25312-hu	25312	hu	PATCH	A csapat a célvonal ... vár.	mellett	belsejében	alatt	added verb vár (waits)
P2-26971-ua	26971	ua	PATCH	Вони ... зустріч о 9:00, тож вона поправляє йому краватку.	мають	має	мати	мати (infinitive) -> мають (they have)
P2-32226-ua	32226	ua	PATCH	Там занадто ... величезного коріння, і сад знищено!	багато	багатьох	будь-якого	забагато багато -> занадто багато; distractor equal to answer replaced
P2-35746-cz	35746	cz	PATCH	Kámo, budou žonglovat s ..., a to s čistým talentem.	3 míčky	3 míčkem	3 míčků	bude -> budou (they); distractor equal to answer replaced
P2-35746-sk	35746	sk	PATCH	Kámo, budú žonglovať s ..., a to s čistým talentom.	3 loptičkami	3 loptičkou	3 loptičiek	bude -> budú (they); distractor equal to answer replaced
P2-39231-cz	39231	cz	PATCH	Pevně mačká každý okraj ... náplň vyteče na pánvi.	pro případ, že	aby	kvůli	v hrnci (pot) -> na pánvi (pan)
P2-39231-sk	39231	sk	PATCH	Pevne stláča každý okraj ... plnka vytečie na panvici.	pre prípad, že	aby	kvôli	v hrnci (pot) -> na panvici (pan)
P2-39474-hu	39474	hu	PATCH	A habnak ..., a borotva tiszta csíkot hagyott az arcán.	köszönhetően	ellenére	esetén	miatt (because of) -> habnak köszönhetően (thanks to)
