key	exercise_id	lang	mode	intro_text	correct_answer	distractor_1	distractor_2	note
P1-2343-es	2343	es	PATCH	En el momento en que la muleta tocó el suelo mojado, él la ... con fuerza y siguió.	agarró	estaba agarrando		ella -> él
P1-2396-es	2396	es	PATCH	Ella admitió ... un trozo pequeño de fruta, pero no un durián entero lleno de pinchos.	llevar	a llevar	llevando	Él -> Ella
P1-2477-es	2477	es	PATCH	Le dolía el hombro porque ella ... dardos a esa diana toda la tarde.	había estado lanzando	ha estado lanzando	había sido lanzada	él -> ella
P1-2838-es	2838	es	PATCH	Él desearía ... un poco más fuerte en los últimos cinco segundos.	haber empujado	empujar	empujaría	Ojalá yo hubiera -> Él desearía haber; gap and distractors adapted
P1-3384-es	3384	es	PATCH	Él desearía ... las manos quietas en ese último minuto.	haber mantenido	mantener	mantendría	Ojalá yo hubiera -> Él desearía haber; gap and distractors adapted
P1-3477-es	3477	es	PATCH	A medianoche ella ... sus fichas en la misma mesa con el mismo amigo nervioso.	estará contando	será contada	estará contado	él -> ella
P1-3715-es	3715	es	PATCH	Si ella ... una cámara de verdad, su pequeño videoblog parecería una película.	tuviera	tiene	tendría	él -> ella
P1-3761-es	3761	es	PATCH	A mitad de las escaleras ella se planteó ... un taxi para la última parte del viaje.	coger	cogiendo	coge	él -> ella
P1-4119-es	4119	es	PATCH	Si no lo hubiera guardado todo, ahora mismo ella no ... por el pasillo con patines viejos.	estaría rodando	habría rodado	estará rodando	él -> ella
P1-4164-es	4164	es	PATCH	Él desearía ... pensar tres jugadas por delante como ella.	poder	puede	podrá	Ojalá yo pudiera -> Él desearía poder; gap now poder
P1-4314-es	4314	es	PATCH	Si hubiera salido del piso cinco minutos antes, ella ahora ... en ese tren.	estaría	habría estado	estará	él -> ella
P1-4636-es	4636	es	PATCH	Ella sabía que el destornillador rojo pequeño ... suficiente para todo el estante.	sería	será	habría sido	Él -> Ella
P1-4728-es	4728	es	PATCH	Si ella ... ahora el espejo roto, el susto se convertirá directamente en rabia.	ve	verá	vería	él -> ella
P1-4884-es	4884	es	PATCH	Si él ... la espalda recta a partir de ahora, el dolor desaparecerá en unas semanas.	mantiene	mantendrá	mantendría	usted -> él
P1-5157-es	5157	es	PATCH	Si él sigue moviendo la cabeza así, la peluca pelirroja ... directamente al suelo.	caerá	cae	caería	ella -> él
P1-5578-es	5578	es	PATCH	Yo nunca en esta cocina ... un corcho salir tan limpio.	he visto	veía	veré	Él -> Yo and había visto -> he visto (I have seen)
P1-5628-es	5628	es	PATCH	Mira: en cuanto ella pague, ese sello ... en el papel.	va a caer	cayó	caía	él -> ella
P1-5703-es	5703	es	PATCH	Si ella lee el pergamino más alto, la última fila ... cada palabra.	oirá	oiría	oyó	él -> ella
P1-5728-es	5728	es	PATCH	Ella prometió que ... abierto el puente en cuanto firmara el alcalde.	declararía	declarará	había declarado	Él -> Ella
P1-5829-es	5829	es	PATCH	Ella ya ha aguantado un retraso así antes, ¿...?	verdad	no es	no está	Él -> Ella
P1-5985-es	5985	es	PATCH	Él normalmente confía en estos vendedores, pero hoy ... cada palabra.	está dudando	dudaba	había dudado	Ella -> Él
P1-6179-es	6179	es	PATCH	Para el mes que viene ella ... suficiente para una bici de segunda mano.	habrá ahorrado	ahorra	ahorraba	él -> ella
P1-6228-es	6228	es	PATCH	Ella consiguió que su compañera ... todo el experimento desde la puerta.	grabara	graba	grabar	Él -> Ella
P1-6313-es	6313	es	PATCH	Él desearía ... el movimiento antes de que ella lo pidiera.	haber añadido	añadir	añadiría	Ojalá yo hubiera -> Él desearía haber; gap and distractors adapted
P1-6736-es	6736	es	PATCH	Él devolvió ... jarra a su sitio y esperó que nadie mirara.	la	una	lo	Ella -> Él
P1-6806-es	6806	es	PATCH	Para esta noche ella ... a todos que el brazo ha sanado.	habrá contado	cuenta	contó	él -> ella
P1-6840-es	6840	es	PATCH	Ella admitió que ... demasiadas hojas.	había cogido	ha cogido	cogerá	Él -> Ella
P1-6958-es	6958	es	PATCH	Él ya había soltado la mochila cuando los demás ...	entraron	entraban	habían entrado	Ella -> Él
P1-7352-es	7352	es	PATCH	Mañana a esta hora ella ... otra vez en el mismo parque.	estará respirando	respiró	respiraba	él -> ella
P1-7545-es	7545	es	PATCH	Ella le dijo al grupo que el atardecer ... el mejor momento para sentarse.	era	es	será	Él -> Ella
P1-7607-es	7607	es	PATCH	Él nos ... que no moviéramos la mesa mientras enfocaba la lente.	pidió	dijo de	propuso de	Ella -> Él
P1-7907-es	7907	es	PATCH	Él desearía ... un clip en su propio montón hace diez minutos.	haber puesto	poner	pondría	Ojalá yo hubiera -> Él desearía haber puesto; su -> su propio (his own); gap now haber puesto
P1-8025-es	8025	es	PATCH	Si ella marca este penalti, su equipo ... todo el grupo.	ganará	ganaría	habría ganado	él -> ella
P1-8037-es	8037	es	PATCH	Al final del partido ella ... dos penaltis en un mismo encuentro.	habrá marcado	marcará	marcaba	él -> ella
P1-8174-es	8174	es	PATCH	Él hizo ... sus fotos allí mismo, directamente en la pantalla.	retocar	retocadas	retocando	Ella -> Él
P1-8349-es	8349	es	PATCH	Él desearía ... algo de tuberías.	saber	sabe	sabrá	Ojalá yo supiera -> Él desearía saber; gap now saber
P1-8518-es	8518	es	PATCH	Ahora mismo él ... los gajos mientras los granos brillan.	está separando	separó	separará	ella -> él
P1-8613-es	8613	es	PATCH	Él entró y luego ... hacia atrás sobre la esterilla.	se dejó caer	se dejaba caer	se dejará caer	Ella -> Él
P1-8770-es	8770	es	PATCH	Antes del saque ella ... encintar su stick.	mandó	tuvo	dejó	él -> ella
P1-8838-es	8838	es	PATCH	Él siguió ... el saco hasta que se balanceó por todo el garaje.	golpeando	golpear	golpeado	Ella -> Él
P1-9086-es	9086	es	PATCH	Ella dijo que ... rápido, pero se quedó diez minutos bajo la ducha.	se enjuagaría	se enjuagará	se habría enjuagado	Él -> Ella
P1-10182-es	10182	es	PATCH	Yo nunca ... una sed golpear a alguien tan fuerte.	he visto	veía	veré	Ella -> Yo and había visto -> he visto (I have seen)
P1-10861-es	10861	es	PATCH	Ella dijo que él ... entrar en el país.	podía	puede	podrá	Él dijo -> Ella dijo; added él so the one who may enter is he
P1-10965-es	10965	es	PATCH	Ella desearía ... papel más grueso antes de empezar — las hojas se rompen.	haber comprado	comprar	compraría	Ojalá yo hubiera -> Ella desearía haber; gap and distractors adapted
P1-11305-es	11305	es	PATCH	Él llegó de noche, ... el mar todavía estaba caliente.	pero	porque	así que	Ella -> Él
P1-11313-es	11313	es	PATCH	Él le enseña a la cámara ... dibujo de la última página.	el	un	uno	Ella -> Él
P1-11535-es	11535	es	PATCH	La masa está blanda, así que ella ... darle forma fácilmente.	puede	puedes	poder	él -> ella
P1-11681-es	11681	es	PATCH	Ella pone ... pila vieja en la mesa.	una	un	unas	Él -> Ella
P1-11810-es	11810	es	PATCH	En la terraza cálida ella gira muy ...	lentamente	lenta	lentitud	él -> ella
P1-12144-es	12144	es	PATCH	Ahora mismo ella ... cerrando la tapa de la caja.	está	estaba	estará	él -> ella
P1-12510-es	12510	es	PATCH	Ella unta mantequilla en ... tostadas.	dos	segunda	segundas	Él -> Ella
P1-12789-es	12789	es	PATCH	Ahora mismo él ... la cúpula dorada.	está mirando	mira	miró	ella -> él
P1-12836-es	12836	es	PATCH	Ella lava ... zanahoria gigante con la regadera.	la	una	un	Él -> Ella
P1-12845-es	12845	es	PATCH	Normalmente ella ... zanahorias pequeñas, pero hoy una gigante.	recoge	está recogiendo	recoger	él -> ella
P1-13112-es	13112	es	PATCH	Ella da ... vuelta completa en la silla.	una	primera	una vez	Él -> Ella
P1-13171-es	13171	es	PATCH	Ella a menudo cocina pasta, pero ahora ... queso.	está rallando	rallaba	rallar	Él -> Ella
P1-13312-es	13312	es	PATCH	Él a menudo bebe té, pero ahora ... chocolate.	está derritiendo	derretía	derretir	Ella -> Él
P1-13416-es	13416	es	PATCH	Ella escribe ... ecuación en la pizarra vieja.	una	un	unas	Él -> Ella
P1-13707-es	13707	es	PATCH	Hoy él se ... el pelo, pero ayer se le olvidó.	peina	peinaba	peinará	ella -> él
P1-14217-es	14217	es	PATCH	Ella no gasta mucho ... en esta tienda.	dinero	dineros	un dinero	Él -> Ella
P1-14375-es	14375	es	PATCH	Ella pone dos ... en el bote de lápices.	bolis	boli	los bolis	Él -> Ella
P1-14396-es	14396	es	PATCH	El escritorio está limpio, ... ella por fin puede trabajar.	así que	pero	porque	él -> ella
P1-14574-es	14574	es	PATCH	Ella se pone ... jersey gris viejo por la cabeza.	un	una	unos	Él -> Ella
P1-15333-es	15333	es	PATCH	Ella se pone ... mano sobre los ojos.	su	sus	nuestra	Él -> Ella (possessive gap kept)
P1-15390-es	15390	es	PATCH	Después del gol ella tiene ... sentimiento increíble.	un	una	unos	él -> ella
P1-15616-es	15616	es	PATCH	Él hace la masa con harina y ... huevo.	un	una	unos	Ella -> Él
P1-15626-es	15626	es	PATCH	Añade agua y la harina se ... masa.	hará	hace	hacer	Ella añade -> imperative Añade
P1-15835-es	15835	es	PATCH	Ella coge dos ... de lechuga verde.	hojas	hoja	las hoja	Él -> Ella
P1-16363-es	16363	es	PATCH	Ella dice tres, pero en el estanque hay siete ...	patos.	pato.	patas.	Él -> Ella
P1-16501-es	16501	es	PATCH	Ella se pone ...	una vieja cadena de oro.	un vieja cadena de oro.	vieja cadena de oro.	Él -> Ella
P1-16515-es	16515	es	PATCH	Ella no tiene ... lingotes de oro en la tienda.	muchos	mucho	mucha	Él -> Ella
P1-16862-es	16862	es	PATCH	De camino al puerto ella se cruza con ... vecinos felices.	algunos	mucho	un poco de	él -> ella
P1-17049-es	17049	es	PATCH	En este partido ella golpea dos ...	pelotas	pelota	las pelotas	él -> ella
P1-17181-es	17181	es	PATCH	Él cerró la capucha ... y se echó a reír.	lentamente	lenta	lentitud	Ella -> Él
P1-17209-es	17209	es	PATCH	Ella tenía miedo, ... no perdió la esperanza.	pero	porque	así que	Él -> Ella
P1-17366-es	17366	es	PATCH	Hoy él come vainilla, pero la última vez ... chocolate.	eligió	elige	elegir	ella -> él
P1-17605-es	17605	es	PATCH	Él exprimió la fruta ... y llenó el vaso.	lentamente	lenta	lentitud	Ella -> Él
P1-17724-es	17724	es	PATCH	Ella entrena en ... refugio de madera abierto junto al mar.	un	una	unos	Él -> Ella
P1-17817-es	17817	es	PATCH	Él normalmente compra sándwiches, pero hoy ... uno.	está haciendo	hace	hizo	Ella -> Él
P1-18041-es	18041	es	PATCH	Ella normalmente vende cinturones, pero hoy ... una chaqueta.	está vendiendo	vende	vendió	Él -> Ella
P1-18225-es	18225	es	PATCH	Ella apunta con ... linterna al sillón.	su	sus	suya	Él -> Ella
P1-18516-es	18516	es	PATCH	Dale la página y ella ... que es suya.	dirá	decía	decir	él -> ella
P1-18539-es	18539	es	PATCH	Él usa ... pinceles para toda la cara.	tres	tercer	tres veces	Ella -> Él
P1-19038-es	19038	es	PATCH	Ella seca el suelo con ... propia fregona.	su	sus	ella	Él -> Ella
P1-19105-es	19105	es	PATCH	El granero está en silencio. Ella dice: ... más queso.	Dejaré	Dejé	Dejar	Él -> Ella
P1-19464-es	19464	es	PATCH	Ella escribe ... línea y cierra el cuaderno.	una	primera	una vez	Él -> Ella
P1-19621-es	19621	es	PATCH	Él mira su conjunto ... y aplaude.	orgullosamente	orgulloso	orgullo	Ella -> Él
P1-19793-es	19793	es	PATCH	Ella nos enseña ... cuadro de la costa azul.	un	una	unos	Él -> Ella
P1-20055-es	20055	es	PATCH	Normalmente ella pela manzanas, pero hoy ... una pera.	está pelando	peló	pelará	él -> ella
P1-20388-es	20388	es	PATCH	Ella limpia ... hojas verdes grandes con un paño.	sus	su	nuestras	Él -> Ella
P1-20837-es	20837	es	PATCH	En el taller ella construye ... con madera vieja.	una silla fuerte	un silla fuerte	silla fuerte	él -> ella
P1-20884-es	20884	es	PATCH	Ella toca en público, ... viene mucha gente.	así que	pero	porque	Él -> Ella
P1-20891-es	20891	es	PATCH	Ella salta a ... en la calle estrecha.	un charco grande	una charco grande	charco grande	Él -> Ella
P1-21105-es	21105	es	PATCH	Ella golpea la pelota ... por encima de la red blanca.	fácilmente	fácil	facilidad	Él -> Ella
P1-21210-es	21210	es	PATCH	Normalmente ella duerme en el tren, pero esta noche ...	está leyendo	leía	leer	él -> ella
P1-21258-es	21258	es	PATCH	Ella bate la masa con ... propias manos.	sus	su	nuestras	Él -> Ella
P1-21509-es	21509	es	PATCH	¿... patina ella? Por un camino del parque.	Dónde	Quién	Qué	él -> ella
P1-21569-es	21569	es	PATCH	Ella viene aquí cada mañana, pero ayer ... tarde.	se despertó	se despierta	despertarse	Él -> Ella
P1-21711-es	21711	es	PATCH	¿... metros corre ella hoy?	Cuántos	Cuánta	Cuánto	él -> ella
P1-21743-es	21743	es	PATCH	Ella se bebe el agua ... y sigue corriendo.	rápidamente	rápida	rapidez	Él -> Ella
P1-21841-es	21841	es	PATCH	Él prepara ... boles de ensalada para sus amigos.	cinco	quinto	cinco veces	Ella -> Él
P1-21843-es	21843	es	PATCH	Él hace ensalada cada día, pero ayer ... pasta.	cocinó	cocina	cocinar	Ella -> Él
P1-22300-es	22300	es	PATCH	Ella registró un cajón y siete ... pequeños más.	cajones	cajón	cajons	Él -> Ella
P1-22420-es	22420	es	PATCH	Ella usa champú cada día, pero ayer ... solo agua.	usó	usa	usar	Él -> Ella
P1-22671-es	22671	es	PATCH	Ella compra ... cosas: manzanas, pan y leche.	tres	terceras	treses	Él -> Ella
P1-22686-es	22686	es	PATCH	Ella paga con monedas ... sale con su bolsa.	y	pero	porque	Él -> Ella
P1-22835-es	22835	es	PATCH	Ella canta en ... del estudio.	un micrófono viejo	una micrófono viejo	micrófono viejo	Él -> Ella
P1-22846-es	22846	es	PATCH	Ella se quita los cascos. ... a salir del estudio.	Va	Irá	Está	Él -> Ella
P1-23033-es	23033	es	PATCH	Ella baja ... los escalones de piedra del parque.	por	bajo	entre	Él -> Ella
P1-23088-es	23088	es	PATCH	Él se sube la manta hasta ... hombros.	sus	nuestros	vuestros	Ella -> Él
P1-23699-es	23699	es	PATCH	Ella levanta su copa por los próximos ... años.	diez	décimo	decena	Él -> Ella
P1-23705-es	23705	es	PATCH	Ella tiene un plan. El año que viene ... un discurso nuevo.	va a escribir	escribirá	escribe	Él -> Ella
P1-23720-es	23720	es	PATCH	Ella saluda con la mano y ... su vaso de agua.	derrama	derraman	derramar	Él -> Ella
P1-24568-es	24568	es	PATCH	Ella lleva el jersey ... una camisa fina.	sobre	dentro de	de	Él -> Ella
P1-24603-es	24603	es	PATCH	¿... camiseta elige él? La azul verdosa.	Qué	Quién	Cuándo	ella -> él
P1-24635-es	24635	es	PATCH	Él le dibuja ... brazos verdes al cactus.	cinco	quinto	cincos	Ella -> Él
P1-24644-es	24644	es	PATCH	Él no necesita ... colores para un cactus.	muchos	mucho	un poco de	Ella -> Él
P1-24664-es	24664	es	PATCH	¿... tiene ella en el brazo? Un pájaro.	Qué	Quién	Cuándo	él -> ella
P1-24869-es	24869	es	PATCH	Ella lee aquí a diario, pero ahora ... la pared.	está mirando	miraba	mirar	Él -> Ella
P1-25227-es	25227	es	PATCH	Ella solo necesita ... poquito de pasta.	un	primer	unos	Él -> Ella
P1-25327-es	25327	es	PATCH	Ella toma la curva muy ...	fácilmente	fácil	facilidad	Él -> Ella
P1-25705-es	25705	es	PATCH	Ella pasa por aquí cada día, pero ahora ... un paraguas.	está sujetando	sujetaba	sujetará	Él -> Ella
P1-25782-es	25782	es	PATCH	¿... saca él primero? Su ropa doblada.	Qué	Quién	Dónde	ella -> él
P1-25954-es	25954	es	PATCH	Ella espera ... minutos en la parada.	veinte	vigésimo	veintes	Él -> Ella
P1-26115-es	26115	es	PATCH	Ella echa el agua con ... manguera verde.	su	suya	ella	Él -> Ella
P1-26207-es	26207	es	PATCH	Después de la subida ella necesita mucha ...	agua	aguas	una agua	él -> ella
P1-26223-es	26223	es	PATCH	Ella desliza la botella en el bolsillo de ... mochila.	su	suya	ella	Él -> Ella
P1-26277-es	26277	es	PATCH	Él echa agua a ... tomatera favorita.	su	le	él	Ella -> Él
P1-26337-es	26337	es	PATCH	Ella levanta el disco ... veces seguidas.	cinco	quinta	cincos	Él -> Ella
P1-26493-es	26493	es	PATCH	Ella se apoya en el viento ...	valientemente	valiente	valentía	Él -> Ella
P1-27119-es	27119	es	PATCH	Todos los días ella da consejos, pero ahora ... el póster.	está señalando	señala		él -> ella
P1-27224-es	27224	es	PATCH	¡Reina, él dijo que el avión ... justo por encima de su cabeza!	voló	vuela	volé	ella -> él; duplicate distractor voló -> volé
P1-27345-es	27345	es	PATCH	Tío, ella cepilló esa piedra antigua súper ..., en serio.	suavemente	suave	suavidad	él -> ella
P1-28304-es	28304	es	PATCH	Tío, ella va a apagar ... velas de cumpleaños ahora.	sus	su	tus	él -> ella; distractors equal to answer (sus/sus) -> su/tus
P1-28446-es	28446	es	PATCH	Normalmente ella nada aquí, pero hoy se ... al mar azul.	está tirando	tira		él -> ella
P1-28545-es	28545	es	PATCH	Él se inclina sobre la barandilla del barco y ... ballena enorme saca la cabeza.	una	un	la	Ella -> Él; duplicate distractor una -> un
P1-28571-es	28571	es	PATCH	Ella cuenta tres ... largos en la bandeja.	huesos	hueso	huesoes	Él -> Ella; duplicate distractor huesos -> huesoes
P1-28854-es	28854	es	PATCH	Él me dijo que ... nueve pantallas brillantes más la semana que viene, guapa.	van a colgar	colgarán	cuelgan	Ella -> Él
P1-29171-es	29171	es	PATCH	¿... no contesta ella? ¡Esta cafetería es una pesadilla!	Por qué	Quién	Dónde	él -> ella
P1-29315-es	29315	es	PATCH	Bestie, normalmente ella lo esconde, pero ahora ... el carné, por lo visto.	está agitando	agita		él -> ella
P1-29556-es	29556	es	PATCH	¿... comprueba ella el panel? Porque el panel está ahí.	Por qué	Quién	Dónde	él -> ella
P1-29566-es	29566	es	PATCH	Ella no necesitó mucho ... para comprobar el panel.	tiempo	tiempos	minutos	Él -> Ella; duplicate distractor tiempo -> tiempos
P1-30029-es	30029	es	PATCH	Tía, él ha dicho que este palo es ... que el viejo.	mejor	más bueno	el mejor	ella -> él; duplicate distractor mejor -> más bueno
P1-30395-es	30395	es	PATCH	¡Pesadilla! ¡Ella no quiere dejar ... nunca más!	este continente	estos continentes	esos continentes	Él -> Ella
P1-30835-es	30835	es	PATCH	Obviamente ella corta con cuidado, pero ayer ... cuadrados torcidos.	cortó	corta		él -> ella
P1-30946-es	30946	es	PATCH	Espera, ella ha dicho que normalmente juegan, pero esta noche ... un baile.	están organizando	organizan		él -> ella
P1-31135-es	31135	es	PATCH	Tía, ella me dijo que los cuatro loros ... los muertos ahora mismo.	están haciendo	hacen	están hacer	él -> ella; duplicate distractor -> están hacer
P1-31156-es	31156	es	PATCH	Tío, ella tiene que firmar ... propia copia del trato.	su	sus	tu	él -> ella; distractors equal to answer (su/su) -> sus/tu
P1-31432-es	31432	es	PATCH	Normalmente ella viste de gris, pero ayer ... algo totalmente diferente, tío.	llevó	lleva		él -> ella
P1-31552-es	31552	es	PATCH	Él limpia las baldosas sucias ... ¡y el barro desaparece para siempre!	fácilmente	fácil	facilidad	Ella -> Él
P1-32308-es	32308	es	PATCH	Oye, ella dijo que en esa huida ... tres pollitos.	hay	es	ser	él -> ella; distractors equal to answer (hay/hay) -> es/ser
P1-32495-es	32495	es	PATCH	Oye, ella me dijo que su prueba de vista no necesita mucha ...	ayuda.	ayudas.	consejos.	él -> ella; duplicate distractor ayuda. -> ayudas.
P1-32609-es	32609	es	PATCH	Ella recoge los platos sucios ... la cena ha terminado.	porque	pero	así que	Él -> Ella
