key	verdict	reason
P1-15616-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-15626-es	DISAGREE	imperative Añade is right, but distractor "hace" gives a correct sentence (la harina se hace masa = will become dough); replace hace with hizo
P1-15835-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-16363-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-16501-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-16515-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-16862-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-17049-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-17181-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-17209-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-17366-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-17605-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-17724-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-17817-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-18041-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-18225-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-18516-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-18539-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-19038-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-19105-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-19464-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-19621-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-19793-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-20055-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-20388-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-20837-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-20884-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-20891-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21105-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21210-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21258-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21509-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21569-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21711-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21743-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21841-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-21843-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-22300-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-22420-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-22671-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-22686-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-22835-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-22846-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-23033-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-23088-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-23699-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-23705-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-23720-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-24568-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-24603-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-24635-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-24644-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-24664-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-24869-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-25227-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-25327-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-25705-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-25782-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-25954-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-26115-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-26207-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-26223-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-26277-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-26337-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-26493-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-27119-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-27224-es	AGREE	pronoun fixed; duplicate distractor voló -> volé correctly replaced
P1-27345-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-28304-es	AGREE	pronoun fixed; distractors su/tus differ from sus and are wrong
P1-28446-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-28545-es	AGREE	pronoun fixed; duplicate distractor una -> un correctly replaced
P1-28571-es	AGREE	pronoun fixed; duplicate distractor -> huesoes correctly replaced
P1-28854-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-29171-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-29315-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-29556-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-29566-es	AGREE	pronoun fixed; duplicate distractor -> tiempos correctly replaced
P1-30029-es	DISAGREE	pronoun fix right, but new distractor "más bueno" is accepted Spanish (RAE admits it) and can read as correct; use "más mejor" instead
P1-30395-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-30835-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-30946-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-31135-es	AGREE	pronoun fixed; duplicate distractor -> están hacer correctly replaced
P1-31156-es	AGREE	pronoun fixed; distractors sus/tu differ and are wrong
P1-31432-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-31552-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
P1-32308-es	AGREE	pronoun fixed; distractors es/ser differ and are wrong
P1-32495-es	AGREE	pronoun fixed; duplicate distractor -> ayudas. correctly replaced
P1-32609-es	AGREE	subject pronoun now matches English; nothing else changed; gap and distractors still valid
