key	exercise_id	lang	mode	intro_text	correct_answer	distractor_1	distractor_2	note
P2-10358-fr	10358	fr	PATCH	Le bol ... a sorti était bien trop chaud pour le tenir.	qu'il	qui	dont	dropped 'du micro-ondes'; brûlant -> bien trop chaud pour le tenir
P2-10965-de	10965	de	PATCH	Sie wünscht sich, sie ... dickeres Papier gekauft, bevor sie angefangen hat — die Blätter reißen ständig.	hätte	hat	würde	present wünscht sich; vorher -> bevor sie angefangen hat; added '— die Blätter reißen ständig'
P2-10965-fr	10965	fr	PATCH	Elle aurait aimé ... du papier plus épais avant de commencer — les feuilles n'arrêtent pas de se déchirer.	avoir acheté	acheter	achetant	added '— les feuilles n'arrêtent pas de se déchirer'
P2-10965-tr	10965	tr	PATCH	Keşke başlamadan önce daha kalın kâğıt ... — kâğıtlar sürekli yırtılıyor.	alsaymış	alsa	alacakmış	added '— kâğıtlar sürekli yırtılıyor'
P2-11401-de	11401	de	PATCH	Das ist ... einzige Buchstabe, den er mag.	der	ein	einen	es -> er
P2-11853-es	11853	es	PATCH	Ellos beben ... vasos en la terraza de la cervecería.	dos	segundo	doce	el jardín -> la terraza de la cervecería (beer garden)
P2-11853-fr	11853	fr	PATCH	Ils boivent ... verres dans le biergarten.	deux	deuxième	douze	le jardin -> le biergarten
P2-12051-tr	12051	tr	PATCH	Kimse burada sıkılmadan ...	bekleyemez	bekleyemezler	beklemek	bekleyebilir -> bekleyemez (negation restored); distractor bekleyebilirler -> bekleyemezler
P2-12572-fr	12572	fr	PATCH	En ce moment, tout le monde ... une grosse part de gâteau.	mange	mangeait	mangera	added 'de gâteau'
P2-12836-tr	12836	tr	PATCH	... sulama kabıyla yıkıyor.	Dev havucu	Dev havuç	Bir dev havuçlar	kova ile (bucket) -> sulama kabıyla (watering can)
P2-14217-fr	14217	fr	PATCH	Elle ne dépense pas beaucoup d'... dans ce magasin.	argent	argents	un argent	n'a pas beaucoup de monnaie -> ne dépense pas beaucoup d'argent; gap argent, new distractors
P2-14315-tr	14315	tr	PATCH	Geyik sisli bir ...	ormandadır	ormandadırlar	ormandayım	dropped 'çok sessizdir'; gap now the copula form ormandadır (is in the forest)
P2-15844-fr	15844	fr	PATCH	Regarde ! Elle ... en train d'enrouler les pâtes sur la fourchette.	est	sont	suis	added 'sur la fourchette'
P2-15997-fr	15997	fr	PATCH	La grenouille ... sur une pierre couverte de mousse.	est assise	sont assises	être assise	gap est -> est assise (sits); new distractors
P2-16446-fr	16446	fr	PATCH	Une chèvre est sur le mur, mais la ferme a cinq ...	chèvres.	chèvre.	des chèvres.	cinq autres chèvres -> cinq chèvres
P2-16552-de	16552	de	PATCH	Der Großvater ... alt und hat einen weißen Bart und eine Mütze.	ist	sind	sein	added 'und eine Mütze'
P2-16552-fr	16552	fr	PATCH	Le grand-père ... vieux, avec une barbe blanche et une casquette.	est	sont	être	added 'et une casquette'
P2-17121-fr	17121	fr	PATCH	... devoirs as-tu ce soir ?	Combien de	Beaucoup de	Quelques	yes/no 'Tu as beaucoup de devoirs' -> 'Combien de devoirs as-tu'; gap Combien de, new distractors
P2-17991-es	17991	es	PATCH	¿... snacks hay en el sofá?	Cuántos	Cuánta	Cuánto	paquetes -> snacks
P2-17991-fr	17991	fr	PATCH	Il y a ... snacks sur le canapé ?	combien de	beaucoup	combien	paquets -> snacks
P2-17991-tr	17991	tr	PATCH	Kanepede ... atıştırmalık var?	kaç	ne kadar	çok	paket -> atıştırmalık (snack)
P2-18387-es	18387	es	PATCH	... en el muro de piedra caliente.	Se sienta	Se sientan	Sentarse	se calienta (basks) -> se sienta (sits); al sol -> caliente (warm wall)
P2-18387-fr	18387	fr	PATCH	Il ... sur le mur de pierre chaud.	est assis	sont assis	être assis	se chauffe au soleil (basks) -> est assis (sits); added chaud (warm wall)
P2-18387-tr	18387	tr	PATCH	Sıcak taş duvarda ...	oturuyor	oturuyorlar	oturmak	güneşleniyor (basks) -> oturuyor (sits)
P2-19229-tr	19229	tr	PATCH	On tane ıslak tırnağı ... ve hiç boş eli yok.	var	yok	vardı	added 've hiç boş eli yok'
P2-21793-fr	21793	fr	PATCH	Ils boivent du ... chaud pour se sentir au chaud et en sécurité.	thé	thés	un thé	bien au chaud -> au chaud et en sécurité
P2-22002-fr	22002	fr	PATCH	... est-ce qu'il fait cuire dans la poêle ? Des saucisses au bord du fjord.	Qu'	Qui	Quand	added 'au bord du fjord'
P2-22210-de	22210	de	PATCH	Der Student ging weiter, ... der Wissenschaftler blieb bei jedem Diagramm stehen.	aber	also	weil	überall -> bei jedem Diagramm
P2-22210-fr	22210	fr	PATCH	L'étudiant a continué, ... le scientifique s'est arrêté devant chaque graphique.	mais	donc	parce que	est parti (left) -> a continué (walked on); partout -> devant chaque graphique
P2-23662-de	23662	de	PATCH	In jeder Naturwissenschaftsstunde ... er etwas über das Weltall.	lernt	lernen	lernst	Physikstunde -> Naturwissenschaftsstunde (science lesson)
P2-24693-de	24693	de	PATCH	Das Taxi fährt in der Gasse an ... geparkten Autos vorbei.	vier	vierte	vieren	added 'in der Gasse'
P2-25189-de	25189	de	PATCH	Das Brett ... viele alte Werkzeuge.	hat	haben	ist	Die Wand (wall) -> Das Brett (board)
P2-25312-tr	25312	tr	PATCH	Takım bitiş çizgisinin ... bekliyor.	yanında	içinde	altında	added verb 'bekliyor' (waits)
P2-26389-es	26389	es	PATCH	Un balón naranja y dos ... rápidas.	sillas de ruedas	silla de ruedas	silles de ruedas	sillas -> sillas de ruedas (gap and distractors)
P2-26389-fr	26389	fr	PATCH	Un ballon orange et deux ... rapides.	fauteuils roulants	fauteuil roulant	fauteuiles roulants	fauteuils -> fauteuils roulants (gap and distractors)
P2-26389-tr	26389	tr	PATCH	Turuncu bir top ve iki hızlı ...	tekerlekli sandalye.	tekerlekli sandalyeler.	tekerlekli sandalyeyi.	sandalye -> tekerlekli sandalye (gap and distractors)
P2-29421-fr	29421	fr	PATCH	La fête a lieu ... nuit sur un trottoir de la ville.	la	dans	sur	placeholder 'sans préposition' -> la (a lieu la nuit); gap la
P2-30557-fr	30557	fr	PATCH	Une voiture argentée coûte 20 000 euros. ... coût est élevé.	Le	Un	Un	grise -> argentée
P2-31267-es	31267	es	PATCH	Cruza el desierto ... atardecer.	al	sobre	en	broken 'al la puesta de sol' -> 'al atardecer'; gap al kept
P2-31457-es	31457	es	PATCH	Él pone ... libros difíciles en el banco.	veinte	vigésimo	veintena	estrado -> banco; distractor_2 was equal to the answer (veinte) -> veintena
P2-32345-tr	32345	tr	PATCH	Kanıt panonu bana ... misin? Bu gerçekten havalı.	gösterebilir			gösterebilir mi (can he/she) -> gösterebilir misin (can you); gap word unchanged
P2-32384-de	32384	de	PATCH	Q4-Prognose: Wenn er wieder anruft, ... die Ausrede die Arbeit sein.	wird	ist	war	fixed word order: wird ... die Arbeit sein; gap wird
P2-38160-tr	38160	tr	PATCH	Kedi, tezgâhında bir daha asla başka bir güvercine ... bağırıyor!	hizmet etmeyeceğini	hizmet ediyor olmayacağını	hizmet etmediğini	direct speech ben/tezgâhımda/etmeyeceğim -> reported tezgâhında/etmeyeceğini (he, his)
P2-39732-de	39732	de	PATCH	Wenn er ein trauriges Lied spielte, ... die Menschenmenge schrumpfen.	würde	wird	hat	past indicative schrumpfte -> hypothetical würde ... schrumpfen; gap würde
P2-41693-tr	41693	tr	PATCH	O direğin tepesinde yuva ...! Tam bir kâbus!	tam kaostu	tam bir kaostu	tam kaoslardı	present tam kaos -> past tam kaostu (was)
P2-44067-tr	44067	tr	PATCH	Başparmakları kadrajı dolduruyor, yani o kameraya çok yakın ...	oturmuş olmalı	oturmuş olamaz	oturmalıydı	oturuyor olmalı (must be sitting) -> oturmuş olmalı (must have been sitting)
