key	verdict	reason
P2-22210-de	AGREE	überall -> bei jedem Diagramm; gap aber intact
P2-22210-fr	AGREE	est parti -> a continué (walked on, raised in issue 2) and partout -> devant chaque graphique; gap mais intact
P2-23662-de	AGREE	Physikstunde -> Naturwissenschaftsstunde = science lesson; gap lernt intact
P2-24693-de	AGREE	'in der Gasse' added; gap vier intact
P2-25189-de	AGREE	Die Wand -> Das Brett = the board; gap hat intact
P2-25312-tr	AGREE	verb bekliyor added; gap yanında intact
P2-26389-es	AGREE	sillas de ruedas = wheelchairs; gap and distractors updated consistently
P2-26389-fr	AGREE	fauteuils roulants = wheelchairs; gap and distractors updated consistently
P2-26389-tr	AGREE	tekerlekli sandalye = wheelchair (singular after numeral is correct); distractors wrong
P2-29421-fr	AGREE	placeholder removed, 'a lieu la nuit' correct; gap la, distractors dans/sur wrong
P2-30557-fr	AGREE	grise -> argentée = silver; gap Le intact (pre-existing duplicate distractors Un|Un should get a separate fix, e.g. Une)
P2-31267-es	AGREE	'al la puesta de sol' -> 'al atardecer' grammatical = at sunset; gap al valid
P2-31457-es	AGREE	estrado -> banco = bench; distractor equal to answer replaced by veintena
P2-32345-tr	AGREE	mi -> misin = can you; gap gösterebilir still in sentence (distractors empty, pre-existing)
P2-32384-de	AGREE	word order fixed to 'wird die Ausrede die Arbeit sein'; gap wird, distractors ist/war wrong
P2-38160-tr	AGREE	direct 1st person -> reported 3rd person (tezgâhında, etmeyeceğini) = he/his; gap and distractors updated consistently
P2-39732-de	AGREE	würde ... schrumpfen gives the hypothetical; gap würde, distractors wird/hat mirror en
P2-41693-tr	DISAGREE	past tense fix (kaostu) is right, but distractor 'tam bir kaostu' is fully grammatical and natural Turkish (issue 2 even proposed it as the answer), so it is not wrong in this sentence; fix: keep gap tam kaostu, replace that distractor with e.g. 'tam kaostum' (keep 'tam kaoslardı')
P2-44067-tr	AGREE	oturmuş olmalı = must have been sitting (past inference); distractors oturmuş olamaz/oturmalıydı wrong
P3-208-en	AGREE	new en matches the natives (shaking hands on clicker, can't be as calm as she sounds); gap can't be; distractors wrong for deduction; chunks work
P3-22111-en	AGREE	'with a marker' dropped to match all natives; gap his and chunks still work
