MEDIA 5324 | meaning: a soft object with holes used for washing
E 35417 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
fr|Franchement, montre ta paume et les voitures ... s'arrêter.||sont|
tr|Cidden, avucunu göster, arabalar ...|duracak||duracak
hu|Őszintén, mutasd a tenyered, és az autók meg ... állni.|fognak|vannak|fognak
MEDIA 5348 | meaning: to express gratitude to someone
E 35844 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does she thank? The man with the umbrella.|Who|Where|When
de|... dankt sie? Dem Mann mit dem Regenschirm.|Wem|Wo|Wann
ua|... вона дякує? Чоловікові з парасолькою.|Кому|Де|Коли
es|¿... le da las gracias ella? Al hombre del paraguas.|A quién|Dónde|Cuándo
fr|... remercie-t-elle ? L'homme au parapluie.|Qui|Où|Quand
tr|O ... teşekkür ediyor? Şemsiyeli adama.|kime|nerede|ne zaman
hu|... mond ő köszönetet? Az esernyős férfinak.|Kinek|Hol|Mikor
E 35848 | A2 type 24 Modal verb SHOULD | style dramatic | options 3 | SEL
en|He saved her papers from disaster! She ... thank him!|should|ought|should to
de|Er hat ihre Blätter vor der Katastrophe gerettet! Sie ... ihm danken!|sollte|sollte|sollte
ua|Він урятував її папери від катастрофи! Вона ... йому подякувати!|мала б|мала б|мала б
es|¡Él salvó sus papeles del desastre! ¡Ella ... darle las gracias!|debería|debería|debería
fr|Il a sauvé ses feuilles du désastre ! Elle ... le remercier !|devrait|devrait|devrait
tr|Onun kâğıtlarını felaketten kurtardı! O da ona teşekkür ...!|etmeli|etmeli|etmeli
hu|Ő megmentette a papírjait a katasztrófától! Neki ... megköszönnie!|kellene|kellene|kellene
MEDIA 5357 | meaning: not plain but decorated and showy
E 32629 | A1 type 1 TO BE | style business | options 3 | SEL
en|Budget alert: the fancy stroller ... 5000 euros.|is|are|be
de|Budget-Alarm: Der protzige Kinderwagen ... 5000 Euro teuer.|ist|sind|sein
ua|Бюджетна тривога: розкішна коляска ... за 5000 євро.|є|є|бути
es|Alerta de presupuesto: el carrito de lujo ... de 5000 euros.|es|son|ser
fr|Alerte budget : la poussette de luxe ... à 5000 euros.|est|sont|être
tr|Bütçe uyarısı: şatafatlı bebek arabası 5000 euro ...|||olmak
hu|Költségvetési riasztás: a puccos babakocsi ... 5000 euró.|||lenni
E 32633 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|She usually walks fast, but right now she ... at a fancy stroller.|is staring|stares|
de|Sie läuft normalerweise schnell, aber gerade ... sie einen schicken Kinderwagen an.|starrt|starrt|
ua|Вона зазвичай ходить швидко, але саме зараз ... на розкішну коляску.|витріщається|витріщається|
es|Ella suele caminar rápido, pero ahora mismo ... un carrito de lujo.|está mirando fijamente|mira fijamente|
fr|D'habitude elle marche vite, mais là, elle ... une poussette de luxe.|est en train de fixer|fixe|
tr|O genelde hızlı yürür ama şu an şatafatlı bir bebek arabasına ...|dik dik bakıyor|dik dik bakar|
hu|Ő általában gyorsan jár, de most épp egy puccos babakocsit ...|bámul|bámul|
MEDIA 5359 | meaning: a very big grey animal that lives in rivers
E 33344 | A2 type 23 Must, Have to... | style clueless | options 3 | SEL
en|The hippo ... come up for air because it needs air.|has to|must|should
de|Das Nilpferd ... zum Atmen auftauchen, weil es Luft braucht.|muss|muss|sollte
ua|Бегемот ... виринати за повітрям, бо йому потрібне повітря.|має|мусить|мав би
es|El hipopótamo ... salir a respirar porque necesita aire.|tiene que|debe|debería
fr|L'hippopotame ... remonter pour respirer parce qu'il a besoin d'air.|doit|doit|devrait
tr|Su aygırı hava almak için yüzeye ... çünkü havaya ihtiyacı var.|çıkmak zorunda|çıkmalı|çıkmalı
hu|A vízilónak ... feljönnie levegőért, mert levegőre van szüksége.|kell|kell|kellene
MEDIA 5362 | meaning: foolish in a funny, ludicrous way
E 35186 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|Honestly, your heart sunglasses ... silly, but you are so cool.|are|is|am
de|Ehrlich, deine Herz-Sonnenbrille ... albern, aber du bist so cool.|ist|ist|bin
ua|Чесно, твої окуляри-сердечка ... кумедні, але ти такий крутий.|є|є|є
es|Sinceramente, tus gafas de corazón ... ridículas, pero tú eres muy guay.|son|es|soy
fr|Franchement, tes lunettes cœur ... ridicules, mais tu es trop cool.|sont|est|suis
tr|Açıkçası kalpli güneş gözlüklerin saçma ... ama sen çok havalısın.|||
hu|Őszintén, a szívecskés napszemüveged ... bolondos, de te nagyon menő vagy.|||vagyok
E 35191 | A2 type 18 Going to or Will | style ironic | options 2 | SEL
en|Flawless taste: he sees the silly glasses and says, 'I ... buy them!'|will|am going to|
de|Makelloser Geschmack: Er sieht die alberne Brille und sagt: „Ich ... sie kaufen!“|werde|werde|
ua|Бездоганний смак: він бачить кумедні окуляри й каже: «Я ... їх!»|куплю|збираюся купити|
es|Gusto impecable: él ve las gafas ridículas y dice: «¡Yo ... comprarlas!»||voy a|
fr|Goût impeccable : il voit les lunettes ridicules et dit : « Je ... les acheter ! »||vais|
tr|Kusursuz zevk: o, saçma gözlüğü görüyor ve “Onları ...!” diyor.|alacağım|alacağım|
hu|Hibátlan ízlés: ő meglátja a bolondos szemüveget, és azt mondja: „Meg ... venni!”|fogom|fogom|
MEDIA 5378 | meaning: to put something down in a certain place
E 35022 | A1 type 3 Present Simple | style dramatic | options 3 | SEL
en|He always ... his mug on this wobbly table! A nightmare!|sets|setting|setted
de|Er ... seinen Becher immer auf diesen wackeligen Tisch! Ein Albtraum!|stellt|stellend|stellte
ua|Він завжди ... свій кухоль на цей хиткий столик! Жах!|ставить|ставлячи|поставив
es|¡Él siempre ... su taza en esta mesa coja! ¡Una pesadilla!|pone|poniendo|puso
fr|Il ... toujours son mug sur cette table bancale ! Un cauchemar !|pose|posant|a posé
tr|O, kupasını hep bu sallanan masaya ...! Tam bir kâbus!|koyar|koyarak|koydu
hu|Ő mindig erre a billegő asztalra ... a bögréjét! Rémálom!|teszi|tevő|tette
E 35026 | A2 type 13 Present or Past Simple | style flirt | options 2 | SEL
en|You usually set one plate, but yesterday you ... a banquet. Classy!|prepared|prepare|
de|Du deckst normalerweise einen Teller, aber gestern ... du ein ganzes Festmahl vor. Stilvoll!|bereitetest|bereitest|
ua|Ти зазвичай ставиш одну тарілку, але вчора ти ... бенкет. Стильно!|приготував|готуєш|
es|Tú normalmente pones un solo plato, pero ayer ... un banquete. ¡Qué clase!|preparaste|preparas|
fr|D'habitude tu mets une seule assiette, mais hier tu ... un festin. La classe !|as préparé|prépares|
tr|Sen genelde tek tabak koyarsın ama dün koca bir ziyafet ..., çok klas!|hazırladın|hazırlarsın|
hu|Te általában egy tányért teszel ki, de tegnap ... egy egész lakomát. Elegáns!|készítettél|készítesz|
MEDIA 5390 | meaning: a young person, especially a young man or boy
E 36523 | A1 type 8 My, Your, His,... | style dramatic | options 3 | SEL
en|The youths all scream! ... voices are so loud! Chaos!|Their|His|Its
de|Die Jugendlichen schreien alle! ... Stimmen sind so laut! Chaos!|Ihre|Seine|Seine
ua|Юнаки всі кричать! ... голоси такі гучні! Хаос!|Їхні|Його|Його
es|¡Los chavales gritan todos! ¡... voces son tan fuertes! ¡Caos!|Sus|Sus|Sus
fr|Les jeunes crient tous ! ... voix sont si fortes ! Le chaos !|Leurs|Ses|Ses
tr|Gençlerin hepsi bağırıyor! ... sesleri çok yüksek! Kaos!|Onların|Onun|Onun
hu|A fiatalok mind kiabálnak! A ... olyan hangos! Káosz!|hangjuk|hangja|hangja
E 36526 | A2 type 19 Countable and uncountable | style gossip | options 3 | SEL
en|Hold on, I heard the youths made so much ... in the park.|noise|noises|a noise
de|Moment, ich hab gehört, die Jugendlichen haben so viel ... im Park gemacht.|Lärm|Lärm|einen Lärm
ua|Стоп, я чула, що юнаки наробили стільки ... в парку.|шуму|шумів|шуму
es|Espera, yo he oído que los chavales hicieron tanto ... en el parque.|ruido|ruido|un ruido
fr|Attends, j'ai entendu dire que les jeunes ont fait tellement de ... dans le parc.|bruit|bruit|un bruit
tr|Bir dakika, ben gençlerin parkta çok fazla ... yaptığını duydum.|gürültü|gürültüler|bir gürültü
hu|Várj, én úgy hallottam, a fiatalok olyan nagy ... csaptak a parkban.|zajt|zajt|egy zajt
MEDIA 5399 | meaning: a story that actors perform on a stage
E 34446 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|The actors love ... play about a forest.|their|they|theirs
de|Die Schauspieler lieben ... Stück über einen Wald.|ihr|sie|ihres
ua|Актори люблять ... п'єсу про ліс.|свою|вони|їхню
  ~soft: SEL: pronoun inside an option
es|Los actores adoran ... obra sobre un bosque.|su|ellos|la suya
  ~soft: SEL: pronoun inside an option
fr|Les acteurs adorent ... pièce sur une forêt.|leur|ils|la leur
tr|Oyuncular bir orman hakkındaki ... oyunlarını çok seviyor.|onların|onlar|onlarınki
hu|A színészek imádják egy erdőről szóló ...|darabjukat|ők|az övékét
  ~soft: SEL: pronoun inside an option
MEDIA 5400 | meaning: a drama sung to music with an orchestra
E 34151 | A1 type 5 Singular and plural | style slang | options 3 | SEL
en|Nah, two ... in a little hall ain't an opera, bro.|men|mans|man
de|Nee, zwei ... in einem kleinen Saal sind keine Oper, Bro.|Männer|Männer|Mann
ua|Не, двоє ... в маленькій залі — це не опера, бро.|чоловіків|чоловіків|чоловік
es|Qué va, dos ... en una sala pequeña no son una ópera, tío.|hombres|hombres|hombre
fr|Nan, deux ... dans une petite salle, c'est pas un opéra, frère.|hommes|hommes|homme
tr|Yok ya, küçük bir salonda iki ... opera değil, kanka.|adamlar|adamlar|adam
hu|Ugyan, két ... egy kis teremben még nem opera, tesó.|férfi|férfi|férfi
MEDIA 5401 | meaning: to want to know something
E 36440 | A2 type 18 Going to or Will | style gossip | options 2 | SEL
en|Listen, she told me, 'I ... stop wondering and write now!'|will|am going to|
de|Hör zu, sie hat mir gesagt: „Ich ... aufhören zu grübeln und jetzt schreiben!“|werde|werde|
ua|Слухай, вона мені сказала: «Я ... гадати й зараз почну писати!»|перестану|збираюся перестати|
es|Oye, ella me dijo: «¡Yo ... dejar de darle vueltas y ponerme a escribir ya!»||voy a|
fr|Écoute, elle m'a dit : « Je ... arrêter de me poser des questions et écrire maintenant ! »||vais|
tr|Dinle, o bana “Merak etmeyi ... ve şimdi yazacağım!” dedi.|bırakacağım|bırakacağım|
hu|Figyu, ő azt mondta nekem: „Abba ... hagyni a töprengést, és most írok!”|fogom|fogom|
MEDIA 5403 | meaning: what clocks measure, in hours and minutes
E 35900 | A1 type 6 A, AN, THE | style flirt | options 3 | SEL
en|Honestly, you check ... time on your watch like a pro.|the|a|an
de|Ehrlich, du checkst ... Uhrzeit auf deiner Uhr wie ein Profi.|die|eine|eine
ua|Чесно, ти перевіряєш ... час на годиннику як профі.|||
es|La verdad, tú miras ... hora en tu reloj como un pro.|la|una|una
fr|Franchement, tu regardes ... heure sur ta montre comme un pro.|l'|une|une
tr|Açıkçası sen ... saati kolundaki saatten bir profesyonel gibi kontrol ediyorsun.||bir|bir
hu|Őszintén, te úgy nézed meg ... időt az órádon, mint egy profi.|az|egy|egy
E 35904 | A2 type 20 Much, Many, Some... | style chill | options 3 | SEL
en|She has not got ... time before the train.|much|many|some
de|Sie hat nicht ... Zeit bis zum Zug.|viel|viele|etwas
ua|Вона не має ... часу до потяга.|багато|багато|трохи
es|Ella no tiene ... tiempo antes del tren.|mucho|muchos|algo de
fr|Elle n'a pas ... temps avant le train.|beaucoup de|beaucoup de|du
tr|O, trenden önce ... zamana sahip değil.|çok|çok|biraz
hu|Neki nincs ... ideje a vonat előtt.|sok|sok|némi
MEDIA 5404 | meaning: wanting much more wealth or things than you need
E 33043 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|Greedy? No, you ... just a toast legend.|are|is|am
de|Gierig? Nein, du ... einfach eine Toast-Legende.|bist|ist|bin
ua|Жадібний? Ні, ти ... просто легенда тостів.|є|є|є
es|¿Avaricioso? No, tú ... simplemente una leyenda de las tostadas.|eres|es|soy
fr|Avide ? Non, tu ... juste une légende du toast.|es|est|suis
tr|Açgözlü mü? Hayır, sen sadece bir tost efsanesi ...|||
hu|Kapzsi? Nem, te csak egy pirítóslegenda ...|vagy||vagyok
E 33044 | A2 type 12 Past Simple | style ironic | options 3 | SEL
en|Not greedy, of course: he ... just twenty slices of toast.|made|maked|making
de|Natürlich nicht gierig: Er ... nur zwanzig Scheiben Toast.|machte|machte|machend
ua|Звісно, не жадібний: він ... лише двадцять тостів.|зробив|зробив|роблячи
es|No es avaricioso, claro: él ... solo veinte tostadas.|hizo|hizo|haciendo
fr|Pas avide du tout, bien sûr : il ... juste vingt tranches de pain grillé.|a fait|a fait|faisant
tr|Açgözlü değil tabii: o sadece yirmi dilim tost ...|yaptı|yaptı|yaparak
hu|Persze, nem kapzsi: ő csak húsz szelet pirítóst ...|készített|készített|készítő
MEDIA 5406 | meaning: one of the five small end parts of the foot
E 35910 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|She has got ... on one foot.|5 toes|5 toe|5 toies
de|Sie hat ... an einem Fuß.|5 Zehen|5 Zeh|5 Zehen
ua|Вона має ... на одній нозі.|5 пальців|5 палець|5 пальців
es|Ella tiene ... en un pie.|5 dedos|5 dedo|5 dedos
fr|Elle a ... à un pied.|5 orteils|5 orteil|5 orteils
tr|Onun bir ayağında ... var.|5 parmaklar|5 parmak|5 parmaklar
hu|Neki az egyik lábán ... van.|5 lábujja|5 lábujja|5 lábujja
E 35912 | A2 type 19 Countable and uncountable | style ironic | options 3 | SEL
en|Perfect beach day, obviously: so much hot ... and a shell under her toes.|sand|sands|a sand
de|Perfekter Strandtag, klar: so viel heißer ... und eine Muschel unter ihren Zehen.|Sand|Sand|ein Sand
ua|Ідеальний пляжний день, звісно: стільки гарячого ... і мушля під її пальцями.|піску|пісків|піску
es|Día de playa perfecto, obvio: tanta ... caliente y una concha bajo sus dedos.|arena|arena|una arena
fr|Journée plage parfaite, évidemment : tellement de ... chaud et un coquillage sous ses orteils.|sable|sable|un sable
tr|Mükemmel plaj günü tabii: bir sürü sıcak ... ve ayak parmaklarının altında bir deniz kabuğu.|kum|kumlar|bir kum
hu|Tökéletes strandnap, persze: annyi forró ... és egy kagyló a lábujjai alatt.|homok|homok|egy homok
MEDIA 5407 | meaning: the bathroom fixture you sit on to pee
E 35934 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|Behind the door is a toilet. Everyone wants ... toilet.|the|a|an
de|Hinter der Tür ist eine Toilette. Alle wollen auf ... Toilette.|die|eine|eine
ua|За дверима туалет. Усі хочуть до ... туалету.|||
es|Detrás de la puerta hay un baño. Todos quieren usar ... baño.|el|un|un
fr|Derrière la porte, il y a des toilettes. Tout le monde veut ... toilettes.|les|des|des
tr|Kapının arkasında bir tuvalet var. Herkes ... tuvalete gitmek istiyor.||bir|bir
hu|Az ajtó mögött egy vécé van. Mindenki ... vécére akar menni.|a|egy|egy
E 35941 | A2 type 13 Present or Past Simple | style flirt | options 2 | SEL
en|You usually hate queues, but last night you ... for the toilet. Respect.|waited|wait|
de|Du hasst normalerweise Schlangen, aber gestern Abend ... du auf die Toilette. Respekt.|wartetest|wartest|
ua|Ти зазвичай ненавидиш черги, але вчора ввечері ... в туалет. Респект.|чекала|чекаєш|
es|Tú normalmente odias las colas, pero anoche ... para ir al baño. Respeto.|esperaste|esperas|
fr|D'habitude tu détestes les files, mais hier soir tu ... pour les toilettes. Respect.|as attendu|attends|
tr|Sen genelde kuyruklardan nefret edersin ama dün akşam tuvalet için ..., helal olsun.|bekledin|beklersin|
hu|Te általában utálod a sorokat, de tegnap este ... a vécére. Respekt.|vártál|vársz|
MEDIA 5408 | meaning: a case holding a set of things you need
E 33589 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|She takes ... screwdriver out of the kit.|one|first|once
de|Sie nimmt ... Schraubenzieher aus dem Werkzeugkoffer.|einen|ersten|einmal
ua|Вона дістає з набору ... викрутку.|одну|першу|один раз
es|Ella saca ... destornillador del maletín.|un|primer|una vez
fr|Elle sort ... tournevis de la mallette.|un|premier|une fois
tr|O, setten ... tornavida çıkarıyor.|bir|birinci|bir kez
hu|Ő kivesz ... csavarhúzót a készletből.|egy|első|egyszer
E 33592 | A2 type 19 Countable and uncountable | style ironic | options 3 | SEL
en|Fifty tools in one kit, exactly what we needed: more ...|equipment.|equipments.|an equipment.
de|Fünfzig Werkzeuge in einem Koffer, genau was wir brauchten: noch mehr ...|Ausrüstung.|Ausrüstung.|eine Ausrüstung.
ua|П'ятдесят інструментів в одному наборі, саме те, чого ми потребували: ще більше ...|спорядження.|спорядження.|спорядження.
es|Cincuenta herramientas en un maletín, justo lo que nosotros necesitábamos: más ...|equipo.|equipo.|un equipo.
fr|Cinquante outils dans une mallette, exactement ce qu'il nous fallait : encore plus de ...|matériel.|matériel.|un matériel.
tr|Tek bir sette elli alet, tam da bizim ihtiyacımız olan şey: daha fazla ...|ekipman.|ekipmanlar.|bir ekipman.
hu|Ötven szerszám egy készletben, pont erre volt szükségünk: még több ...|felszerelés.|felszerelés.|egy felszerelés.
MEDIA 5409 | meaning: one of the hard white parts in your jaws
E 35948 | A2 type 19 Countable and uncountable | style ironic | options 3 | SEL
en|A real professional, obviously: the dentist needs very little ... for her teeth.|time|times|a time
de|Ein echter Profi, klar: Der Zahnarzt braucht sehr wenig ... für ihre Zähne.|Zeit|Zeit|eine Zeit
ua|Справжній професіонал, звісно: стоматолог потребує дуже мало ... на її зуби.|часу|часу|часу
es|Un auténtico profesional, obvio: el dentista necesita muy poco ... para sus dientes.|tiempo|tiempo|un tiempo
fr|Un vrai pro, évidemment : le dentiste a besoin de très peu de ... pour ses dents.|temps|temps|un temps
tr|Gerçek bir profesyonel tabii: diş hekiminin onun dişleri için çok az ... ihtiyacı var.|zamana|zamanlara|bir zamana
hu|Igazi profi, persze: a fogorvosnak nagyon kevés ... kell a fogaihoz.|idő|idő|egy idő
MEDIA 5410 | meaning: a small brush used for cleaning the teeth
E 35954 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|He ... clean his teeth with the green toothbrush.|can|cans|can to
de|Er ... sich die Zähne mit der grünen Zahnbürste putzen.|kann|kann|kann
ua|Він ... чистити зуби зеленою зубною щіткою.|може|може|може
es|Él ... lavarse los dientes con el cepillo verde.|puede|puede|puede
fr|Il ... se brosser les dents avec la brosse à dents verte.|peut|peut|peut
tr|O, dişlerini yeşil diş fırçasıyla ...|fırçalayabilir|fırçalayabilir|fırçalayabilir
hu|Ő meg ... mosni a fogát a zöld fogkefével.|tudja|tudja|tudja
E 35957 | A2 type 23 Must, Have to... | style slang | options 3 | SEL
en|Bro, house rule: everyone ... use their own toothbrush, no cap.|has to|must|should
de|Bro, Hausregel: Jeder ... seine eigene Zahnbürste benutzen, ohne Witz.|muss|muss|sollte
ua|Бро, правило дому: кожен ... користуватися своєю щіткою, без жартів.|має|мусить|мав би
es|Tío, norma de la casa: cada uno ... usar su propio cepillo de dientes, en serio.|tiene que|debe|debería
fr|Frérot, règle de la maison : chacun ... utiliser sa propre brosse à dents, sans mentir.|doit|doit|devrait
tr|Kanka, ev kuralı: herkes kendi diş fırçasını ..., yalan yok.|kullanmak zorunda|kullanmalı|kullanmalı
hu|Tesó, házirend: mindenkinek a saját fogkeféjét ... használnia, komolyan.|kell|kell|kellene
MEDIA 5415 | meaning: the color at the end of the spectrum
E 34674 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|You wait when the light ... red. Respect.|is|are|am
de|Wenn die Ampel rot ..., wartest du. Respekt.|ist|sind|bin
ua|Ти чекаєш, коли світлофор ... червоний. Респект.|є|є|є
es|Tú esperas cuando el semáforo ... en rojo. Respeto.|está|están|estoy
fr|Tu attends quand le feu ... rouge. Respect.|est|sont|suis
tr|Sen ışık kırmızı ... bekliyorsun. Saygı duydum.|||
hu|Te vársz, amikor a lámpa ... piros. Respekt.|||vagyok
E 34679 | A2 type 15 Present Continuous or Simple | style clueless | options 2 | SEL
en|Now he ... at the red light, so that is where he is.|is waiting|waits|
de|Jetzt ... er an der roten Ampel, also ist er genau dort.|wartet|wartet|
ua|Зараз він ... на червоне світло, тож він саме там.|чекає|чекає|
es|Ahora él ... en el semáforo en rojo, así que ahí es donde está.|está esperando|espera|
fr|Là, il ... au feu rouge, donc c'est là qu'il est.|est en train d'attendre|attend|
tr|Şu an o kırmızı ışıkta ..., yani tam orada.|bekliyor|bekler|
hu|Most ő ... a piros lámpánál, szóval ott van.|vár|vár|
MEDIA 5421 | meaning: food and waste thrown out of a kitchen
E 32934 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is the garbage? All over the kitchen floor.|Where|Who|Why
de|... ist der Müll? Überall auf dem Küchenboden.|Wo|Wer|Warum
ua|... сміття? По всій підлозі на кухні.|Де|Хто|Чому
es|¿... está la basura? Por todo el suelo de la cocina.|Dónde|Quién|Por qué
fr|... sont les ordures ? Partout sur le sol de la cuisine.|Où|Qui|Pourquoi
tr|Çöp ...? Mutfak zemininin her yerinde.|nerede|kim|neden
hu|... van a szemét? Szanaszét a konyha padlóján.|Hol|Ki|Miért
