MEDIA 4001 | meaning: a fast military plane that fights enemy aircraft
E 39197 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
es|Para el viernes, toda la oficina ... el vídeo de su equilibrio. ¡Qué desastre!|habrá visto|verá|estará viendo
fr|D'ici vendredi, tout le bureau ... la vidéo de son équilibre. Quelle catastrophe !|aura vu|verra|sera en train de voir
tr|Cumaya kadar bütün ofis onun dengesinin videosunu ... Ne felaket!|görmüş olacak|görecek|izliyor olacak
hu|Péntekre az egész iroda ... a videót az egyensúlyáról. Micsoda katasztrófa!|látni fogja|meglátja|nézni fogja
MEDIA 4004 | meaning: to make something hot or hotter
E 39977 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The jet toaster ... the same two slices for three minutes now.|has been heating|is heating|heats
de|Der Jet-Toaster ... dieselben zwei Scheiben jetzt schon seit drei Minuten.|erhitzt|erhitzt|erhitzt
ua|Тостер-винищувач ... ті самі дві скибочки вже три хвилини.|гріє|гріє|гріє
es|La tostadora avión ... las mismas dos rebanadas desde hace tres minutos.|está calentando|está calentando|calienta
fr|Le grille-pain avion ... les deux mêmes tranches depuis trois minutes maintenant.|chauffe|chauffe|chauffe
tr|Jet tost makinesi aynı iki dilimi üç dakikadır ...|ısıtıyor|ısıtıyor|ısıtır
hu|A vadászgép-kenyérpirító már három perce ... ugyanazt a két szeletet.|melegíti|melegíti|melegíti
MEDIA 4006 | meaning: clear, so you can see through it
E 44260 | B1 type 38 0 Conditional | style clueless | options 3 | SEL
en|If lake water ... transparent, you see the stones, because nothing hides them.|is|will be|was
de|Wenn Seewasser durchsichtig ..., siehst du die Steine, weil nichts sie versteckt.|ist|sein wird|war
ua|Якщо вода в озері ... прозора, ти бачиш каміння, бо ніщо його не ховає.|є|буде|була
es|Si el agua del lago ... transparente, tú ves las piedras, porque nada las esconde.|es|será|era
fr|Si l'eau du lac ... transparente, tu vois les pierres, parce que rien ne les cache.|est|sera|était
tr|Göl suyu şeffaf ..., sen taşları görürsün, çünkü hiçbir şey onları saklamaz.|ise|olacaksa|idiyse
hu|Ha a tó vize átlátszó ..., te látod a köveket, mert semmi sem takarja el őket.||lesz|volt
MEDIA 4008 | meaning: to move something quickly back and forth
E 42814 | B1 type 46 Used to, Would | style ironic | options 3 | SEL
en|He ... shake that tree every night as a kid. Clearly a real professional.|used to|use to|was used to
de|Er ... als Kind jede Nacht an diesem Baum. Ganz klar ein echter Profi.|rüttelte früher|rüttelte früher|war es gewohnt zu rütteln
ua|Він ... трусити те дерево щоночі в дитинстві. Явно справжній профі.|мав звичку|мав звичку|був звиклий
es|De niño, él ... sacudir ese árbol todas las noches. Claramente un auténtico profesional.|solía|solía|estaba acostumbrado a
fr|Enfant, il ... secouer cet arbre toutes les nuits. Clairement un vrai pro.|avait l'habitude de|avait l'habitude de|était habitué à
tr|O çocukken her gece o ağacı ..., belli ki gerçek bir profesyonel.|sallardı|sallardı|sallamaya alışkındı
hu|Ő gyerekként minden éjjel ... azt a fát. Egyértelműen igazi profi.|rázta|rázta|hozzá volt szokva, hogy rázza
E 42820 | B2 type 52 Future Perfect Continuous | style gossip | options 3 | SEL
en|No way, apparently by midnight he ... that tree for a whole hour.|will have been shaking|will shake|will be shaking
de|Echt jetzt, angeblich wird er bis Mitternacht eine ganze Stunde an diesem Baum ...|gerüttelt haben|rütteln|am Rütteln sein
ua|Та ну, кажуть, до півночі він ... те дерево цілу годину.|труситиме|трусне|труситиме
es|No puede ser, al parecer para medianoche él ... ese árbol durante una hora entera.|habrá estado sacudiendo|sacudirá|estará sacudiendo
fr|Sérieux, apparemment d'ici minuit il ... cet arbre pendant une heure entière.|aura secoué|secouera|sera en train de secouer
tr|Yok artık, duyduğuma göre gece yarısına kadar o, o ağacı tam bir saat ...|sallamış olacak|sallayacak|sallıyor olacak
hu|Na ne, állítólag éjfélre ő már egy teljes órája ... azt a fát.|rázni fogja|megrázza|rázni fogja
MEDIA 4013 | meaning: a floor or platform built into a vessel
E 38429 | B2 type 56 Reported speech | style chill | options 3 | SEL
en|The captain suggested ... on the deck to watch the iceberg pass.|staying|to stay|stayed
de|Der Kapitän schlug vor, an Deck ..., um den Eisberg vorbeiziehen zu sehen.|zu bleiben|zu bleiben|blieben
ua|Капітан запропонував ... на палубі, щоб подивитися, як пропливає айсберг.|залишитися|залишитися|залишилися
es|El capitán sugirió ... en la cubierta para ver pasar el iceberg.|quedarse|quedarse|se quedaron
fr|Le capitaine a proposé de ... sur le pont pour regarder passer l'iceberg.|rester|rester|sont restés
tr|Kaptan, buzdağının geçişini izlemek için güvertede ... önerdi.|kalmayı|kalmayı|kaldılar
hu|A kapitány azt javasolta, hogy ... a fedélzeten, hogy nézzük, ahogy elúszik a jéghegy.|maradjunk|maradjunk|maradtunk
MEDIA 4014 | meaning: to move by turning over and over
E 42436 | B2 type 57 Modals in past | style gossip | options 3 | SEL
en|Girl, he ... rolled that suitcase for miles; apparently its wheels are worn out.|must have|should have|would have
de|Mädel, er ... diesen Koffer kilometerweit gerollt haben; angeblich sind die Rollen total abgenutzt.|muss|hätte|würde
ua|Подруго, він ... ту валізу кілометрами; кажуть, колеса вже стерті.|напевно, котив|мав би котити|котив би
es|Amiga, él ... rodado esa maleta durante kilómetros; al parecer las ruedas están destrozadas.|debe de haber|debería haber|habría
fr|Meuf, il ... cette valise sur des kilomètres ; apparemment les roues sont usées.|a dû faire rouler|aurait dû faire rouler|aurait fait rouler
tr|Kızım, o bu bavulu kilometrelerce ...; duyduğuma göre tekerlekleri aşınmış.|çekmiş olmalı|çekmeliydi|çekerdi
hu|Csajszi, ő kilométereken át ... azt a bőröndöt; állítólag teljesen elkoptak a kerekei.|biztosan gurította|gurítania kellett volna|gurította volna
MEDIA 4017 | meaning: a lamp in a case with a handle you can carry
E 40438 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The big red lantern ... beside the window to catch the evening light.|was placed|placed|placing
de|Die große rote Laterne ... neben dem Fenster, um das Abendlicht einzufangen.|wurde platziert|platzierte|platzierend
ua|Великий червоний ліхтар ... біля вікна, щоб ловити вечірнє світло.|був поставлений|поставив|ставлячи
es|El gran farol rojo ... junto a la ventana para captar la luz de la tarde.|fue colocado|colocó|colocando
fr|La grande lanterne rouge ... près de la fenêtre pour capter la lumière du soir.|a été placée|a placé|plaçant
tr|Büyük kırmızı fener, akşam ışığını yakalamak için pencerenin yanına ...|yerleştirildi|yerleştirdi|yerleştirerek
hu|A nagy piros lámpás az ablak mellé ..., hogy elkapja az esti fényt.|lett helyezve|helyezett|helyezve
E 40446 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The red lantern ... by the window for hours before the kitchen light came on.|had been glowing|has been glowing|was glowing
de|Die rote Laterne ... schon stundenlang am Fenster, bevor das Küchenlicht anging.|leuchtete|leuchtet|leuchtete
ua|Червоний ліхтар ... біля вікна годинами, перш ніж увімкнулося світло на кухні.|світився|світиться|світився
es|El farol rojo ... junto a la ventana durante horas antes de que se encendiera la luz de la cocina.|había estado brillando|ha estado brillando|estaba brillando
fr|La lanterne rouge ... près de la fenêtre pendant des heures avant que la lumière de la cuisine ne s'allume.|avait brillé|a brillé|brillait
tr|Mutfak ışığı yanmadan önce kırmızı fener saatlerce pencerenin yanında ...|parlıyordu|parlıyor|parlıyordu
hu|A piros lámpás órák óta ... az ablaknál, mielőtt felkapcsolódott a konyhai lámpa.|világított|világít|világított
MEDIA 4019 | meaning: a round shape with a hole in the middle
E 42355 | B1 type 35 Past Perfect Simple | style gossip | options 3 | SEL
en|Ok so, I heard the puppy ... asleep before the pitbull drifted past in its red ring.|had fallen|has fallen|falls
de|Okay, also ich hab gehört, dass der Welpe schon ..., bevor der Pitbull in seinem roten Ring vorbeitrieb.|eingeschlafen war|eingeschlafen ist|einschläft
ua|Коротше, я чула, що цуценя ... ще до того, як пітбуль пропливав повз у своєму червоному колі.|заснуло|заснуло|засинає
es|Vale, pues yo oí que el cachorro ya ... antes de que el pitbull pasara flotando en su flotador rojo.|se había quedado dormido|se ha quedado dormido|se duerme
fr|Bon alors, j'ai entendu dire que le chiot ... avant que le pitbull ne passe en flottant dans sa bouée rouge.|s'était endormi|s'est endormi|s'endort
tr|Tamam yani, ben duydum ki pitbull kırmızı simidiyle yanından süzülüp geçmeden önce yavru köpek ...|uyuyakalmıştı|uyuyakaldı|uyuyakalır
hu|Oké, szóval én úgy hallottam, a kiskutya ..., mielőtt a pitbull elúszott mellette a piros úszógumijában.|elaludt|elaludt|elalszik
E 42360 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|By the time the man picked up his towel, the puppy ... asleep in its ring for ten minutes.|had been lying|was lying|has been lying
de|Als der Mann sein Handtuch aufhob, ... der Welpe schon zehn Minuten schlafend in seinem Ring.|lag|lag|liegt
ua|Коли чоловік узяв рушник, цуценя вже десять хвилин ... сплячим у своєму колі.|лежало|лежало|лежить
es|Cuando el hombre cogió su toalla, el cachorro ya ... diez minutos dormido en su flotador.|llevaba|estaba|lleva
fr|Quand l'homme a ramassé sa serviette, le chiot ... endormi dans sa bouée depuis dix minutes.|était|était|est
tr|Adam havlusunu aldığında yavru köpek on dakikadır simidinde uyur halde ...|yatıyordu|yatıyordu|yatıyor
hu|Mire a férfi felvette a törölközőjét, a kiskutya már tíz perce ... alva az úszógumijában.|feküdt|feküdt|fekszik
MEDIA 4025 | meaning: to go after someone to catch them
E 37748 | B1 type 40 2. Conditional | style clueless | options 3 | SEL
en|If the tower had no ball, the kitten ... anything, because there would be no ball.|would not chase|will not chase|did not chase
de|Wenn der Turm keinen Ball hätte, ... das Kätzchen gar nichts, weil es keinen Ball gäbe.|jagte|jagt|jagte
ua|Якби в башті не було м'ячика, кошеня ... ні за чим, бо не було б м'ячика.|не ганялося б|не ганятиметься|не ганялося
es|Si la torre no tuviera pelota, el gatito no ... nada, porque no habría pelota.|perseguiría|perseguirá|persiguió
fr|Si la tour n'avait pas de balle, le chaton ne ... rien, parce qu'il n'y aurait pas de balle.|poursuivrait|poursuivra|poursuivait
tr|Kulede top olmasaydı, yavru kedi hiçbir şeyi ..., çünkü top olmazdı.|kovalamazdı|kovalamayacak|kovalamadı
hu|Ha a toronyban nem lenne labda, a kiscica semmit sem ..., mert nem lenne labda.|kergetne|fog kergetni|kergetett
  ~soft: no diacritics at all
E 37751 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|The kitten ... the ball for five whole minutes before catching it. A real professional.|had been chasing|has been chasing|chases
de|Das Kätzchen ... den Ball ganze fünf Minuten, bevor es ihn fing. Ein echter Profi.|jagte|jagt|jagt
ua|Кошеня ... за м'ячиком цілих п'ять хвилин, перш ніж його впіймало. Справжній профі.|ганялося|ганяється|ганяється
es|El gatito ... la pelota cinco minutos enteros antes de atraparla. Todo un profesional.|había estado persiguiendo|ha estado persiguiendo|persigue
fr|Le chaton ... la balle pendant cinq bonnes minutes avant de l'attraper. Un vrai pro.|avait poursuivi|a poursuivi|poursuit
tr|Yavru kedi, yakalamadan önce topu tam beş dakika ..., tam bir profesyonel.|kovalamıştı|kovaladı|kovalar
hu|A kiscica öt teljes percig ... a labdát, mielőtt elkapta. Igazi profi.|kergette|kergeti|kergeti
MEDIA 4027 | meaning: a dish baked in pastry
E 41543 | B2 type 56 Reported speech | style ironic | options 3 | SEL
en|The cow denied ... the whole pie, obviously, while leaning over the empty plate.|eating|to eat|ate
de|Die Kuh bestritt natürlich, den ganzen Kuchen ..., während sie sich über den leeren Teller beugte.|gegessen zu haben|zu essen|aß
ua|Корова, звісно, заперечувала, що ... весь пиріг, нахилившись над порожньою тарілкою.|з'їла|з'їсти|з'їла
es|La vaca negó ... el pastel entero, obviamente, mientras se inclinaba sobre el plato vacío.|haberse comido|comer|comió
fr|La vache a nié ... toute la tarte, évidemment, en se penchant au-dessus de l'assiette vide.|avoir mangé|manger|a mangé
tr|İnek, boş tabağın üzerine eğilirken, tabii ki bütün turtayı ... inkâr etti.|yediğini|yemeyi|yedi
hu|A tehén persze tagadta, hogy ... az egész pitét, miközben az üres tányér fölé hajolt.|megette|megenni|megette
MEDIA 4029 | meaning: to hit something with a sharp blow
E 40405 | B1 type 40 2. Conditional | style dramatic | options 3 | SEL
en|If that bottle ... me off my block, it would be the end of everything!|knocked|knocks|would knock
de|Wenn diese Flasche mich von meinem Block ..., wäre das das Ende von allem!|stoßen würde|stößt|stoßen würde
ua|Якби та пляшка ... мене з мого блока, це був би кінець усього!|збила|зб'є|збила б
es|¡Si esa botella me ... de mi bloque, sería el fin de todo!|tirara|tira|tiraría
fr|Si cette bouteille me ... de mon bloc, ce serait la fin de tout !|faisait tomber|fait tomber|ferait tomber
tr|O şişe beni bloğumdan ..., her şeyin sonu olurdu!|düşürseydi|düşürür|düşürürdü
hu|Ha az a palack ... a blokkomról, az lenne mindennek a vége!|leverne|lever|leverne
E 40408 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|When the bottle knocked him over, his friends ... it for five minutes.|had been swinging|swung|were swinging
de|Als die Flasche ihn umwarf, ... seine Freunde sie schon fünf Minuten hin und her.|schwangen|schwangen|schwangen
ua|Коли пляшка збила його, його друзі ... її вже п'ять хвилин.|розгойдували|розгойдали|розгойдували
es|Cuando la botella lo tiró, sus amigos ... durante cinco minutos.|la habían estado balanceando|la balancearon|la estaban balanceando
fr|Quand la bouteille l'a renversé, ses amis la ... depuis cinq minutes.|balançaient|ont balancée|balançaient
tr|Şişe onu devirdiğinde, arkadaşları onu beş dakikadır ...|sallıyordu|salladı|sallıyordu
hu|Amikor a palack feldöntötte, a barátai már öt perce ... azt.|lengették|meglengették|lengették
MEDIA 4031 | meaning: at the top or highest position
E 44158 | B1 type 41 Passive | style dramatic | options 3 | SEL
en|The top ball ... from across the table, and nobody believed it!|was thrown|threw|is thrown
de|Der oberste Ball ... quer über den Tisch, und keiner konnte es glauben!|wurde geworfen|warf|wird geworfen
ua|Верхній м'ячик ... з іншого боку столу, і ніхто в це не повірив!|був кинутий|кинув|кидають
es|¡La pelota de arriba ... desde el otro lado de la mesa, y nadie se lo creyó!|fue lanzada|lanzó|es lanzada
fr|La balle du haut ... depuis l'autre bout de la table, et personne n'y a cru !|a été lancée|a lancé|est lancée
tr|En üstteki top masanın öbür ucundan ... ve kimse buna inanmadı!|atıldı|attı|atılıyor
hu|A legfelső labdát ... az asztal túloldaláról, és senki sem hitte el!|dobták|dobta|dobják
E 44166 | B2 type 66 All Past Tenses | style business | options 3 | SEL
en|The top ball ... the target at 7:42 p.m., and the stack stayed up.|hit|was hitting|had been hitting
de|Der oberste Ball ... das Ziel um 19:42 Uhr, und der Stapel blieb stehen.|traf|traf gerade|hatte getroffen
ua|Верхній м'ячик ... у ціль о 19:42, і стос устояв.|влучив|влучав|влучав
es|La pelota de arriba ... el objetivo a las 19:42, y la pila se mantuvo en pie.|alcanzó|estaba alcanzando|había estado alcanzando
fr|La balle du haut ... la cible à 19 h 42, et la pile est restée debout.|a atteint|atteignait|avait atteint
tr|En üstteki top saat 19:42'de hedefi ... ve yığın ayakta kaldı.|vurdu|vuruyordu|vurmuştu
hu|A legfelső labda 19:42-kor ... a célt, és a torony állva maradt.|eltalálta|éppen találta el|eltalálta
MEDIA 4032 | meaning: a state of confusion and untidiness
E 40942 | B1 type 36 Future Continuous | style dramatic | options 3 | SEL
en|This time tomorrow, he ... this horrible mess out of his hair forever!|will be washing|will wash|washes
de|Morgen um diese Zeit wird er diese schreckliche Sauerei für immer aus seinen Haaren ...!|waschen|waschen|wäscht
ua|Завтра в цей час він ... цей жахливий безлад зі свого волосся назавжди!|вимиватиме|вимиє|вимиває
es|¡Mañana a esta hora él ... este horrible desastre de su pelo para siempre!|estará lavándose|se lavará|se lava
fr|Demain à cette heure-ci, il ... cette horrible saleté de ses cheveux pour toujours !|sera en train d'enlever|enlèvera|enlève
tr|Yarın bu saatte o, bu korkunç pisliği saçından sonsuza dek ...!|yıkıyor olacak|yıkayacak|yıkar
hu|Holnap ilyenkor ő ... ezt a szörnyű trutyit a hajából, örökre!|épp kimossa|ki fogja mosni|kimossa
E 40951 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Green slime ... from his hair into the box, and the mess keeps growing.|is dripping|drips|has dripped
de|Grüner Schleim ... von seinen Haaren in die Box, und die Sauerei wird immer größer.|tropft|tropft|ist getropft
ua|Зелений слиз ... з його волосся в коробку, і безлад усе росте.|капає|капає|накапав
es|El slime verde ... de su pelo a la caja, y el desastre no para de crecer.|está goteando|gotea|ha goteado
fr|Du slime vert ... de ses cheveux dans la boîte, et le bazar ne cesse de grandir.|dégouline|dégouline|a dégouliné
tr|Yeşil slime saçından kutuya ... ve dağınıklık büyümeye devam ediyor.|damlıyor|damlar|damladı
hu|A zöld slime ... a hajából a dobozba, és a kupi egyre nő.|csöpög|csöpög|lecsöpögött
MEDIA 4039 | meaning: to move slowly with the body near the ground
E 38233 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|This time tomorrow, they ... along the same track with the red band.|will be crawling|will crawl|crawl
de|Morgen um diese Zeit ... sie mit dem roten Band über dieselbe Bahn.|kriechen|kriechen|kriechen
ua|Завтра в цей час вони ... тією самою доріжкою з червоною резинкою.|повзтимуть|проповзуть|повзуть
es|Mañana a esta hora ellos ... por la misma pista con la banda roja.|estarán gateando|gatearán|gatean
fr|Demain à cette heure-ci, ils ... sur la même piste avec l'élastique rouge.|seront en train de ramper|ramperont|rampent
tr|Yarın bu saatte onlar kırmızı bantla aynı pistte ...|sürünüyor olacaklar|sürünecekler|sürünürler
hu|Holnap ilyenkor ők ugyanazon a pályán ... a piros gumiszalaggal.|mászni fognak|másznak majd|másznak
E 38243 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|They ... for only a few metres when the band pulled her flat onto the track.|had crawled|have crawled|crawled
de|Sie ... erst ein paar Meter, als das Band sie flach auf die Bahn zog.|waren gekrochen|sind gekrochen|krochen
ua|Вони ... лише кілька метрів, коли резинка притягнула її плазом на доріжку.|проповзли|проповзли|проповзли
es|Ellos ... solo unos metros cuando la banda la tiró al suelo de la pista.|habían gateado|han gateado|gatearon
fr|Ils ... seulement quelques mètres quand l'élastique l'a plaquée au sol sur la piste.|avaient rampé|ont rampé|ont rampé
tr|Onlar sadece birkaç metre ... ki bant onu pistin üstüne yapıştırdı.|sürünmüşlerdi|süründüler|süründüler
hu|Ők még csak néhány métert ..., amikor a gumiszalag a pályára rántotta a lányt.|kúsztak|kúsztak|kúsztak
MEDIA 4043 | meaning: to cause someone to be surprised
E 43835 | B1 type 49 So, Neither, Nor | style clueless | options 3 | SEL
en|The flowers surprised her because she didn't expect them, and ...|neither did I.|so did I.|neither I did.
de|Die Blumen haben sie überrascht, weil sie sie nicht erwartet hat, und ...|ich auch nicht|ich auch|ich auch nicht
ua|Квіти її здивували, бо вона їх не чекала, і ...|я теж ні|я теж|я теж ні
  ~soft: SEL: pronoun inside an option
es|Las flores la sorprendieron porque ella no las esperaba, y ...|yo tampoco|yo también|yo tampoco
  ~soft: SEL: pronoun inside an option
fr|Les fleurs l'ont surprise parce qu'elle ne les attendait pas, et ...|moi non plus|moi aussi|moi non plus
tr|Çiçekler onu şaşırttı çünkü o onları beklemiyordu, ve ...|ben de beklemiyordum|ben de bekliyordum|ben de beklemiyordum
hu|A virágok meglepték, mert ő nem számított rájuk, és ...|én sem|én is|én sem
  ~soft: SEL: pronoun inside an option
E 43840 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|He had the florist ... the peonies in pink ribbon to surprise her.|wrap|to wrap|wrapped
de|Er ließ die Floristin die Pfingstrosen in rosa Band ..., um sie zu überraschen.|einpacken|einpacken|eingepackt
ua|Він попросив флористку ... півонії в рожеву стрічку, щоб її здивувати.|загорнути|загорнути|загорнуті
es|Él hizo que la florista ... las peonías con una cinta rosa para sorprenderla.|envolviera|envolviera|envueltas
fr|Il a fait ... les pivoines dans un ruban rose par la fleuriste pour la surprendre.|emballer|emballer|emballées
tr|O, onu şaşırtmak için şakayıkları çiçekçiye pembe kurdeleyle ...|sardırdı|sardırdı|sarılmış
hu|Ő a virágárussal pink szalagba ... a bazsarózsákat, hogy meglepje.|csomagoltatta|csomagoltatta|becsomagolva
MEDIA 4046 | meaning: to show you are unwilling to do something
E 42184 | B1 type 42 Passive or Active | style nerd | options 3 | SEL
en|The male ... the request with a raised index finger, as observed.|refused|was refused|refusing
de|Das Männchen ... die Bitte mit erhobenem Zeigefinger, wie beobachtet.|verweigerte|wurde verweigert|verweigernd
ua|Самець ... прохання піднятим вказівним пальцем, як було зафіксовано.|відхилив|був відхилений|відхиляючи
es|El macho ... la petición con el dedo índice levantado, según lo observado.|rechazó|fue rechazado|rechazando
fr|Le mâle ... la demande d'un index levé, comme observé.|a refusé|a été refusé|refusant
tr|Erkek birey, gözlemlendiği üzere, isteği kaldırılmış işaret parmağıyla ...|reddetti|reddedildi|reddederek
hu|A hím egyed ... a kérést felemelt mutatóujjal, ahogy megfigyelték.|elutasította|el lett utasítva|elutasítva
MEDIA 4048 | meaning: to set something up for use
E 40253 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If the owners ... solar panels on the roof, the van makes its own power.|install|installed|will install
de|Wenn die Besitzer Solarmodule aufs Dach ..., erzeugt der Van seinen eigenen Strom.|installieren|installierten|installieren werden
ua|Якщо власники ... сонячні панелі на дах, фургон виробляє власну електрику.|встановлюють|встановили|встановлять
es|Si los dueños ... paneles solares en el techo, la furgoneta produce su propia energía.|instalan|instalaron|instalarán
fr|Si les propriétaires ... des panneaux solaires sur le toit, le van produit sa propre électricité.|installent|installaient|installeront
tr|Sahipler çatıya güneş panelleri ..., minibüs kendi elektriğini üretir.|takarsa|taktıysa|takacaksa
hu|Ha a tulajdonosok napelemeket ... a tetőre, a furgon saját áramot termel.|szerelnek|szereltek|fognak szerelni
E 40260 | B2 type 59 Causative HAVE/GET | style dramatic | options 3 | SEL
en|They refused to have the shower ... by a professional, and it was nearly a disaster!|installed|install|to install
de|Sie weigerten sich, die Dusche von einem Profi ... zu lassen, und es war fast eine Katastrophe!|installieren|installieren|zu installieren
ua|Вони відмовилися, щоб душ ... професіонал, і це була майже катастрофа!|встановив|встановив|встановити
es|¡Ellos se negaron a que un profesional les ... la ducha, y casi fue un desastre!|instalara|instalara|instalar
fr|Ils ont refusé de faire ... la douche par un pro, et ça a failli tourner à la catastrophe !|installer|installer|installer
tr|Onlar duşu bir profesyonele ... reddettiler ve neredeyse felaket oldu!|taktırmayı|takmayı|takmayı
hu|Ők nem voltak hajlandók szakemberrel ... a zuhanyt, és majdnem katasztrófa lett belőle!|beszereltetni|beszerelni|beszerelni
MEDIA 4051 | meaning: a motor vehicle with two wheels
E 41114 | B1 type 41 Passive | style gossip | options 3 | SEL
en|Listen, apparently that motorcycle ... to the truck with a special rack.|is attached|is attaching|attached
de|Hör mal, angeblich ist das Motorrad mit einem speziellen Träger am Truck ...|befestigt|am Befestigen|befestigte
ua|Слухай, кажуть, той мотоцикл ... до вантажівки спеціальним кріпленням.|прикріплений|прикріплює|прикріпив
es|Oye, al parecer esa moto ... al camión con un soporte especial.|está sujeta|está sujetando|sujetó
fr|Écoute, apparemment cette moto ... au camion avec un support spécial.|est fixée|est en train de fixer|a fixé
tr|Dinle, duyduğuma göre o motosiklet kamyona özel bir rafla ...|bağlı|bağlıyor|bağladı
hu|Figyelj, állítólag az a motor egy speciális tartóval ... a teherautóhoz.|van rögzítve|rögzít|rögzítette
E 41117 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By this time next month, he ... the motorcycle on hundreds of short trips.|will have ridden|will ride|rides
de|Nächsten Monat um diese Zeit wird er das Motorrad auf Hunderten kurzer Trips ...|gefahren haben|fahren|fährt
ua|Наступного місяця в цей час він ... сотні коротких поїздок на мотоциклі.|здійснить|здійснюватиме|здійснює
es|El mes que viene a estas alturas, él ... la moto en cientos de viajes cortos.|habrá conducido|conducirá|conduce
fr|D'ici le mois prochain à la même époque, il ... la moto pour des centaines de petits trajets.|aura pris|prendra|prend
tr|Gelecek ay bu zamana kadar o, motosikletle yüzlerce kısa yolculuk ...|yapmış olacak|yapacak|yapar
hu|Jövő hónap ilyenkorra ő már több száz rövid utat ... a motorral.|megtett|fog megtenni|tesz meg
MEDIA 4054 | meaning: a set of keys on a piano or computer
E 40368 | B1 type 47 Gerund vs Infinitive | style nerd | options 3 | SEL
en|The specimen appears to enjoy ... on the keyboard late at night.|tapping|to tap|tap
de|Das Exemplar scheint es zu genießen, spätnachts auf der Tastatur ...|zu tippen|zu tippen|tippen
ua|Схоже, особині подобається ... по клавіатурі пізно вночі.|стукати|стукати|стукати
es|El espécimen parece disfrutar ... en el teclado a altas horas de la noche.|tecleando|teclear|teclear
fr|Le spécimen semble aimer ... sur le clavier tard dans la nuit.|taper|taper|taper
tr|Numunenin gece geç saatlerde klavyede ... hoşlandığı görülüyor.|tıklamaktan|tıklamak|tıkla
hu|Úgy tűnik, a példány élvezi a késő éjjeli ... a billentyűzeten.|kopogást|kopogni|kopog
E 40370 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|By the time the camera zoomed in, the dog ... at the keyboard for hours.|had been sitting|was sitting|sat
de|Als die Kamera heranzoomte, ... der Hund schon seit Stunden an der Tastatur.|saß|saß|saß
ua|Коли камера наблизила кадр, пес уже кілька годин ... за клавіатурою.|сидів|сидів|сидів
es|Cuando la cámara hizo zoom, el perro ya ... horas sentado frente al teclado.|llevaba|estaba|se sentó
fr|Quand la caméra a zoomé, le chien ... devant le clavier depuis des heures.|était assis|était assis|s'est assis
tr|Kamera yakınlaştırdığında köpek saatlerdir klavyenin başında ...|oturuyordu|oturuyordu|oturdu
