MEDIA 4222 | meaning: to signal with your hand
E 44658 | B1 type 31 Past Continuous | style slang | options 3 | SEL
fr|Ce crocodile ... le dinosaure depuis l'eau. Horreur absolue !|a chassé|a été chassé|chassant
tr|O timsah, dinozoru suyun altından ...! Tam bir dehşet!|avladı|avlandı|avlayarak
hu|Az a krokodil a víz alól ... a dinoszauruszra. Abszolút horror!|vadászott|levadászták|vadászva
MEDIA 4227 | meaning: behaving like a friend
E 39625 | B1 type 37 Future Simple or Continuos | style clueless | options 3 | SEL
en|The officer is friendly, so she ... hi again, because friendly people say hi.|will say|will be saying|is saying
de|Die Polizistin ist freundlich, also ... sie wieder Hallo, weil freundliche Leute Hallo sagen.|sagt|sagt|sagt gerade
ua|Поліцейська привітна, тож вона ... привіт знову, бо привітні люди кажуть привіт.|скаже|казатиме|каже
es|La policía es simpática, así que ella ... hola otra vez, porque la gente simpática dice hola.|dirá|estará diciendo|está diciendo
fr|La policière est sympa, alors elle ... encore bonjour, parce que les gens sympas disent bonjour.|dira|sera en train de dire|est en train de dire
tr|Polis memuru arkadaş canlısı, o yüzden o yine merhaba ..., çünkü arkadaş canlısı insanlar merhaba der.|diyecek|diyor olacak|diyor
hu|A rendőrnő barátságos, úgyhogy ő megint ..., mert a barátságos emberek köszönnek.|köszönni fog|köszönni fog|éppen köszön
E 39633 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now, the friendly officer ... the dog in the crate.|is stroking|strokes|has stroked
de|Gerade ... die freundliche Polizistin den Hund in der Kiste.|streichelt|streichelt|hat gestreichelt
ua|Саме зараз привітна поліцейська ... собаку в ящику.|гладить|гладить|погладила
es|Ahora mismo, la policía simpática ... al perro de la caja.|está acariciando|acaricia|ha acariciado
fr|En ce moment, la policière sympa ... le chien dans la caisse.|caresse|caresse|a caressé
tr|Şu anda arkadaş canlısı polis memuru kasadaki köpeği ...|okşuyor|okşar|okşadı
hu|Épp most a barátságos rendőrnő ... a kutyát a ládában.|simogatja|simogatja|megsimogatta
MEDIA 4229 | meaning: to let someone out of confinement
E 39600 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
en|Listen, I heard the monkey ... inside the ice when he came to free it.|was shivering|shivered|has shivered
de|Hör mal, ich hab gehört, dass der Affe im Eis ..., als er kam, um ihn zu befreien.|zitterte|zitterte|gezittert hat
ua|Слухай, я чула, що мавпа ... всередині льоду, коли він прийшов її звільнити.|тремтіла|затремтіла|затремтіла
es|Oye, yo he oído que el mono ... dentro del hielo cuando él vino a liberarlo.|estaba temblando|tembló|ha temblado
fr|Écoute, j'ai entendu dire que le singe ... dans la glace quand il est venu le libérer.|tremblait|a tremblé|a tremblé
tr|Dinle, ben duydum ki o, maymunu kurtarmaya geldiğinde maymun buzun içinde ...|titriyormuş|titremiş|titremiş
hu|Figyelj, én úgy hallottam, hogy a majom ... a jégben, amikor ő odajött kiszabadítani.|reszketett|megremegett|megremegett
E 39607 | B2 type 63 Advanced linkers | style nerd | options 3 | SEL
en|... the thick ice, the specimen was freed in approximately one minute.|Despite|Owing to|Provided
de|... des dicken Eises wurde das Exemplar in etwa einer Minute befreit.|Trotz|Aufgrund|Vorausgesetzt
ua|... товстий лід, зразок було звільнено приблизно за одну хвилину.|Попри|Через|За умови
es|... el grueso hielo, el espécimen fue liberado en aproximadamente un minuto.|A pesar de|Debido a|Siempre que
fr|... la glace épaisse, le spécimen a été libéré en une minute environ.|Malgré|En raison de|Pourvu que
tr|Kalın buz ..., örnek yaklaşık bir dakikada serbest bırakıldı.|olmasına rağmen|nedeniyle|olması şartıyla
hu|A vastag jég ... a példányt körülbelül egy perc alatt kiszabadították.|ellenére|miatt|feltéve
MEDIA 4234 | meaning: a small room or cabinet for storage
E 37855 | B2 type 64 Future in past | style slang | options 3 | SEL
en|Bro, she knew he ... wreck her closet the second she asked, no cap.|would|will|was
de|Bro, sie wusste, dass er ihren Kleiderschrank sofort verwüsten ..., sobald sie fragte, ohne Witz.|würde|wird|war
ua|Бро, вона знала, що він ... її гардероб, щойно вона попросить, без жартів.|розгромить|розгромить|розгромив
es|Bro, ella sabía que él ... su armario en cuanto ella se lo pidiera, en serio.|destrozaría|destrozará|estaba destrozando
fr|Frérot, elle savait qu'il ... son dressing dès qu'elle le demanderait, sans mentir.|saccagerait|saccagera|saccageait
tr|Kanka, o, istediği anda onun dolabını ... biliyordu, yalan yok.|dağıtacağını|dağıtacağını|dağıttığını
hu|Tesó, ő tudta, hogy a srác ... a gardróbját, amint megkéri, komolyan.|szétszedi|szétszedi|szétszedte
MEDIA 4235 | meaning: to put or send something out
E 37635 | B1 type 40 2. Conditional | style ironic | options 3 | SEL
en|If fish had hands, they ... for that cast. Truly legendary technique.|would clap|will clap|clapped
de|Hätten Fische Hände, ... sie diesem Wurf. Wirklich legendäre Technik.|applaudierten|werden applaudieren|applaudierten
ua|Якби риби мали руки, вони ... за цей закид. Справді легендарна техніка.|аплодували б|аплодуватимуть|аплодували
es|Si los peces tuvieran manos, ellos ... por ese lanzamiento. Técnica realmente legendaria.|aplaudirían|aplaudirán|aplaudieron
fr|Si les poissons avaient des mains, ils ... pour ce lancer. Une technique vraiment légendaire.|applaudiraient|applaudiront|applaudissaient
tr|Balıkların elleri olsaydı, onlar bu atış için ...; gerçekten efsanevi bir teknik.|alkışlardı|alkışlayacak|alkışladı
hu|Ha a halaknak keze lenne, ők ... ezért a dobásért. Igazán legendás technika.|tapsolnának|tapsolni fognak|tapsoltak
E 37638 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Girl, apparently he ... for hours before that one perfect cast.|had been practising|has been practising|was practising
de|Mädel, angeblich ... er vor diesem einen perfekten Wurf stundenlang geübt.|hatte|hat|hatte
ua|Подруго, кажуть, він ... годинами перед тим ідеальним закидом.|тренувався|тренувався|тренувався
es|Tía, al parecer él ... durante horas antes de ese lanzamiento perfecto.|había estado practicando|ha estado practicando|estaba practicando
fr|Meuf, apparemment il ... pendant des heures avant ce lancer parfait.|s'était entraîné|s'est entraîné|s'entraînait
tr|Kızım, duyduğuma göre o, o mükemmel atıştan önce saatlerce ...|çalışmıştı|çalışıyor|çalışıyordu
hu|Csajszi, állítólag ő órákig ... az előtt az egy tökéletes dobás előtt.|gyakorolt|gyakorol|gyakorolt
MEDIA 4236 | meaning: to draw someone toward you
E 36905 | B1 type 47 Gerund vs Infinitive | style business | options 3 | SEL
en|The store expects ... 500 new clients once the TV is installed.|to attract|attracting|attract
de|Das Geschäft erwartet, 500 neue Kunden ..., sobald der Fernseher installiert ist.|anzuziehen|anziehend|anziehen
ua|Магазин очікує ... 500 нових клієнтів, щойно телевізор встановлять.|залучити|залучення|залучити
es|La tienda espera ... 500 clientes nuevos una vez que se instale la televisión.|atraer|atrayendo|atraer
fr|Le magasin compte ... 500 nouveaux clients une fois la télé installée.|attirer|attirant|attirer
tr|Mağaza, televizyon kurulduktan sonra 500 yeni müşteri ... bekliyor.|çekmeyi|çekerek|çekmek
hu|Az üzlet arra számít, hogy ... 500 új ügyfelet, amint felszerelik a tévét.|bevonz|bevonzva|bevonzani
E 36907 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The woman ... their attention just as they were lifting the TV off the van.|attracted|had been attracting|has attracted
de|Die Frau ... ihre Aufmerksamkeit genau in dem Moment, als sie den Fernseher vom Transporter hoben.|erregte|hatte erregt|hat erregt
ua|Жінка ... їхню увагу саме тоді, коли вони знімали телевізор з фургона.|привернула|привертала|привернула
es|La mujer ... su atención justo cuando ellos bajaban la tele de la furgoneta.|atrajo|había estado atrayendo|ha atraído
fr|La femme ... leur attention juste au moment où ils descendaient la télé de la camionnette.|a attiré|attirait|a attiré
tr|Onlar televizyonu kamyonetten indirirken kadın tam o anda dikkatlerini ...|çekti|çekiyordu|çekti
hu|A nő épp akkor ... a figyelmüket, amikor a tévét emelték le a furgonról.|magára vonta|vonzotta|magára vonta
MEDIA 4237 | meaning: a farm building for storing grain or animals
E 37112 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|The boy was happy in the barn, and ... the horse with its carrot.|so was|so did|neither was
de|Der Junge war im Stall glücklich, und das Pferd mit seiner Karotte ... auch.|war es|tat es|war es nicht
ua|Хлопчик був щасливий у стайні, і ... кінь зі своєю морквою.|щасливим був і|так само й|не був і
es|El niño estaba feliz en el establo, y ... el caballo con su zanahoria.|también lo estaba|también lo hizo|tampoco lo estaba
fr|Le garçon était heureux dans la grange, et le cheval avec sa carotte ... aussi.|l'était|l'a fait|ne l'était pas
tr|Çocuk ahırda mutluydu, havucuyla at da ...|öyleydi|öyle yaptı|değildi
hu|A fiú boldog volt az istállóban, és a répájával a ló is ...|az volt|úgy tett|nem volt az
E 37118 | B2 type 60 Wish clauses | style gossip | options 3 | SEL
en|Girl, she said she wishes her flat ... a barn with a horse in it.|had|has|will have
de|Mädel, sie hat gesagt, sie wünscht sich, ihre Wohnung ... eine Scheune mit einem Pferd darin.|hätte|hat|wird haben
ua|Подруго, вона сказала, що хотіла б, щоб у її квартирі ... стайня з конем.|була|є|буде
es|Tía, ella dijo que ojalá su piso ... un granero con un caballo dentro.|tuviera|tiene|tendrá
fr|Meuf, elle a dit qu'elle aimerait que son appart ... une grange avec un cheval dedans.|ait|a|aura
tr|Kızım, o, keşke dairesinde içinde at olan bir ahır ... diyormuş.|olsa|var|olacak
hu|Csajszi, ő azt mondta, bárcsak a lakásában ... egy istálló egy lóval.|lenne|van|lesz
MEDIA 4239 | meaning: a seaport or airport where people enter a country
E 41728 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The gull ... the rider through the port between two cargo ships.|carried|was carried|carrying
de|Die Möwe ... den Reiter durch den Hafen zwischen zwei Frachtschiffen hindurch.|trug|wurde getragen|tragend
ua|Чайка ... вершника через порт між двома вантажними суднами.|несла|була несена|несучи
es|La gaviota ... al jinete por el puerto entre dos buques de carga.|llevó|fue llevada|llevando
fr|La mouette ... le cavalier à travers le port entre deux cargos.|a porté|a été portée|portant
tr|Martı, biniciyi limanda iki kargo gemisinin arasından ...|taşıdı|taşındı|taşıyarak
hu|A sirály ... a lovast a kikötőn át két teherhajó között.|vitte|vitték|víve
E 41734 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|The two red cargo ships brought their goods into the port by ...|sea|the sea|a sea
de|Die zwei roten Frachtschiffe brachten ihre Waren über ... in den Hafen.|See|die See|eine See
ua|Два червоні вантажні судна привезли свої товари в порт ...|морем|морем|морем
es|Los dos buques de carga rojos trajeron sus mercancías al puerto por ...|mar|el mar|un mar
fr|Les deux cargos rouges ont apporté leurs marchandises au port par ...|mer|la mer|une mer
tr|İki kırmızı kargo gemisi mallarını limana ... yoluyla getirdi.|deniz|deniz|bir deniz
hu|A két piros teherhajó ... szállította az áruját a kikötőbe.|tengeren|a tengeren|egy tengeren
MEDIA 4240 | meaning: exactly alike
E 40189 | B1 type 34 Present Perfect Simple or Continuos | style dramatic | options 3 | SEL
en|These identical huskies ... each other all afternoon. Total chaos!|have been chasing|chased|are chasing
de|Diese identischen Huskys ... sich schon den ganzen Nachmittag. Totales Chaos!|jagen|jagten|jagen gerade
ua|Ці однакові хаскі ... одне одного все пообіддя. Повний хаос!|ганяють|ганяли|ганяють
es|Estos huskies idénticos se ... toda la tarde. ¡Caos total!|han estado persiguiendo|persiguieron|están persiguiendo
fr|Ces huskys identiques ... tout l'après-midi. Chaos total !|se poursuivent|se sont poursuivis|se poursuivent
tr|Bu birbirinin aynısı huskyler bütün öğleden sonra birbirlerini ...! Tam bir kaos!|kovalıyorlar|kovaladılar|kovalıyorlar
hu|Ezek az egyforma huskyk egész délután ... egymást. Teljes káosz!|kergetik|kergették|kergetik
E 40196 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|The owner ... up the identical huskies for years before buying collars. Genius.|had been mixing|has been mixing|mixes
de|Der Besitzer ... die identischen Huskys jahrelang, bevor er Halsbänder kaufte. Genie.|verwechselte|verwechselt|verwechselt
ua|Власник роками ... однакових хаскі, перш ніж купив нашийники. Геній.|плутав|плутає|плутає
es|El dueño ... a los huskies idénticos durante años antes de comprar collares. Un genio.|había estado confundiendo|ha estado confundiendo|confunde
fr|Le propriétaire ... les huskys identiques pendant des années avant d'acheter des colliers. Génie.|confondait|confond|confond
tr|Sahibi, tasma almadan önce yıllarca birbirinin aynısı huskyleri ...; tam bir dahi.|karıştırmıştı|karıştırıyor|karıştırır
hu|A gazdi évekig ... az egyforma huskykat, mielőtt nyakörvet vett. Zseni.|összekeverte|összekeveri|összekeveri
MEDIA 4241 | meaning: to operate an airplane
E 41593 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The young man ... the plane down through the grey cloud to the runway.|piloted|was piloted|piloting
de|Der junge Mann ... das Flugzeug durch die graue Wolke hinunter auf die Landebahn.|steuerte|wurde gesteuert|steuernd
ua|Молодий чоловік ... літак униз крізь сіру хмару до злітної смуги.|пілотував|був пілотований|пілотуючи
es|El joven ... el avión a través de la nube gris hasta la pista.|pilotó|fue pilotado|pilotando
fr|Le jeune homme ... l'avion à travers le nuage gris jusqu'à la piste.|a piloté|a été piloté|pilotant
tr|Genç adam uçağı gri bulutun içinden piste doğru aşağı ...|uçurdu|uçuruldu|uçurarak
hu|A fiatalember ... a gépet a szürke felhőn át le a kifutópályára.|vezette|vezették|vezetve
E 41602 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By the end of this year, the young man ... planes for 500 hours.|will have piloted|will pilot|will be piloting
de|Bis Ende dieses Jahres wird der junge Mann 500 Stunden lang Flugzeuge ...|geflogen haben|fliegen|am Fliegen sein
ua|До кінця цього року молодий чоловік ... літаки 500 годин.|пілотуватиме|пілотуватиме|пілотуватиме
es|Para finales de este año, el joven ... aviones durante 500 horas.|habrá pilotado|pilotará|estará pilotando
fr|D'ici la fin de l'année, le jeune homme ... des avions pendant 500 heures.|aura piloté|pilotera|sera en train de piloter
tr|Bu yılın sonuna kadar genç adam 500 saat uçak ...|uçurmuş olacak|uçuracak|uçuruyor olacak
hu|Az év végére a fiatalember ... 500 órát repülőgépen.|lerepül|repül|repülni fog
MEDIA 4244 | meaning: to rush at someone in a sudden attack
E 37722 | B1 type 40 2. Conditional | style dramatic | options 3 | SEL
en|If the bull charged at the car again, the window ... completely!|would shatter|will shatter|shattered
de|Wenn der Stier noch mal auf das Auto losginge, ... das Fenster komplett kaputt!|ginge|geht|ging
ua|Якби бик знову кинувся на машину, вікно ... повністю!|розбилося б|розіб'ється|розбилося
es|Si el toro embistiera otra vez contra el coche, ¡la ventanilla se ... por completo!|rompería|romperá|rompió
fr|Si le taureau chargeait encore la voiture, la vitre ... complètement !|éclaterait|éclatera|a éclaté
tr|Boğa arabaya bir daha saldırsa, cam tamamen ...!|parçalanırdı|parçalanacak|parçalandı
hu|Ha a bika újra nekirontana az autónak, az ablak teljesen ...!|betörne|be fog törni|betört
E 37726 | B2 type 67 All Future Tenses | style gossip | options 3 | SEL
en|Okay so, apparently by next week they ... the bull charge story to everyone.|will have told|will tell|will be telling
de|Okay, also angeblich werden sie bis nächste Woche allen die Geschichte vom Stierangriff ...|erzählt haben|erzählen|am Erzählen sein
ua|Окей, отже, кажуть, до наступного тижня вони ... історію про атаку бика всім.|розкажуть|розкажуть|розповідатимуть
es|Vale, pues al parecer para la semana que viene ellos ... la historia de la embestida del toro a todo el mundo.|habrán contado|contarán|estarán contando
fr|Bon, apparemment d'ici la semaine prochaine ils ... l'histoire de la charge du taureau à tout le monde.|auront raconté|raconteront|seront en train de raconter
tr|Tamam, anlaşılan önümüzdeki haftaya kadar onlar boğa saldırısı hikâyesini herkese ...|anlatmış olacaklar|anlatacaklar|anlatıyor olacaklar
hu|Oké, szóval állítólag jövő hétre ők mindenkinek ... a bikatámadásos sztorit.|elmesélik|el fogják mesélni|mesélni fogják
MEDIA 4245 | meaning: to move sideways without control
E 43127 | B1 type 46 Used to, Would | style gossip | options 3 | SEL
en|Girl, apparently they ... slide down here every summer as kids.|used to|were used to|use to
de|Mädel, angeblich ... sie als Kinder jeden Sommer hier runter.|rutschten|waren gewohnt|rutschten
ua|Подруго, кажуть, вони ... тут з'їжджати щоліта, коли були дітьми.|мали звичку|були звиклі|мали звичку
es|Tía, al parecer ellos ... deslizarse por aquí cada verano de niños.|solían|estaban acostumbrados a|solían
fr|Meuf, apparemment ils ... glisser ici chaque été quand ils étaient petits.|avaient l'habitude de|étaient habitués à|avaient l'habitude de
tr|Kızım, duyduğuma göre onlar çocukken her yaz buradan aşağı ...|kayarlarmış|kaymaya alışkınmış|kayarlarmış
hu|Csajszi, állítólag ők gyerekként minden nyáron itt ... lecsúszni.|szoktak|hozzá voltak szokva|szoktak
MEDIA 4250 | meaning: a large building for storing goods
E 44632 | B1 type 48 Question tags | style clueless | options 3 | SEL
en|The dogs work in the warehouse because the pallets are there, ...?|don't they?|aren't they?|didn't they?
de|Die Hunde arbeiten im Lager, weil die Paletten dort sind, ...?|oder|oder|oder
ua|Собаки працюють на складі, бо там палети, ...?|правда|правда|правда
es|Los perros trabajan en el almacén porque los palés están allí, ¿...?|verdad|verdad|verdad
fr|Les chiens travaillent à l'entrepôt parce que les palettes sont là, ... ?|non|non|non
tr|Köpekler depoda çalışıyor çünkü paletler orada, ...?|değil mi|değil mi|değil mi
hu|A kutyák a raktárban dolgoznak, mert ott vannak a raklapok, ...?|nem|nem|nem
E 44634 | B2 type 50 Past Perfect Continuous | style gossip | options 3 | SEL
en|Bestie, word is the retriever ... that forklift for six hours before the crash.|had been driving|has been driving|is driving
de|Bestie, man sagt, dass der Retriever den Gabelstapler vor dem Unfall sechs Stunden lang ...|gefahren hatte|gefahren hat|fährt
ua|Бесті, кажуть, ретривер ... той навантажувач шість годин перед аварією.|кермував|кермує|кермує
es|Bestie, dicen que el retriever ... esa carretilla elevadora seis horas antes del accidente.|había estado conduciendo|ha estado conduciendo|está conduciendo
fr|Bestie, il paraît que le retriever ... ce chariot élévateur depuis six heures avant l'accident.|conduisait|conduit|conduit
tr|Kanka, duyduğuma göre retriever kazadan önce o forklifti altı saattir ...|kullanıyormuş|kullanıyor|kullanıyor
hu|Csajszi, azt beszélik, a retriever hat órán át ... azt a targoncát a baleset előtt.|vezette|vezeti|vezeti
MEDIA 4251 | meaning: an empty area between things
E 43290 | B1 type 31 Past Continuous | style gossip | options 3 | SEL
en|Girl, he told me he ... for space for his clothes when he found the huge heap.|was looking|looked|has looked
de|Mädel, er hat mir erzählt, dass er gerade Platz für seine Klamotten ..., als er den riesigen Haufen fand.|suchte|suchte|gesucht hat
ua|Подруго, він сказав мені, що ... місце для свого одягу, коли знайшов величезну купу.|шукав|шукав|шукав
es|Tía, él me dijo que ... sitio para su ropa cuando encontró el montón enorme.|estaba buscando|buscó|ha buscado
fr|Meuf, il m'a dit qu'il ... de la place pour ses fringues quand il a trouvé l'énorme tas.|cherchait|a cherché|a cherché
tr|Kızım, o bana, devasa yığını bulduğunda kıyafetleri için yer ... söyledi.|aradığını|aradığını|aramış olduğunu
hu|Csajszi, ő azt mondta nekem, hogy épp helyet ... a ruháinak, amikor megtalálta a hatalmas kupacot.|keresett|keresett|keresett
E 43293 | B2 type 60 Wish clauses | style slang | options 3 | SEL
en|Bro, I wish she ... me more space in this wardrobe, fr.|would give|will give|gives
de|Bro, ich wünschte, sie ... mir mehr Platz in diesem Schrank, echt jetzt.|gäbe|wird geben|gibt
ua|Бро, я б хотів, щоб вона ... мені більше місця в цій шафі, реально.|дала|дасть|дає
es|Bro, yo quisiera que ella me ... más espacio en este armario, en serio.|diera|dará|da
fr|Frérot, j'aimerais qu'elle me ... plus de place dans cette armoire, sérieux.|donne|donnera|donne
tr|Kanka, keşke o bana bu dolapta daha fazla yer ..., cidden.|verse|verecek|veriyor
hu|Tesó, bárcsak ő ... nekem több helyet ebben a szekrényben, komolyan.|adna|adni fog|ad
MEDIA 4252 | meaning: a hard building material made with cement
E 37988 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|The patio ... be grass before they laid the concrete.|used to|would|was used to
de|Die Terrasse ... Rasen, bevor sie den Beton gegossen haben.|war früher|wäre|war gewohnt
ua|Тераса ... газоном, поки не поклали бетон.|колись була|була б|звикла бути
es|El patio ... césped antes de que pusieran el hormigón.|solía ser|sería|estaba acostumbrado a ser
fr|La terrasse ... de la pelouse avant qu'ils coulent le béton.|était autrefois|serait|était habituée à être
tr|Onlar betonu dökmeden önce teras ...|eskiden çimendi|çimen olurdu|çimen olmaya alışkındı
hu|A terasz ..., mielőtt leöntötték a betont.|régen füves volt|füves lett volna|hozzá volt szokva, hogy füves legyen
E 37990 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|He ... half the concrete already, while his friend sips a drink. Great teamwork.|has scrubbed|is scrubbing|scrubs
de|Er hat schon den halben Beton ..., während sein Kumpel an einem Drink nippt. Tolle Teamarbeit.|geschrubbt|schrubbt gerade|schrubbt
ua|Він уже ... половину бетону, поки його друг сьорбає напій. Чудова командна робота.|відшкріб|шкребе|шкребе
es|Él ya ... la mitad del hormigón mientras su amigo se toma algo. Gran trabajo en equipo.|ha fregado|está fregando|friega
fr|Il ... déjà la moitié du béton pendant que son pote sirote un verre. Super travail d'équipe.|a frotté|est en train de frotter|frotte
tr|O, betonun yarısını çoktan ..., arkadaşı ise içeceğini yudumluyor. Harika takım çalışması.|fırçaladı|fırçalıyor|fırçalar
hu|Ő már ... a beton felét, miközben a haverja egy italt szürcsöl. Remek csapatmunka.|lesikálta|sikálja|sikálja
MEDIA 4254 | meaning: a long table where business is done
E 38160 | B1 type 37 Future Simple or Continuos | style dramatic | options 3 | SEL
en|The cat screams that he ... another pigeon at his counter ever again!|will never serve|will never be serving|is never serving
de|Der Kater schreit, dass er an seiner Theke nie wieder eine Taube ...!|bedienen wird|am Bedienen sein wird|bedient
ua|Кіт кричить, що він більше ніколи ... жодного голуба за своєю стійкою!|не обслужить|не обслуговуватиме|не обслуговує
es|¡El gato grita que él nunca más ... a otra paloma en su mostrador!|servirá|estará sirviendo|está sirviendo
fr|Le chat hurle qu'il ne ... plus jamais un autre pigeon à son comptoir !|servira|sera en train de servir|sert
tr|Kedi, tezgâhında bir daha asla başka bir güvercine ... diye bağırıyor!|hizmet etmeyeceğim|hizmet ediyor olmayacağım|hizmet etmiyorum
hu|A macska azt üvölti, hogy ő soha többé nem ... másik galambot a pultjánál!|szolgál ki|fog kiszolgálni|szolgál ki éppen
MEDIA 4256 | meaning: to cause friction by rubbing with something sharp
E 42673 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|The man ... the kangaroo's chest three times, and it wants a fourth.|has scratched|has been scratching|was scratching
de|Der Mann hat dem Känguru dreimal die Brust ..., und es will ein viertes Mal.|gekrault|gekrault|kraulte
ua|Чоловік ... кенгуру груди тричі, а воно хоче й учетверте.|почухав|чухає|чухав
es|El hombre le ... el pecho al canguro tres veces, y quiere una cuarta.|ha rascado|ha estado rascando|estaba rascando
fr|L'homme ... le torse du kangourou trois fois, et il en veut une quatrième.|a gratté|gratte depuis|grattait
tr|Adam kangurunun göğsünü üç kez ... ve o dördüncüyü istiyor.|kaşıdı|kaşıyor|kaşıyordu
hu|A férfi háromszor ... a kenguru mellkasát, és az egy negyediket is akar.|megvakarta|vakarja|vakarta
MEDIA 4258 | meaning: a strong metal made of iron and a little carbon
E 43527 | B1 type 47 Gerund vs Infinitive | style dramatic | options 3 | SEL
en|At first the fawn absolutely refused ... out of that steel slide!|to climb|climbing|climb
de|Zuerst weigerte sich das Rehkitz total, aus dieser Stahlrutsche ...!|zu klettern|kletternd|klettern
ua|Спершу оленятко категорично відмовлялося ... з тієї сталевої гірки!|вилазити|вилазіння|вилазити
es|¡Al principio el cervatillo se negó rotundamente a ... de ese tobogán de acero!|salir|saliendo|salir
fr|Au début, le faon refusait catégoriquement de ... de ce toboggan en acier !|sortir|sortant|sortir
tr|Yavru geyik ilk başta o çelik kaydıraktan ... kesinlikle reddetti!|çıkmayı|çıkarak|çıkmak
hu|Az őzike eleinte egyáltalán nem volt hajlandó ... abból az acélcsúszdából!|kimászni|kimászva|kimászik
E 43533 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The fawn ... in the steel slide for a while before it walked off.|had been lying|has been lying|is lying
de|Das Rehkitz ... eine Weile in der Stahlrutsche, bevor es wegging.|lag|liegt|liegt
ua|Оленятко ... деякий час у сталевій гірці, перш ніж пішло.|лежало|лежить|лежить
es|El cervatillo ... un rato en el tobogán de acero antes de marcharse.|había estado tumbado|ha estado tumbado|está tumbado
fr|Le faon ... un moment dans le toboggan en acier avant de s'en aller.|était resté allongé|est resté allongé|est allongé
tr|Yavru geyik uzaklaşmadan önce bir süre çelik kaydırakta ...|yatmıştı|yatıyor|yatıyor
