MEDIA 5209 | meaning: to sit or lie back comfortably doing nothing
E 40734 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
es|Su regreso fue bastante icónico: ella ... descalza cuando la cámara la pilló.|estaba girando|giró|ha girado
fr|Son retour était grave iconique : elle ... pieds nus quand la caméra l'a filmée.|tournoyait|a tournoyé|a tournoyé
tr|Onun dönüşü resmen ikonikti: kamera onu yakaladığında o yalınayak ...|dönüyordu|döndü|dönmüş
hu|A visszatérése lowkey ikonikus volt: ő éppen mezítláb ..., amikor a kamera elkapta.|pörgött|megpördült|megpördült
E 42304 | B2 type 62 Articles advanced | style gossip | options 3 | SEL
en|Girl, I heard ... of our favourite traveller happened today.|the return|a return|return
de|Süße, ich habe gehört, dass ... unserer Lieblingsreisenden heute passiert ist.|die Rückkehr|eine Rückkehr|Rückkehr
ua|Подруго, я чула, що ... нашої улюбленої мандрівниці відбулося сьогодні.|повернення|повернення|повернення
es|Tía, yo he oído que ... de nuestra viajera favorita fue hoy.|el regreso|un regreso|regreso
fr|Meuf, j'ai entendu dire que ... de notre voyageuse préférée a eu lieu aujourd'hui.|le retour|un retour|retour
tr|Kızım, ben duydum ki en sevdiğimiz gezginin ... bugün gerçekleşmiş.|dönüşü|bir dönüşü|dönüşü
hu|Csajszi, én úgy hallottam, hogy a kedvenc utazónknak ... ma történt.|a visszatérése|egy visszatérése|visszatérése
MEDIA 5213 | meaning: the line that runs trains for passengers
E 42042 | B1 type 48 Question tags | style chill | options 3 | SEL
en|The railway platform is full of happy people, ...?|isn't it?|doesn't it?|is it?
de|Der Bahnsteig ist voller glücklicher Leute, ...?|nicht wahr|oder|ja
ua|Залізнична платформа повна щасливих людей, ...?|чи не так|хіба ні|так
es|El andén del tren está lleno de gente feliz, ¿...?|verdad|no|sí
fr|Le quai de la gare est plein de gens heureux, ... ?|n'est-ce pas|non|hein
tr|Tren peronu mutlu insanlarla dolu, ...?|değil mi|değil mi|öyle mi
hu|A vasúti peron tele van boldog emberekkel, ...?|nem igaz|ugye|igaz
E 42050 | B2 type 56 Reported speech | style ironic | options 3 | SEL
en|She later denied ... down the railway platform, which was clearly very believable.|running|to run|ran
de|Später bestritt sie, dass sie den Bahnsteig entlang ..., was natürlich total glaubwürdig war.|gerannt ist|zu rennen|rannte
ua|Пізніше вона заперечила, що ... по залізничній платформі, що було, звісно, дуже правдоподібно.|бігла|бігти|бігла
es|Más tarde ella negó ... por el andén, lo cual era claramente muy creíble.|haber corrido|correr|que corrió
fr|Plus tard, elle a nié ... sur le quai de la gare, ce qui était clairement très crédible.|avoir couru|courir|qu'elle courait
tr|O daha sonra peronda ... inkâr etti, ki bu kesinlikle çok inandırıcıydı.|koştuğunu|koşmayı|koştuğunu
hu|Később ő tagadta, hogy ... a vasúti peronon, ami egyértelműen nagyon hihető volt.|futott|futni|futott
MEDIA 5216 | meaning: a slow, relaxed walk for pleasure
E 43700 | B1 type 44 Relative clauses | style flirt | options 3 | SEL
en|The stroll ... you took through the flower market? Kind of perfect.|which|who|whose
de|Der Spaziergang, ... du über den Blumenmarkt gemacht hast? Ziemlich perfekt.|den|der|dessen
ua|Прогулянка, ... ти зробила квітковим ринком? Майже ідеальна.|яку|хто|чия
es|¿El paseo ... tú diste por el mercado de flores? Bastante perfecto.|que|quien|cuyo
fr|La balade ... tu as faite au marché aux fleurs ? Plutôt parfaite.|que|qui|dont
tr|Çiçek pazarında ... senin yaptığın yürüyüş mü? Resmen mükemmel.|||
hu|A séta, ... te a virágpiacon tettél? Elég tökéletes.|amit|aki|akinek a
E 43704 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now she ... her stroll on a rooftop above the city.|is finishing|finishes|has finished
de|Gerade ... sie ihren Spaziergang auf einem Dach über der Stadt.|beendet|beendet|hat beendet
ua|Саме зараз вона ... свою прогулянку на даху над містом.|завершує|завершує|завершила
es|Ahora mismo ella ... su paseo en una azotea sobre la ciudad.|está terminando|termina|ha terminado
fr|En ce moment, elle ... sa balade sur un toit au-dessus de la ville.|est en train de finir|finit|a fini
tr|Şu anda o, şehrin üstündeki bir çatıda yürüyüşünü ...|bitiriyor|bitirir|bitirdi
hu|Éppen most ő ... a sétáját egy tetőn a város felett.|fejezi be|befejezi|befejezte
MEDIA 5219 | meaning: a person who shares a room with you
E 42459 | B1 type 33 Past Simple or Continuos | style dramatic | options 3 | SEL
en|My roommate lost at rock-paper-scissors, so he ... the bin out! Absolute betrayal!|took|was taking|has taken
de|Mein Mitbewohner hat bei Schere-Stein-Papier verloren, also ... er den Müll raus! Absoluter Verrat!|brachte|brachte gerade|hat gebracht
ua|Мій сусід по кімнаті програв у камінь-ножиці-папір, тож він ... сміття! Абсолютна зрада!|виніс|виносив|виніс
es|¡Mi compañero de piso perdió a piedra, papel o tijera, así que él ... la basura! ¡Traición total!|sacó|estaba sacando|ha sacado
fr|Mon coloc a perdu à pierre-feuille-ciseaux, donc il ... la poubelle ! Trahison totale !|a sorti|sortait|a sorti
tr|Oda arkadaşım taş-kağıt-makasta kaybetti, o yüzden çöpü o ...! Tam bir ihanet!|çıkardı|çıkarıyordu|çıkarmış
hu|A lakótársam vesztett kő-papír-ollóban, így ő ... a szemetet! Totális árulás!|vitte ki|vitte ki éppen|kivitte
MEDIA 5220 | meaning: to remove something by snipping it off
E 37842 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|So far this morning, the gardener ... six roses with the old iron shears.|has clipped|has been clipping|is clipping
de|Heute Morgen hat der Gärtner bisher sechs Rosen mit der alten Eisenschere ...|abgeschnitten|geschnitten|am Schneiden
ua|Цього ранку садівник уже ... шість троянд старими залізними ножицями.|зрізав|зрізав|зрізає
es|En lo que va de mañana, el jardinero ... seis rosas con las viejas tijeras de hierro.|ha cortado|ha estado cortando|está cortando
fr|Depuis ce matin, le jardinier ... six roses avec le vieux sécateur en fer.|a coupé|a coupé|est en train de couper
tr|Bu sabah şimdiye kadar bahçıvan eski demir makasla altı gül ...|kesti|kesip duruyor|kesiyor
hu|Ma reggel eddig a kertész ... hat rózsát a régi vasollóval.|vágott le|vágott le|vág le
MEDIA 5221 | meaning: to move in a curving, twisting course
E 44768 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|While the traveller ... along the winding path, birds circled over the lake.|was walking|walked|has walked
de|Während der Wanderer den gewundenen Pfad entlang ..., kreisten Vögel über dem See.|ging|ging|gegangen ist
ua|Поки мандрівник ... звивистою стежкою, птахи кружляли над озером.|ішов|пройшов|пройшов
es|Mientras el viajero ... por el sendero sinuoso, unos pájaros volaban en círculos sobre el lago.|caminaba|caminó|ha caminado
fr|Pendant que le voyageur ... le long du sentier sinueux, des oiseaux tournaient au-dessus du lac.|marchait|a marché|a marché
tr|Gezgin kıvrımlı patikada ..., kuşlar gölün üzerinde daireler çiziyordu.|yürürken|yürüdüğünde|yürümüşken
hu|Miközben az utazó a kanyargós ösvényen ..., madarak köröztek a tó felett.|sétált|végigsétált|végigsétált
MEDIA 5222 | meaning: a flight of stairs you walk up or down
E 43568 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
en|You love these steep steps, and honestly, ...|so do I.|so am I.|neither do I.
de|Du liebst diese steilen Stufen, und ehrlich gesagt ...|ich auch|ich auch|ich auch nicht
ua|Ти обожнюєш ці круті сходи, і, чесно, ...|я теж|я теж|я теж ні
  ~soft: SEL: pronoun inside an option
es|Te encantan estas escaleras empinadas y, sinceramente, ...|a mí también|a mí también|a mí tampoco
fr|Tu adores ces marches raides et, franchement, ...|moi aussi|moi aussi|moi non plus
tr|Sen bu dik basamakları seviyorsun ve açıkçası ...|ben de|ben de|ben de sevmiyorum
hu|Te imádod ezeket a meredek lépcsőket, és őszintén ...|én is|én is|én sem
  ~soft: SEL: pronoun inside an option
E 43570 | B2 type 51 Future Perfect Simple | style ironic | options 3 | SEL
en|By noon, she ... every single step on the mountain, a mildly lazy day.|will have climbed|will climb|will be climbing
de|Bis Mittag wird sie jede einzelne Stufe am Berg ..., ein leicht fauler Tag.|erklommen haben|erklimmen|am Erklimmen sein
ua|До полудня вона ... кожну сходинку на горі, трохи лінивий день.|вже подолає|подолає|долатиме
es|Para el mediodía, ella ... cada escalón de la montaña, un día un poco vago.|habrá subido|subirá|estará subiendo
fr|D'ici midi, elle ... chaque marche de la montagne, une journée légèrement paresseuse.|aura gravi|gravira|sera en train de gravir
tr|Öğlene kadar o dağdaki her bir basamağı ..., biraz tembel bir gün.|çıkmış olacak|çıkacak|çıkıyor olacak
hu|Délre ő ... a hegy minden egyes lépcsőfokát, egy enyhén lusta nap.|már megmássza|meg fogja mászni|mászni fogja
MEDIA 5223 | meaning: an established line of travel you follow
E 42492 | B2 type 59 Causative HAVE/GET | style ironic | options 3 | SEL
en|Obviously she had the route ... on a map, just in case she forgot her own plan.|drawn|draw|to draw
de|Natürlich ließ sie die Route auf einer Karte ..., nur für den Fall, dass sie ihren eigenen Plan vergisst.|einzeichnen|einzeichnen|einzuzeichnen
ua|Звісно, вона попросила, щоб їй ... маршрут на карті, на випадок, якщо вона забуде власний план.|намалювали|намалювати|намалювати
es|Obviamente, ella mandó ... la ruta en un mapa, por si se le olvidaba su propio plan.|dibujar|dibujar|dibujar
fr|Évidemment, elle a fait ... l'itinéraire sur une carte, au cas où elle oublierait son propre plan.|dessiner|dessiner|dessiner
tr|Tabii ki o, kendi planını unutursa diye rotayı bir haritaya ...|çizdirdi|çizdirdi|çizdirmek
hu|Persze ő ... az útvonalat egy térképre, arra az esetre, ha elfelejtené a saját tervét.|felrajzoltatta|felrajzoltatta|felrajzoltatni
MEDIA 5226 | meaning: a train car where passengers ride
E 37616 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|He ... beside the carriages when the train began to move.|was running|ran|has run
de|Er ... neben den Waggons her, als der Zug losfuhr.|rannte|rannte|ist gerannt
ua|Він ... поруч із вагонами, коли потяг рушив.|біг|пробіг|пробіг
es|Él ... junto a los vagones cuando el tren empezó a moverse.|estaba corriendo|corrió|ha corrido
fr|Il ... à côté des wagons quand le train a commencé à rouler.|courait|a couru|a couru
tr|Tren hareket etmeye başladığında o vagonların yanında ...|koşuyordu|koştu|koşmuş
hu|Ő ... a kocsik mellett, amikor a vonat elindult.|futott|elfutott|elfutott
E 37625 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|... the train was already moving, he climbed into the carriage.|Even though|Despite|In spite of
de|... der Zug schon fuhr, kletterte er in den Waggon.|Obwohl|Trotz|Ungeachtet
ua|... потяг уже рухався, він заліз у вагон.|Хоча|Попри|Незважаючи на
  ~soft: length ratio 0.59
es|... el tren ya estaba en marcha, él se subió al vagón.|Aunque|A pesar de|Pese a
fr|... le train roulait déjà, il est monté dans le wagon.|Même si|Malgré|En dépit de
tr|Tren zaten hareket ediyor ..., o vagona tırmandı.|olsa da|olmasına rağmen|olmasına karşın
hu|... a vonat már mozgott, ő felmászott a kocsiba.|Habár|Ellenére|Dacára
MEDIA 5227 | meaning: more than two or three, but not many
E 42804 | B1 type 42 Passive or Active | style clueless | options 3 | SEL
en|Several dogs ... her because she was in front of them.|followed|were followed|following
de|Mehrere Hunde ... ihr, weil sie vor ihnen war.|folgten|wurden gefolgt|folgend
ua|Кілька собак ... за нею, бо вона була перед ними.|ішли|були переслідувані|ідучи
es|Varios perros la ... porque ella estaba delante de ellos.|siguieron|fueron seguidos|siguiendo
fr|Plusieurs chiens ... parce qu'elle était devant eux.|l'ont suivie|ont été suivis|la suivant
tr|Birkaç köpek onu ..., çünkü o onların önündeydi.|takip etti|takip edildi|takip ederek
hu|Több kutya ... őt, mert ő előttük volt.|követte|követve volt|követve
E 42805 | B2 type 65 All Present Tenses | style nerd | options 3 | SEL
en|Several dogs ... the runner now, which is typically observed in social species.|are following|follow|have followed
de|Mehrere Hunde ... der Läuferin jetzt, was typischerweise bei sozialen Arten beobachtet wird.|folgen|folgen|sind gefolgt
ua|Кілька собак зараз ... за бігункою, що типово спостерігається в соціальних видів.|біжать|бігають|побігли
es|Varios perros ... a la corredora ahora, lo cual se observa típicamente en especies sociales.|están siguiendo|siguen|han seguido
fr|Plusieurs chiens ... la coureuse en ce moment, ce qui s'observe typiquement chez les espèces sociales.|suivent|suivent|ont suivi
tr|Birkaç köpek şu anda koşucuyu ..., ki bu sosyal türlerde tipik olarak gözlemlenir.|takip ediyor|takip eder|takip etti
hu|Több kutya most ... a futót, ami jellemzően megfigyelhető a társas fajoknál.|követi|követi|követte
MEDIA 5229 | meaning: a small number or amount of something
E 39915 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|The sun ... over the square when she threw a handful of snow into the air.|was shining|shone|has shone
de|Die Sonne ... über dem Platz, als sie eine Handvoll Schnee in die Luft warf.|schien|schien|hat geschienen
ua|Сонце ... над площею, коли вона підкинула жменю снігу в повітря.|світило|засвітило|засвітило
es|El sol ... sobre la plaza cuando ella lanzó un puñado de nieve al aire.|brillaba|brilló|ha brillado
fr|Le soleil ... sur la place quand elle a lancé une poignée de neige en l'air.|brillait|brilla|a brillé
tr|O havaya bir avuç kar attığında güneş meydanın üzerinde ...|parlıyordu|parladı|parlamış
hu|A nap ... a tér felett, amikor ő egy maréknyi havat dobott a levegőbe.|sütött|kisütött|kisütött
MEDIA 5231 | meaning: kindness in welcoming guests
E 40122 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|Rarely ... such warm hospitality around one samovar.|have guests enjoyed|guests have enjoyed|did guests enjoyed
de|Selten ... so herzliche Gastfreundschaft an einem einzigen Samowar.|genossen Gäste|Gäste genossen|genossen Gäste
ua|Рідко ... таку теплу гостинність біля одного самовара.|гості відчували|гості відчували|гості відчували
es|Pocas veces ... una hospitalidad tan cálida alrededor de un solo samovar.|han disfrutado los invitados|los invitados han disfrutado|disfrutaron los invitados
fr|Rarement ... une hospitalité aussi chaleureuse autour d'un seul samovar.|des invités ont-ils connu|des invités ont connu|des invités connurent
tr|Konuklar nadiren tek bir semaverin başında bu kadar sıcak bir misafirperverliğin ...|tadını çıkarmıştır|tadını çıkarmıştır|tadını çıkardı
hu|Ritkán ... a vendégek ilyen meleg vendégszeretetet egyetlen szamovár körül.|élveztek|élveztek|élvezték
MEDIA 5232 | meaning: a boat with sails used for cruising or racing
E 44891 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The fjord ... the yacht crosses is surrounded by steep mountains.|which|who|where
de|Der Fjord, ... die Jacht durchquert, ist von steilen Bergen umgeben.|den|der|wo
ua|Фіорд, ... перетинає яхта, оточений крутими горами.|який|хто|де
es|El fiordo ... cruza el yate está rodeado de montañas empinadas.|que|quien|donde
fr|Le fjord ... le yacht traverse est entouré de montagnes escarpées.|que|qui|où
tr|Yatın ... geçtiği fiyort dik dağlarla çevrili.|||
hu|A fjord, ... a jacht átszel, meredek hegyekkel van körülvéve.|amelyet|aki|ahol
E 44897 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|The yacht ... across the fjord for hours when she finally screamed with joy!|had been sailing|sailed|was sailing
de|Die Jacht ... schon stundenlang über den Fjord, als sie endlich vor Freude schrie!|segelte|segelte|segelte
ua|Яхта вже кілька годин ... фіордом, коли вона нарешті закричала від радості!|пливла|пливла|пливла
es|¡El yate ... por el fiordo durante horas cuando ella por fin gritó de alegría!|había estado navegando|navegó|estaba navegando
fr|Le yacht ... sur le fjord depuis des heures quand elle a enfin crié de joie !|naviguait|a navigué|naviguait
tr|O sonunda sevinçle çığlık attığında yat saatlerdir fiyortta ...!|seyrediyordu|seyretti|seyrediyordu
hu|A jacht már órák óta ... a fjordon, amikor ő végre felsikoltott örömében!|hajózott|hajózott|hajózott
MEDIA 5233 | meaning: connected with soldiers and the army
E 40993 | B1 type 41 Passive | style clueless | options 3 | SEL
en|The salute ... by military officers, so it looks very military.|is given|gives|is giving
de|Der Salut wird von Militäroffizieren ..., also sieht er sehr militärisch aus.|ausgeführt|ausführen|ausführend
ua|Салют ... військовими офіцерами, тому він виглядає дуже по-військовому.|віддається|віддає|віддає
es|El saludo ... por oficiales militares, así que parece muy militar.|es hecho|hace|está haciendo
fr|Le salut ... par des officiers militaires, donc ça fait très militaire.|est fait|fait|est en train de faire
tr|Selam askeri subaylar tarafından ..., bu yüzden çok askeri görünüyor.|verilir|verir|veriyor
hu|A tisztelgést katonatisztek ..., így nagyon katonásnak tűnik.|végzik|végzi|végzi éppen
MEDIA 5234 | meaning: a row of soldiers standing side by side
E 42069 | B1 type 36 Future Continuous | style gossip | options 3 | SEL
en|Bestie, word is this time tomorrow she ... in the front rank again.|will be standing|will stand|stands
de|Bestie, es heißt, dass sie morgen um diese Zeit wieder in der ersten Reihe ...|stehen wird|stehen wird|steht
ua|Подружко, кажуть, завтра в цей час вона знову ... в першій шерензі.|стоятиме|стоятиме|стоїть
es|Bestie, dicen que mañana a esta hora ella ... otra vez en la primera fila.|estará formando|formará|forma
fr|Ma belle, il paraît que demain à la même heure, elle ... de nouveau au premier rang.|se tiendra|se tiendra|se tient
tr|Kanka, duyduğuma göre yarın bu saatte o yine ön sırada ...|duruyor olacak|duracak|duruyor
hu|Bestie, azt mondják, holnap ilyenkor ő megint az első sorban ...|fog állni|áll majd|áll
E 42077 | B2 type 53 3. Conditional | style dramatic | options 3 | SEL
en|If one woman had moved, the whole rank ... completely ruined!|would have been|will be|was
de|Wenn sich eine Frau bewegt hätte, ... die ganze Reihe komplett ruiniert gewesen!|wäre|wird|war
ua|Якби одна жінка поворухнулася, уся шеренга ... повністю зіпсована!|була б|буде|була
es|¡Si una mujer se hubiera movido, toda la fila ... completamente arruinada!|habría quedado|quedará|quedó
fr|Si une femme avait bougé, toute la rangée ... complètement fichue !|aurait été|sera|était
tr|Bir kadın kıpırdasaydı, bütün sıra tamamen ...!|mahvolmuş olurdu|mahvolacak|mahvoldu
hu|Ha egy nő megmozdult volna, az egész sor teljesen ...!|tönkrement volna|tönkremegy majd|tönkrement
MEDIA 5235 | meaning: goods carried by a large vehicle
E 37604 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|She ... the last cargo crate when a crane lowered a container overhead.|was stamping|stamped|has stamped
de|Sie ... gerade die letzte Frachtkiste, als ein Kran über ihr einen Container herabließ.|stempelte|stempelte ab|hat abgestempelt
ua|Вона ... останній ящик з вантажем, коли кран опустив над нею контейнер.|штампувала|проштампувала|проштампувала
es|Ella ... la última caja de carga cuando una grúa bajó un contenedor por encima.|estaba sellando|selló|ha sellado
fr|Elle ... la dernière caisse de fret quand une grue a descendu un conteneur au-dessus d'elle.|tamponnait|a tamponné|a tamponné
tr|Bir vinç başının üstünden bir konteyner indirdiğinde o son kargo sandığını ...|damgalıyordu|damgaladı|damgalamış
hu|Ő éppen ... az utolsó rakományládát, amikor egy daru leeresztett felette egy konténert.|pecsételte|lepecsételte|lepecsételte
MEDIA 5236 | meaning: the space between two objects or points
E 38672 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time the sun set, he ... only half the distance to the city.|had walked|has walked|walks
de|Als die Sonne unterging, ... er erst die Hälfte der Strecke zur Stadt gegangen.|war|ist|geht
ua|Коли сонце сіло, він ... лише половину відстані до міста.|пройшов|пройшов|проходить
es|Para cuando se puso el sol, él ... solo la mitad de la distancia hasta la ciudad.|había recorrido|ha recorrido|recorre
fr|Au moment où le soleil s'est couché, il ... seulement la moitié de la distance jusqu'à la ville.|avait parcouru|a parcouru|parcourt
tr|Güneş battığında o şehre olan mesafenin sadece yarısını ...|yürümüştü|yürüdü|yürüyor
hu|Mire lement a nap, ő a városig tartó távnak csak a felét ...|tette meg|tette meg|teszi meg
MEDIA 5238 | meaning: a hill of sand made by the wind
E 38833 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If the wind ... hard, the sand on the dune moves.|blows|will blow|blew
de|Wenn der Wind stark ..., bewegt sich der Sand auf der Düne.|weht|wehen wird|wehte
ua|Якщо вітер ... сильно, пісок на дюні рухається.|дме|дутиме|дув
es|Si el viento ... fuerte, la arena de la duna se mueve.|sopla|soplará|sopló
fr|Si le vent ... fort, le sable de la dune bouge.|souffle|soufflera|soufflait
tr|Rüzgâr sert ..., kumuldaki kum hareket eder.|eserse|esecekse|estiyse
hu|Ha a szél erősen ..., a homok mozog a dűnén.|fúj|fújni fog|fújt
E 38837 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|He ... on the dune for an hour before he walked to the carved rocks.|had been filming|has been filming|is filming
de|Er ... eine Stunde lang auf der Düne, bevor er zu den gemeißelten Felsen ging.|filmte|filmt schon|filmt gerade
ua|Він ... на дюні годину, перш ніж пішов до різьблених скель.|знімав|знімає|знімає
es|Él ... en la duna durante una hora antes de ir hasta las rocas talladas.|había estado grabando|ha estado grabando|está grabando
fr|Il ... sur la dune pendant une heure avant de marcher vers les rochers sculptés.|avait filmé|a filmé|filme
tr|O oyma kayalara yürümeden önce bir saat boyunca kumulda ...|çekim yapıyordu|çekim yapıyor|çekim yapıyor
hu|Ő egy órán át ... a dűnén, mielőtt a faragott sziklákhoz sétált.|filmezett|filmez|filmez
MEDIA 5239 | meaning: the act of setting someone or something free
E 42215 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|The falconer ... the falcon's release for weeks.|has been planning|has planned|is planning
de|Der Falkner ... die Freilassung des Falken schon seit Wochen.|plant|hat geplant|plant gerade
ua|Сокольник ... випуск сокола вже кілька тижнів.|планує|спланував|планує
es|El halconero ... la suelta del halcón durante semanas.|ha estado planeando|ha planeado|está planeando
fr|Le fauconnier ... la libération du faucon depuis des semaines.|prépare|a préparé|est en train de préparer
tr|Şahinci haftalardır şahinin salınmasını ...|planlıyor|planladı|planlıyor
hu|A solymász hetek óta ... a sólyom szabadon engedését.|tervezi|megtervezte|tervezi
MEDIA 5240 | meaning: a movable body part used for flying
E 44784 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
en|You stayed calm under those wide wings, and honestly, ...|so did the falcon.|so was the falcon.|so does the falcon.
de|Du bist unter diesen breiten Flügeln ruhig geblieben, und ehrlich gesagt ...|der Falke auch|der Falke auch|der Falke auch
ua|Ти залишався спокійним під цими широкими крилами, і, чесно, ...|сокіл теж|сокіл теж|сокіл теж
es|Tú mantuviste la calma bajo esas alas enormes y, sinceramente, ...|el halcón también|el halcón también|el halcón también
fr|Tu es resté calme sous ces grandes ailes et, franchement, ...|le faucon aussi|le faucon aussi|le faucon aussi
tr|Sen o geniş kanatların altında sakin kaldın ve açıkçası ...|şahin de|şahin de|şahin de
hu|Te nyugodt maradtál azok alatt a széles szárnyak alatt, és őszintén ...|a sólyom is|a sólyom is|a sólyom is
E 44794 | B2 type 67 All Future Tenses | style gossip | options 3 | SEL
en|Girl, he told me that by next summer the falcon ... its wings in 100 shows.|will have spread|will spread|spreads
de|Süße, er hat mir erzählt, dass der Falke bis nächsten Sommer in 100 Shows seine Flügel ...|ausgebreitet haben wird|ausbreiten wird|ausbreitet
ua|Подруго, він сказав мені, що до наступного літа сокіл ... крила в 100 шоу.|розправить|розправить|розправляє
es|Tía, él me dijo que para el próximo verano el halcón ... las alas en 100 espectáculos.|habrá extendido|extenderá|extiende
fr|Meuf, il m'a dit que d'ici l'été prochain, le faucon ... ses ailes dans 100 spectacles.|aura déployé|déploiera|déploie
tr|Kızım, o bana şahinin gelecek yaza kadar 100 gösteride kanatlarını ... söyledi.|açmış olacağını|açacağını|açtığını
hu|Csajszi, ő azt mondta nekem, hogy jövő nyárig a sólyom 100 műsorban ... a szárnyait.|kitárja majd|ki fogja tárni|kitárja
MEDIA 5241 | meaning: an enclosed space, natural or man-made
E 37684 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|Five minutes from now, the woman ... still inside the glowing chamber.|will be lying|will lie|lies
de|In fünf Minuten wird die Frau immer noch in der leuchtenden Kammer ...|liegen|sich hinlegen|liegt
ua|Через п'ять хвилин жінка ... все ще всередині сяючої камери.|лежатиме|ляже|лежить
es|Dentro de cinco minutos, la mujer ... todavía dentro de la cámara brillante.|estará tumbada|se tumbará|está tumbada
fr|Dans cinq minutes, la femme ... toujours dans la chambre lumineuse.|sera allongée|s'allongera|est allongée
tr|Beş dakika sonra kadın hâlâ parlayan odanın içinde ...|yatıyor olacak|yatacak|yatıyor
hu|Öt perc múlva a nő még mindig a világító kamrában ...|fog feküdni|fekszik majd|fekszik
MEDIA 5242 | meaning: refined and tasteful in appearance or style
E 38900 | B1 type 48 Question tags | style dramatic | options 3 | SEL
en|Every other outfit is ruined! That robe is absolutely elegant, ...?|isn't it?|doesn't it?|wasn't it?
de|Jedes andere Outfit ist ruiniert! Dieser Morgenmantel ist absolut elegant, ...?|nicht wahr|oder|war er nicht
ua|Кожен інший образ зіпсований! Цей халат абсолютно елегантний, ...?|чи не так|хіба ні|чи не був
es|¡Cualquier otro conjunto queda arruinado! Esa bata es absolutamente elegante, ¿...?|verdad|no|no era
