MEDIA 4415 | meaning: a remark expressing praise or admiration
E 37968 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
de|Er schaut hinunter auf ... zwischen den beiden Ländern und steigt darüber.|die Grenze|eine Grenze|Grenze
ua|Він дивиться вниз на ... між двома країнами й переступає через нього.|кордон|кордон|кордон
es|Él mira hacia abajo ... entre los dos países y la cruza de un paso.|la frontera|una frontera|frontera
fr|Il baisse les yeux vers ... entre les deux pays et l'enjambe.|la frontière|une frontière|frontière
tr|O, aşağıya, iki ülke arasındaki ... bakıyor ve üzerinden adımlıyor.|sınıra|bir sınıra|sınıra
hu|Ő lenéz ... a két ország között, és átlép rajta.|a határra|egy határra|határra
MEDIA 4427 | meaning: a formal event on a special occasion
E 37673 | B1 type 38 0 Conditional | style flirt | options 3 | SEL
en|Honestly, if you ... that low at a ceremony, everyone in the room respects you.|bow|bowed|will bow
de|Ehrlich, wenn du dich bei einer Zeremonie so tief ..., respektiert dich jeder im Raum.|verbeugst|verbeugtest|verbeugen wirst
ua|Чесно, якщо ти ... так низько на церемонії, усі в кімнаті тебе поважають.|вклоняєшся|вклонився|вклонишся
es|Sinceramente, si tú te ... tan bajo en una ceremonia, todos en la sala te respetan.|inclinas|inclinaste|inclinarás
fr|Honnêtement, si tu te ... aussi bas lors d'une cérémonie, tout le monde dans la salle te respecte.|penches|penchais|pencheras
tr|Açıkçası, sen bir törende o kadar derin ..., odadaki herkes sana saygı duyar.|eğilirsen|eğildiysen|eğileceksen
hu|Őszintén, ha te egy ceremónián ilyen mélyen ..., a teremben mindenki tisztel.|meghajolsz|meghajoltál|meg fogsz hajolni
E 37679 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|They bowed three times, so they ... practised for the ceremony.|must have|should have|can't have
de|Sie haben sich dreimal verbeugt, also ... sie für die Zeremonie geübt haben.|müssen|sollten|können nicht
ua|Вони вклонилися тричі, тож вони ... відрепетирувати церемонію.|мусили|мали|не могли
es|Ellos se inclinaron tres veces, así que ... ensayado para la ceremonia.|debieron de haber|deberían haber|no pueden haber
fr|Ils se sont inclinés trois fois, donc ils ... répété pour la cérémonie.|ont dû|auraient dû|n'ont pas pu
tr|Onlar üç kez eğildi, yani tören için prova ...|yapmış olmalılar|yapmaları gerekirdi|yapmış olamazlar
hu|Ők háromszor meghajoltak, szóval ... a ceremóniára.|biztosan gyakoroltak|gyakorolniuk kellett volna|nem gyakorolhattak
MEDIA 4431 | meaning: to gain points in a game
E 42658 | B1 type 31 Past Continuous | style gossip | options 3 | SEL
en|Listen, he told me his dog ... next to him when he scored.|was running|ran|has run
de|Hör mal, er hat mir erzählt, dass sein Hund gerade neben ihm ..., als er getroffen hat.|herlief|lief|gelaufen ist
ua|Слухай, він сказав мені, що його пес ... поруч із ним, коли він забив гол.|біг|пробіг|пробіг
es|Oye, él me dijo que su perro ... a su lado cuando marcó.|estaba corriendo|corrió|ha corrido
fr|Écoute, il m'a dit que son chien ... à côté de lui quand il a marqué.|courait|a couru|a couru
tr|Dinle, o bana gol attığında köpeğinin yanında ... söyledi.|koştuğunu|koştuğunu|koşmuş olduğunu
hu|Figyelj, ő azt mondta, hogy a kutyája ... mellette, amikor gólt rúgott.|futott|futott|futott
E 42668 | B2 type 67 All Future Tenses | style gossip | options 3 | SEL
en|No way, I heard by the end of summer he ... fifty goals in that park.|will have scored|will score|scores
de|Krass, ich hab gehört, bis Ende des Sommers ... er fünfzig Tore in dem Park.|schießt|schießt|schießt
ua|Та ну, я чув, що до кінця літа він ... п'ятдесят голів у тому парку.|заб'є|заб'є|забиває
es|No puede ser, yo oí que para finales del verano él ... cincuenta goles en ese parque.|habrá marcado|marcará|marca
fr|Pas possible, j'ai entendu dire que d'ici la fin de l'été il ... cinquante buts dans ce parc.|aura marqué|marquera|marque
tr|Olamaz, ben duydum ki yaz sonuna kadar o parkta elli gol ...|atmış olacakmış|atacakmış|atıyormuş
  ~soft: no diacritics at all
hu|Ez nem lehet, én úgy hallottam, a nyár végére ötven gólt ... abban a parkban.|fog rúgni|fog rúgni|rúg
MEDIA 4432 | meaning: to refuse to notice or acknowledge
E 40202 | B1 type 38 0 Conditional | style nerd | options 3 | SEL
en|If shoppers ... a salesman in a doorway, he typically ends up sitting alone.|ignore|ignored|will ignore
de|Wenn Kunden einen Verkäufer in einer Tür ..., sitzt er typischerweise am Ende allein da.|ignorieren|ignorierten|ignorieren werden
ua|Якщо покупці ... продавця у дверях, він зазвичай зрештою сидить сам.|ігнорують|ігнорували|ігноруватимуть
es|Si los compradores ... a un vendedor en una puerta, él suele acabar sentado solo.|ignoran|ignoraron|ignorarán
fr|Si les clients ... un vendeur sur le pas d'une porte, il finit généralement assis tout seul.|ignorent|ignoraient|ignoreront
tr|Müşteriler kapı eşiğindeki bir satıcıyı ..., o genellikle sonunda tek başına oturur.|görmezden gelirlerse|görmezden geldilerse|görmezden geleceklerse
hu|Ha a vásárlók ... egy ajtóban álló eladót, ő jellemzően végül egyedül ül.|figyelmen kívül hagyják|figyelmen kívül hagyták|figyelmen kívül fogják hagyni
E 40209 | B2 type 59 Causative HAVE/GET | style slang | options 3 | SEL
en|Dude, he should have those SALE posters ... 'cause everyone's ignoring them.|replaced|replace|to replace
de|Alter, er sollte diese SALE-Plakate ... lassen, weil alle sie ignorieren.|austauschen|austauschen|auszutauschen
ua|Чувак, він мав би дати комусь ... ті плакати SALE, бо всі їх ігнорують.|замінити|замінити|замінити
es|Tío, él debería mandar ... esos carteles de SALE, porque todo el mundo los ignora.|cambiar|cambiar|a cambiar
fr|Mec, il devrait faire ... ces affiches SALE, parce que tout le monde les ignore.|remplacer|remplacer|à remplacer
tr|Kanka, o şu SALE afişlerini ..., çünkü herkes onları görmezden geliyor.|değiştirtmeli|değiştirmeli|değiştirmeye
hu|Tesó, ő ... kéne azokat a SALE-plakátokat, mert mindenki levegőnek nézi őket.|lecseréltetni|lecserélni|lecserélni
MEDIA 4434 | meaning: a traveling show with rides and games
E 39104 | B1 type 39 1. Conditional | style business | options 3 | SEL
en|If he wins 2 more bears, the fair ... its prize budget for the day.|will exceed|would exceed|exceeds
de|Wenn er noch 2 Bären gewinnt, ... der Jahrmarkt sein Preisbudget für den Tag.|überschreitet|überschritte|überschreitet
ua|Якщо він виграє ще 2 ведмедики, ярмарок ... свій денний бюджет на призи.|перевищить|перевищив би|перевищує
es|Si él gana 2 osos más, la feria ... su presupuesto de premios del día.|superará|superaría|supera
fr|S'il gagne encore 2 ours, la fête foraine ... son budget de lots pour la journée.|dépassera|dépasserait|dépasse
tr|O 2 ayı daha kazanırsa, lunapark günlük ödül bütçesini ...|aşacak|aşardı|aşıyor
hu|Ha ő még 2 macit nyer, a vidámpark ... a napi nyereménykeretét.|túllépi|túllépné|túllépi
E 39108 | B2 type 63 Advanced linkers | style dramatic | options 3 | SEL
en|... the freezing cold, he gave her his jacket before the fair became a total disaster!|Owing to|In spite of|Provided
de|... der eisigen Kälte gab er ihr seine Jacke, bevor der Jahrmarkt zur totalen Katastrophe wurde!|Wegen|Trotz|Vorausgesetzt
ua|... лютий холод він віддав їй свою куртку, перш ніж ярмарок перетворився на повну катастрофу!|Через|Попри|За умови
es|¡... el frío helador, él le dio su chaqueta antes de que la feria se convirtiera en un desastre total!|Debido a|A pesar de|Siempre que
fr|... froid glacial, il lui a donné sa veste avant que la fête foraine tourne au désastre total !|En raison du|Malgré le|Pourvu que le
tr|Dondurucu soğuk ..., o lunapark tam bir felakete dönmeden önce ona ceketini verdi!|yüzünden|rağmen|şartıyla
hu|A fagyos hideg ... ő odaadta neki a dzsekijét, mielőtt a vidámpark totális katasztrófába fulladt volna!|miatt|ellenére|feltéve
MEDIA 4435 | meaning: a collection of things for public display
E 39032 | B1 type 32 Present Perfect Continuous | style slang | options 3 | SEL
en|Bro, she ... around this brain exhibition for like two hours, fr.|has been walking|is walking|walks
de|Bro, sie ... schon so zwei Stunden durch diese Gehirn-Ausstellung, echt jetzt.|läuft|läuft|läuft
ua|Бро, вона вже десь дві години ... по цій виставці мозку, чесно.|ходить|ходить|ходить
es|Bro, ella ... como dos horas por esta exposición de cerebros, en serio.|lleva paseando|está paseando|pasea
fr|Frère, elle ... dans cette expo sur le cerveau depuis genre deux heures, sérieux.|se balade|se balade|se balade
tr|Kanka, o yaklaşık iki saattir bu beyin sergisinde ..., cidden.|dolaşıyor|dolaşıyor|dolaşır
hu|Tesó, ő már vagy két órája ... ezen az agykiállításon, komolyan.|mászkál|mászkál|mászkál
E 39040 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|At the moment, she ... up at the giant brain at the exhibition.|is looking|looks|has looked
de|Gerade ... sie auf der Ausstellung zu dem riesigen Gehirn hoch.|schaut|schaut|schaute
ua|Зараз вона ... вгору на велетенський мозок на виставці.|дивиться|дивиться|подивилася
es|En este momento, ella ... hacia arriba al cerebro gigante de la exposición.|está mirando|mira|ha mirado
fr|En ce moment, elle ... le cerveau géant de l'exposition.|est en train de lever les yeux vers|lève les yeux vers|a levé les yeux vers
tr|Şu anda o, sergideki dev beyne yukarı doğru ...|bakıyor|bakar|baktı
hu|Ő éppen ... a kiállításon az óriási agyra.|felnéz|felnéz|felnézett
MEDIA 4436 | meaning: a shout of approval
E 37755 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The boy said he ... never heard a cheer as loud as that one.|had|has|have
de|Der Junge sagte, er ... noch nie so einen lauten Jubel gehört wie diesen.|habe|hat|haben
ua|Хлопець сказав, що він ще ніколи не ... такого гучного вигуку, як цей.|чув|чув|чув
es|El chico dijo que él nunca ... oído una ovación tan fuerte como esa.|había|ha|han
fr|Le garçon a dit qu'il ... jamais entendu d'acclamation aussi forte que celle-là.|n'avait|n'a|n'ont
tr|Çocuk, o kadar yüksek bir tezahüratı daha önce hiç ... söyledi.|duymadığını|duymadığını|duymadıklarını
hu|A fiú azt mondta, hogy ő még soha ... ilyen hangos ujjongást, mint az.|nem hallott|nem hallott|nem hallottak
MEDIA 4438 | meaning: a ceremonial procession of people marching
E 41420 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the parade moved any faster, the dancers ... the woman in green.|would overtake|will overtake|overtook
de|Wenn sich die Parade noch schneller bewegen würde, ... die Tänzer die Frau in Grün.|überholten|überholen|überholten
ua|Якби парад рухався ще швидше, танцюристи ... жінку в зеленому.|обігнали б|обженуть|обігнали
es|Si el desfile fuera más rápido, los bailarines ... a la mujer de verde.|adelantarían|adelantarán|adelantaron
fr|Si le défilé allait encore plus vite, les danseurs ... la femme en vert.|dépasseraient|dépasseront|ont dépassé
tr|Geçit töreni biraz daha hızlı ilerlese, dansçılar yeşilli kadını ...|geçerdi|geçecek|geçti
hu|Ha a felvonulás még gyorsabban haladna, a táncosok ... a zöld ruhás nőt.|megelőznék|megelőzik|megelőzték
E 41424 | B2 type 67 All Future Tenses | style nerd | options 3 | SEL
en|By the end of the day, the parade ... its entire route, as it typically does.|will have completed|completes|will be completing
de|Bis zum Ende des Tages ... die Parade ihre gesamte Route geschafft haben, wie üblich.|wird|schafft|wird gerade
ua|До кінця дня парад ... весь свій маршрут, як це зазвичай буває.|пройде|проходить|проходитиме
es|Para el final del día, el desfile ... todo su recorrido, como suele hacer.|habrá completado|completa|estará completando
fr|D'ici la fin de la journée, le défilé ... tout son parcours, comme il le fait habituellement.|aura terminé|termine|sera en train de terminer
tr|Gün sonuna kadar geçit töreni, genelde olduğu gibi, tüm güzergâhını ...|tamamlamış olacak|tamamlıyor|tamamlıyor olacak
hu|A nap végére a felvonulás ... a teljes útvonalát, ahogy általában szokta.|teljesíteni fogja|teljesíti|éppen teljesíteni fogja
MEDIA 4440 | meaning: to deliver a sharp blow with the hand or fist
E 43658 | B1 type 38 0 Conditional | style flirt | options 3 | SEL
en|Respect: if you ... a board like that, it splits every time.|strike|struck|will strike
de|Respekt: Wenn du so auf ein Brett ..., bricht es jedes Mal.|schlägst|schlugst|schlagen wirst
ua|Респект: якщо ти ... так по дошці, вона щоразу ламається.|б'єш|вдарила|вдариш
es|Respeto: si tú ... una tabla así, se parte cada vez.|golpeas|golpeaste|golpearás
fr|Respect : si tu ... une planche comme ça, elle se casse à chaque fois.|frappes|frappais|frapperas
tr|Saygılar: sen bir tahtaya öyle ..., her seferinde kırılıyor.|vurursan|vurduysan|vuracaksan
hu|Respekt: ha te így ... egy deszkára, az minden alkalommal kettétörik.|ütsz|ütöttél|ütni fogsz
E 43666 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Bestie, rumour has it she ... for years before she struck through concrete.|had been training|has been training|is training
de|Bestie, angeblich ... sie jahrelang trainiert, bevor sie durch Beton geschlagen hat.|hatte|hat|trainiert
ua|Подруго, кажуть, вона ... роками, перш ніж пробила бетон.|тренувалася|тренується|тренується
es|Amiga, dicen que ella ... durante años antes de atravesar el hormigón de un golpe.|había estado entrenando|ha estado entrenando|está entrenando
fr|Ma belle, il paraît qu'elle ... pendant des années avant de traverser le béton d'un coup.|s'entraînait|s'entraîne|s'entraîne
tr|Kanka, dediklerine göre o betonu kırmadan önce yıllarca ...|antrenman yapmış|antrenman yapıyor|antrenman yapıyor
hu|Csajszi, a pletyka szerint ő évekig ..., mielőtt átütötte a betont.|edzett|edz|edz
MEDIA 4441 | meaning: the process of taking in and letting out air
E 37376 | B1 type 39 1. Conditional | style flirt | options 3 | SEL
en|Honestly, if you ... one more breath cloud like that, the walkers will copy you again.|blow|will blow|blew
de|Ehrlich, wenn du noch so eine Atemwolke ..., machen es dir die Wanderer wieder nach.|pustest|pusten wirst|pustetest
ua|Чесно, якщо ти ... ще одну таку хмарку дихання, туристи знову тебе скопіюють.|видихнеш|видихнеш|видихнула
es|Sinceramente, si tú ... otra nube de aliento así, los excursionistas te volverán a copiar.|sueltas|soltarás|soltaste
fr|Honnêtement, si tu ... encore un nuage de souffle comme ça, les randonneurs vont encore te copier.|souffles|souffleras|soufflais
tr|Açıkçası, sen böyle bir nefes bulutu daha ..., yürüyüşçüler seni yine taklit edecek.|üflersen|üfleyeceksen|üflediysen
hu|Őszintén, ha te még egy ilyen leheletfelhőt ..., a túrázók megint utánoznak.|fújsz|fújni fogsz|fújtál
MEDIA 4454 | meaning: to cause something to tilt
E 44117 | B1 type 31 Past Continuous | style flirt | options 3 | SEL
en|You ... the bucket over the table when the apples rolled everywhere, honestly iconic.|were tipping|tipped|have tipped
de|Du ... gerade den Eimer über dem Tisch, als die Äpfel überall hinrollten, ehrlich ikonisch.|kipptest|kipptest|hast gekippt
ua|Ти ... відро над столом, коли яблука розкотилися всюди, чесно, культово.|нахиляла|нахилила|нахилила
es|Tú ... el cubo sobre la mesa cuando las manzanas rodaron por todas partes, sinceramente icónico.|estabas volcando|volcaste|has volcado
fr|Tu ... le seau au-dessus de la table quand les pommes ont roulé partout, franchement iconique.|renversais|as renversé|as renversé
tr|Elmalar her yere yuvarlandığında sen kovayı masanın üstüne ..., açıkçası ikonik.|devriyordun|devirdin|devirdin
hu|Te éppen ... a vödröt az asztal fölött, amikor az almák mindenfelé gurultak, őszintén ikonikus.|döntötted|döntötted|döntötted
E 44119 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By lunch, she ... every bucket of apples onto the table.|will have tipped|will tip|tips
de|Bis zum Mittagessen ... sie jeden Eimer Äpfel auf den Tisch gekippt haben.|wird|kippt|wird gerade
ua|До обіду вона ... кожне відро яблук на стіл.|висипле|висипле|висипає
es|Para la hora de comer, ella ... cada cubo de manzanas sobre la mesa.|habrá volcado|volcará|vuelca
fr|D'ici le déjeuner, elle ... chaque seau de pommes sur la table.|aura renversé|renversera|renverse
tr|Öğle yemeğine kadar o her kova elmayı masaya ...|boşaltmış olacak|boşaltacak|boşaltıyor
hu|Ebédre ő ... minden vödör almát az asztalra.|ki fog borítani|ki fog borítani|kiborít
MEDIA 4457 | meaning: to bend your knees and lower your body
E 38307 | B1 type 48 Question tags | style ironic | options 3 | SEL
en|She's crouching a bit close to the flames, ...? Could be worse.|isn't she|doesn't she|wasn't she
de|Sie hockt ein bisschen nah an den Flammen, ...? Könnte schlimmer sein.|oder|oder|oder
ua|Вона присіла трохи близько до вогню, ...? Могло бути й гірше.|правда|правда|правда
es|Ella está agachada un poco cerca de las llamas, ¿...? Podría ser peor.|verdad|verdad|verdad
fr|Elle est accroupie un peu près des flammes, ... ? Ça pourrait être pire.|n'est-ce pas|n'est-ce pas|n'est-ce pas
tr|O alevlere biraz yakın çömelmiş, ...? Daha kötüsü de olabilirdi.|değil mi|değil mi|değil mi
hu|Ő kicsit közel guggol a lángokhoz, ...? Lehetne rosszabb is.|ugye|ugye|ugye
E 38309 | B2 type 50 Past Perfect Continuous | style dramatic | options 3 | SEL
en|She ... over that fire for hours before the flames finally destroyed the last stick!|had been crouching|has been crouching|was crouching
de|Sie ... stundenlang über diesem Feuer gehockt, bevor die Flammen endlich den letzten Stock zerstörten!|hatte|hat|war
ua|Вона ... над тим вогнем годинами, поки полум'я нарешті не знищило останню палицю!|сиділа навпочіпки|сидить навпочіпки|сиділа навпочіпки
es|¡Ella ... agachada junto a ese fuego durante horas antes de que las llamas por fin destruyeran el último palo!|había estado|ha estado|estaba
fr|Elle ... accroupie au-dessus de ce feu pendant des heures avant que les flammes détruisent enfin le dernier bâton !|était restée|est restée|était
tr|Alevler sonunda son çubuğu da yok edene kadar o saatlerce o ateşin başında ...!|çömelmişti|çömeliyor|çömeliyordu
hu|Ő órák óta ... a tűz fölött, mielőtt a lángok végre elpusztították az utolsó botot!|guggolt|guggol|guggolt
MEDIA 4458 | meaning: a state of extreme ruin and misfortune
E 38663 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The toast ... black before he even noticed the disaster in the oven.|had turned|has turned|was turning
de|Der Toast ... schon schwarz geworden, bevor er das Desaster im Ofen überhaupt bemerkte.|war|ist|wurde gerade
ua|Тост ... ще до того, як він узагалі помітив катастрофу в духовці.|почорнів|почорнів|чорнів
es|La tostada ... negra antes de que él siquiera notara el desastre del horno.|se había puesto|se ha puesto|se estaba poniendo
fr|Le toast ... noir avant même qu'il remarque le désastre dans le four.|était devenu|est devenu|devenait
tr|O fırındaki felaketi fark etmeden önce bile tost ...|kararmıştı|karardı|kararıyordu
hu|A pirítós már ..., mielőtt ő egyáltalán észrevette a katasztrófát a sütőben.|megfeketedett|megfeketedett|feketedett
MEDIA 4459 | meaning: the act of burning something
E 37428 | B1 type 34 Present Perfect Simple or Continuos | style gossip | options 3 | SEL
en|Listen, apparently she ... four marshmallows already, and she loves the burning.|has burnt|has been burning|is burning
de|Hör mal, angeblich hat sie schon vier Marshmallows ..., und sie liebt das Verbrennen.|verbrannt|verbrannt|verbrennt
ua|Слухай, кажуть, вона вже ... чотири маршмелоу, і їй подобається палити.|спалила|палила|палить
es|Oye, al parecer ella ya ... cuatro malvaviscos, y le encanta quemarlos.|ha quemado|ha estado quemando|está quemando
fr|Écoute, apparemment elle ... déjà quatre marshmallows, et elle adore les faire brûler.|a brûlé|a brûlé|est en train de brûler
tr|Dinle, duyduğuma göre o şimdiden dört marshmallow ... ve yakmaya bayılıyor.|yakmış|yakıp durmuş|yakıyor
hu|Figyelj, állítólag ő már négy mályvacukrot ..., és imádja az égetést.|elégetett|égetett|éget
E 37435 | B2 type 67 All Future Tenses | style ironic | options 3 | SEL
en|By the time she finishes, the burning ... every marshmallow in the bag. Great snack plan.|will have ruined|will ruin|ruins
de|Bis sie fertig ist, ... das Verbrennen jeden Marshmallow in der Tüte. Toller Snack-Plan.|ruiniert|ruiniert|ruiniert
ua|Поки вона закінчить, палання ... кожен маршмелоу в пакеті. Чудовий план перекусу.|зіпсує|зіпсує|псує
es|Para cuando ella termine, la quema ... todos los malvaviscos de la bolsa. Gran plan de merienda.|habrá arruinado|arruinará|arruina
fr|D'ici à ce qu'elle finisse, la cuisson ... tous les marshmallows du sachet. Super plan goûter.|aura ruiné|ruinera|ruine
tr|O bitirene kadar yakma işi paketteki her marshmallow'u ...! Harika atıştırmalık planı.|mahvetmiş olacak|mahvedecek|mahvediyor
hu|Mire ő végez, az égetés ... a zacskóban lévő összes mályvacukrot. Remek nasiterv.|tönkre fogja tenni|tönkre fogja tenni|tönkreteszi
MEDIA 4460 | meaning: the inner surface of the hand
E 41379 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|As a child, she ... hold her palms over beach fires every summer.|would|used|was used to
de|Als Kind ... sie jeden Sommer ihre Handflächen über Strandfeuer halten.|pflegte|pflegte|war gewohnt,
ua|У дитинстві вона ... тримати долоні над вогнищами на пляжі щоліта.|мала звичку|мала звичку|звикла
es|De niña, ella ... poner las palmas sobre las hogueras de la playa cada verano.|solía|solía|estaba acostumbrada a
fr|Enfant, elle ... tenir ses paumes au-dessus des feux de plage chaque été.|avait l'habitude de|avait l'habitude de|était habituée à
tr|Çocukken o her yaz avuçlarını plaj ateşlerinin üzerinde ...|tutardı|tutardı|tutmaya alışkındı
hu|Gyerekként ő minden nyáron a tengerparti tüzek fölé ... a tenyerét.|tartotta|tartotta|szokott volt tartani
E 41381 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|Right now her palms ... over the only light on this completely dark beach!|are hovering|hover|have hovered
de|Gerade ... ihre Handflächen über dem einzigen Licht an diesem komplett dunklen Strand!|schweben|schweben|schwebten
ua|Саме зараз її долоні ... над єдиним світлом на цьому зовсім темному пляжі!|ширяють|ширяють|ширяли
es|¡Ahora mismo sus palmas ... sobre la única luz de esta playa completamente oscura!|están suspendidas|se suspenden|han estado suspendidas
fr|En ce moment même, ses paumes ... au-dessus de la seule lumière de cette plage complètement noire !|planent|planent|ont plané
