MEDIA 5029 | meaning: a motion of the hands or body to show a feeling
E 39783 | B2 type 58 Inversion basic | style chill | options 3 | SEL
tr|Tahmin et ne oldu, o bana dedi ki: Söz veriyorum, bu kadar acı veren bir bacak gününü bir daha ...|yapmayacağım|yapıyor olmayacağım|yapmıyorum
hu|Képzeld, ő azt mondta nekem: Megígérem, hogy még egy ilyen fájdalmas lábnapot ...|nem csinálok|nem fogok csinálni|nem csinálok
E 41365 | B2 type 51 Future Perfect Simple | style ironic | options 3 | SEL
en|Obviously, by Monday they ... all about this painful leg day.|will have forgotten|will forget|are forgetting
de|Klar, bis Montag werden sie diesen schmerzhaften Leg Day komplett ...|vergessen haben|vergessen|vergessen
ua|Звісно, до понеділка вони ... все про цей болючий день ніг.|забудуть|забудуть|забувають
es|Obviamente, para el lunes ellos ... todo sobre este doloroso día de pierna.|habrán olvidado|olvidarán|están olvidando
fr|Évidemment, d'ici lundi, ils ... tout de ce leg day douloureux.|auront oublié|oublieront|sont en train d'oublier
tr|Tabii ki pazartesiye kadar onlar bu acı veren bacak gününü tamamen ...|unutmuş olacaklar|unutacaklar|unutuyorlar
hu|Persze hétfőre ők teljesen ... ezt a fájdalmas lábnapot.|elfelejtik|el fogják felejteni|felejtik
MEDIA 5043 | meaning: with no sound at all
E 43050 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now the lion ... on the cliff, so the savanna is far from silent.|is roaring|roars|has roared
de|Gerade ... der Löwe auf der Klippe, also ist die Savanne alles andere als still.|brüllt|brüllt|hat gebrüllt
ua|Просто зараз лев ... на скелі, тож савана аж ніяк не тиха.|реве|реве|заревів
es|Ahora mismo el león ... en el acantilado, así que la sabana está lejos de estar en silencio.|está rugiendo|ruge|ha rugido
fr|En ce moment, le lion ... sur la falaise, donc la savane est loin d'être silencieuse.|rugit|rugit|a rugi
tr|Şu anda aslan uçurumda ..., yani savana hiç de sessiz değil.|kükrüyor|kükrer|kükredi
hu|Épp most az oroszlán ... a sziklán, így a szavanna távolról sem csendes.|bőg|bőg|bőgött
MEDIA 5048 | meaning: closed, not open
E 42963 | B1 type 41 Passive | style chill | options 3 | SEL
en|The doors ... shut with a chain and a padlock, as they are every night.|are kept|keep|were kept
de|Die Türen ... mit einer Kette und einem Vorhängeschloss verschlossen gehalten, wie jede Nacht.|werden|halten|wurden
ua|Двері ... зачиненими на ланцюг і навісний замок, як і щоночі.|тримають|тримають|тримали
es|Las puertas ... cerradas con una cadena y un candado, como todas las noches.|se mantienen|mantienen|se mantuvieron
fr|Les portes ... fermées avec une chaîne et un cadenas, comme chaque nuit.|sont gardées|gardent|étaient gardées
tr|Kapılar, her gece olduğu gibi, zincir ve asma kilitle kapalı ...|tutulur|tutar|tutuldu
hu|Az ajtókat lánccal és lakattal zárva ..., mint minden éjjel.|tartják|tartják|tartották
MEDIA 5050 | meaning: to fail to win
E 40703 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|He ... into the microphone when he saw that he had lost the election.|was speaking|spoke|has spoken
de|Er ... gerade ins Mikrofon, als er sah, dass er die Wahl verloren hatte.|sprach|sprach|hat gesprochen
ua|Він ... в мікрофон, коли побачив, що програв вибори.|говорив|сказав|сказав
es|Él ... por el micrófono cuando vio que había perdido las elecciones.|estaba hablando|habló|ha hablado
fr|Il ... au micro quand il a vu qu'il avait perdu l'élection.|parlait|a parlé|a parlé
tr|O, seçimi kaybettiğini gördüğünde mikrofona ...|konuşuyordu|konuştu|konuştu
hu|Ő éppen ... a mikrofonba, amikor látta, hogy elvesztette a választást.|beszélt|szólt|szólt
E 40713 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By the end of the night, every guest ... the hall where he lost.|will have left|will leave|leaves
de|Bis zum Ende des Abends ... jeder Gast den Saal verlassen haben, in dem er verloren hat.|wird|wird|verlässt
ua|До кінця вечора кожен гість ... залу, де він програв.|покине|покине|покидає
es|Para el final de la noche, cada invitado ... el salón donde él perdió.|habrá dejado|dejará|deja
fr|D'ici la fin de la soirée, chaque invité ... la salle où il a perdu.|aura quitté|quittera|quitte
tr|Gecenin sonunda her misafir, onun kaybettiği salondan ...|ayrılmış olacak|ayrılacak|ayrılıyor
hu|Az este végére minden vendég ... a termet, ahol ő veszített.|elhagyja|el fogja hagyni|elhagyja
MEDIA 5051 | meaning: to put something where you cannot find it
E 40718 | B1 type 41 Passive | style business | options 3 | SEL
en|Her passport ... in the hostel before the 9 a.m. checkout deadline.|was lost|lost|is losing
de|Ihr Pass ... vor der Check-out-Frist um 9 Uhr im Hostel verloren.|ging|verlor|verliert
ua|Її паспорт ... у хостелі до кінцевого терміну виїзду о 9:00.|був загублений|загубив|губить
es|Su pasaporte ... en el albergue antes del plazo de salida de las 9:00.|se perdió|perdió|está perdiendo
fr|Son passeport ... à l'auberge de jeunesse avant la limite de départ de 9 h.|a été perdu|a perdu|est en train de perdre
tr|Onun pasaportu, sabah 9'daki çıkış saatinden önce hostelde ...|kayboldu|kaybetti|kaybediyor
hu|Az útlevele ... a hosztelben a reggel 9 órás kijelentkezési határidő előtt.|elveszett|elvesztette|elveszít
E 40726 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|She sat on the bed because she ... her passport and could not find it.|had lost|was losing|has lost
de|Sie setzte sich aufs Bett, weil sie ihren Pass ... und ihn nicht finden konnte.|verloren hatte|verlor|verloren hat
ua|Вона сіла на ліжко, бо ... паспорт і не могла його знайти.|загубила|губила|загубила
es|Ella se sentó en la cama porque ... su pasaporte y no podía encontrarlo.|había perdido|estaba perdiendo|ha perdido
fr|Elle s'est assise sur le lit parce qu'elle ... son passeport et ne le trouvait pas.|avait perdu|perdait|a perdu
tr|O yatağa oturdu çünkü pasaportunu ... ve bulamıyordu.|kaybetmişti|kaybediyordu|kaybetti
hu|Ő leült az ágyra, mert ... az útlevelét, és nem találta.|elvesztette|vesztette|elvesztette
MEDIA 5053 | meaning: a short description that identifies something
E 40412 | B1 type 33 Past Simple or Continuos | style nerd | options 3 | SEL
en|This behaviour was observed while the traveller ... a label to the case.|was attaching|attached|has attached
de|Dieses Verhalten wurde beobachtet, während die Reisende ein Etikett am Koffer ...|befestigte|befestigte|hat befestigt
ua|Цю поведінку спостерігали, коли мандрівниця ... бирку до валізи.|прикріплювала|прикріпила|прикріпила
es|Este comportamiento se observó mientras la viajera ... una etiqueta a la maleta.|estaba colocando|colocó|ha colocado
fr|Ce comportement a été observé pendant que la voyageuse ... une étiquette à la valise.|attachait|a attaché|a attaché
tr|Bu davranış, yolcu bavula bir etiket ... gözlemlendi.|takarken|taktığında|takmışken
hu|Ezt a viselkedést akkor figyelték meg, amikor az utazó ... egy címkét a bőröndre.|éppen rögzített|rögzített|rögzítette
E 40422 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|On the carousel, ... she had tied to the handle was easy to spot.|the label|a label|label
de|Auf dem Gepäckband war ..., das sie an den Griff gebunden hatte, leicht zu erkennen.|das Etikett|ein Etikett|Etikett
ua|На стрічці ..., яку вона прив'язала до ручки, було легко помітити.|бирку|бирку|бирку
es|En la cinta, ... que ella había atado al asa era fácil de ver.|la etiqueta|una etiqueta|etiqueta
fr|Sur le tapis, ... qu'elle avait attachée à la poignée était facile à repérer.|l'étiquette|une étiquette|étiquette
tr|Bantta, onun sapa bağladığı ... kolayca fark ediliyordu.|etiket|bir etiket|etiket
hu|A futószalagon könnyű volt észrevenni ..., amelyet ő a fogantyúra kötött.|a címkét|egy címkét|címkét
MEDIA 5054 | meaning: to take hold of something and move it
E 40618 | B1 type 48 Question tags | style dramatic | options 3 | SEL
en|You lifted every single case into that van, ...? Your back is completely destroyed!|didn't you?|weren't you?|haven't you?
de|Du hast jeden einzelnen Koffer in diesen Van gehoben, ...? Dein Rücken ist komplett hinüber!|oder|oder|oder
ua|Ти підняв кожну валізу в той фургон, ...? Твоя спина повністю розбита!|так|так|так
es|Tú subiste cada maleta a esa furgoneta, ¿...? ¡Tu espalda está completamente destrozada!|verdad|verdad|verdad
fr|Tu as soulevé chaque valise dans ce van, ... ? Ton dos est complètement détruit !|n'est-ce pas|n'est-ce pas|n'est-ce pas
tr|Sen her bir bavulu o minibüse kaldırdın, ...? Sırtın tamamen mahvoldu!|değil mi|değil mi|değil mi
hu|Te minden egyes bőröndöt beemeltél abba a furgonba, ...? A hátad teljesen tönkrement!|ugye|ugye|ugye
E 40622 | B2 type 52 Future Perfect Continuous | style nerd | options 3 | SEL
en|By noon, the subject ... heavy luggage for approximately an hour.|will have been lifting|will be lifting|will have lifted
de|Bis Mittag wird das Subjekt etwa eine Stunde lang schweres Gepäck ...|gehoben haben|heben|gehoben haben
ua|До полудня суб'єкт ... важкий багаж приблизно годину.|підійматиме|підійматиме|підніме
es|Para el mediodía, el sujeto ... equipaje pesado durante aproximadamente una hora.|habrá estado levantando|estará levantando|habrá levantado
fr|D'ici midi, le sujet ... des bagages lourds depuis environ une heure.|aura soulevé|sera en train de soulever|aura soulevé
tr|Öğlene kadar denek yaklaşık bir saattir ağır bagaj ...|kaldırıyor olacak|kaldırıyor olacak|kaldırmış olacak
hu|Délre az alany már körülbelül egy órája ... nehéz csomagokat.|fog emelgetni|fog emelgetni|emelt
MEDIA 5056 | meaning: a female worker who cleans a house
E 40796 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Clearly just a coincidence: the maid ... towel swans for every guest since March.|has been folding|is folding|folds
de|Klar, reiner Zufall: Das Zimmermädchen ... seit März für jeden Gast Handtuchschwäne.|faltet|faltet|faltet
ua|Звісно, просто збіг: покоївка ... лебедів із рушників для кожного гостя з березня.|складає|складає|складає
es|Claramente, pura casualidad: la camarera ... cisnes de toalla para cada huésped desde marzo.|lleva doblando|está doblando|dobla
fr|Clairement, une pure coïncidence : la femme de chambre ... des cygnes en serviette pour chaque client depuis mars.|plie|plie|plie
tr|Belli ki sadece tesadüf: kat görevlisi marttan beri her misafir için havludan kuğu ...|katlıyor|katlıyor|katlar
hu|Nyilván csak véletlen: a szobalány március óta minden vendégnek törölközőhattyút ...|hajtogat|hajtogat|hajtogat
MEDIA 5060 | meaning: a person of the sex that cannot have babies
E 40823 | B1 type 41 Passive | style ironic | options 3 | SEL
en|The toy ... to the smallest male, who obviously grabbed it like a professional.|was held out|held out|is holding out
de|Das Spielzeug ... dem kleinsten Kerlchen, das es natürlich wie ein Profi packte.|wurde hingehalten|hielt hin|hält hin
ua|Іграшку ... найменшому хлопчикові, який, звісно, схопив її як професіонал.|простягнули|простягнула|простягає
es|El juguete ... al varón más pequeño, que obviamente lo agarró como un profesional.|fue ofrecido|ofreció|está ofreciendo
fr|Le jouet ... au plus petit garçon, qui l'a évidemment attrapé comme un pro.|a été tendu|a tendu|est en train de tendre
tr|Oyuncak, onu tabii ki bir profesyonel gibi kapan en küçük erkeğe ...|uzatıldı|uzattı|uzatıyor
hu|A játékot ... a legkisebb fiúnak, aki persze profi módjára elkapta.|odanyújtották|odanyújtotta|odanyújtja
E 40826 | B2 type 67 All Future Tenses | style business | options 3 | SEL
en|By the deadline, this male ... 500 pull-ups on the park bar.|will have done|will do|does
de|Bis zur Deadline wird dieser Mann 500 Klimmzüge an der Stange im Park ...|gemacht haben|machen|macht
ua|До дедлайну цей чоловік ... 500 підтягувань на турніку в парку.|зробить|зробить|робить
es|Para la fecha límite, este hombre ... 500 dominadas en la barra del parque.|habrá hecho|hará|hace
fr|D'ici la deadline, cet homme ... 500 tractions à la barre du parc.|aura fait|fera|fait
tr|Son tarihe kadar bu erkek parktaki barfiks demirinde 500 barfiks ...|yapmış olacak|yapacak|yapıyor
  ~soft: no diacritics at all
hu|A határidőre ez a férfi ... 500 húzódzkodást a parki rúdon.|megcsinál|meg fog csinálni|csinál
MEDIA 5061 | meaning: a glass tank filled with water where fish are kept
E 36793 | B2 type 60 Wish clauses | style dramatic | options 3 | SEL
en|He absolutely wishes his flat ... an aquarium with sharks!|had|has|will have
de|Er wünscht sich total, seine Wohnung ... ein Aquarium mit Haien!|hätte|hat|wird haben
ua|Він страшенно хоче, щоб його квартира ... акваріум з акулами!|мала|має|матиме
es|¡Él desea con todas sus fuerzas que su piso ... un acuario con tiburones!|tuviera|tiene|tendrá
fr|Il souhaite vraiment que son appart ... un aquarium avec des requins !|ait|a|aura
tr|O, dairesinde köpekbalıklı bir akvaryum ... gerçekten çok istiyor!|olmasını|var|olacak
hu|Ő nagyon szeretné, ha a lakásában ... egy cápás akvárium!|lenne|van|lesz
MEDIA 5064 | meaning: a brass instrument you blow into
E 44324 | B1 type 34 Present Perfect Simple or Continuos | style clueless | options 3 | SEL
en|The band ... trumpets all morning, so the trumpets have been played all morning.|has been playing|played|is playing
de|Die Kapelle ... den ganzen Vormittag Trompete, also wurden die Trompeten den ganzen Vormittag gespielt.|spielt|spielte|spielt gerade
ua|Оркестр ... на трубах увесь ранок, тож на трубах грали увесь ранок.|грає|грав|грає
es|La banda ... las trompetas toda la mañana, así que las trompetas se han tocado toda la mañana.|lleva tocando|tocó|está tocando
fr|La fanfare ... de la trompette toute la matinée, donc les trompettes ont été jouées toute la matinée.|joue|a joué|est en train de jouer
tr|Bando bütün sabah trompet ..., yani trompetler bütün sabah çalındı.|çalıyor|çaldı|çalıyor
hu|A zenekar egész délelőtt ... a trombitákon, szóval a trombitákon egész délelőtt játszottak.|játszik|játszott|játszik
E 44330 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|... of the trumpets filled the whole avenue.|The sound|A sound|Sound
de|... der Trompeten erfüllte die ganze Allee.|Der Klang|Ein Klang|Klang
ua|... труб заповнив увесь проспект.|Звук|Звук|Звук
es|... de las trompetas llenó toda la avenida.|El sonido|Un sonido|Sonido
fr|... des trompettes a rempli toute l'avenue.|Le son|Un son|Son
tr|Trompetlerin ... bütün caddeyi doldurdu.|sesi|bir sesi|sesi
hu|A trombiták ... betöltötte az egész sugárutat.|hangja|egy hangja|hangja
MEDIA 5065 | meaning: a narrow walkway between shelves or rows
E 36644 | B1 type 44 Relative clauses | style slang | options 3 | SEL
en|Dude, the aisle ... he walks down is kinda iconic.|that|who|whose
de|Alter, der Gang, ... er entlangläuft, ist irgendwie ikonisch.|den|der|dessen
ua|Чувак, прохід, ... він іде, якийсь культовий.|яким|хто|чий
es|Tío, el pasillo por ... camina él es bastante icónico.|el que|quien|cuyo
fr|Mec, l'allée dans ... il marche est grave iconique.|laquelle|qui|dont
tr|Kanka, ... yürüdüğü koridor baya ikonik.|onun|kim|kimin
hu|Tesó, a folyosó, ... ő végigsétál, elég ikonikus.|amelyen|aki|akinek a
MEDIA 5070 | meaning: the soft thick part of a bed that you lie on
E 40904 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|After lying on every bed, she decides: she ... the big mattress.|will buy|will be buying|buys
de|Nachdem sie auf jedem Bett gelegen hat, entscheidet sie: Sie ... die große Matratze kaufen.|wird|wird|kauft
ua|Полежавши на кожному ліжку, вона вирішує: вона ... великий матрац.|купить|купуватиме|купує
es|Después de tumbarse en todas las camas, ella decide: ... el colchón grande.|comprará|estará comprando|compra
fr|Après s'être allongée sur chaque lit, elle décide : elle ... le grand matelas.|achètera|sera en train d'acheter|achète
tr|Her yatağa uzandıktan sonra o karar veriyor: büyük yatağı ...|alacak|alıyor olacak|alıyor
hu|Miután minden ágyon feküdt, ő dönt: ... a nagy matracot.|megveszi|venni fogja|veszi
E 40913 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|She ... on the hard mattress for a minute before she screamed that it was a disaster!|had been sitting|has been sitting|sits
de|Sie ... eine Minute auf der harten Matratze gesessen, bevor sie schrie, dass das eine Katastrophe sei!|hatte|hat|sitzt
ua|Вона ... на твердому матраці хвилину, перш ніж закричала, що це катастрофа!|сиділа|сидить|сидить
es|¡Ella ... en el colchón duro un minuto antes de gritar que era un desastre!|había estado sentada|ha estado sentada|se sienta
fr|Elle ... sur le matelas dur pendant une minute avant de crier que c'était une catastrophe !|était restée assise|est restée assise|s'assoit
tr|O, felaket olduğunu bağırmadan önce sert yatakta bir dakika ...!|oturuyordu|oturuyor|oturur
hu|Ő egy percig ... a kemény matracon, mielőtt felsikoltott, hogy ez katasztrófa!|ült|ül|ül
MEDIA 5071 | meaning: to make a machine fit to use again
E 42785 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If you service a car regularly, it ... longer.|lasts|lasted|would last
de|Wenn du ein Auto regelmäßig wartest, ... es länger.|hält|hielt|würde halten
ua|Якщо ти регулярно обслуговуєш авто, воно ... довше.|служить|служило|служило б
es|Si tú haces el mantenimiento del coche con regularidad, ... más tiempo.|dura|duró|duraría
fr|Si tu entretiens une voiture régulièrement, elle ... plus longtemps.|dure|a duré|durerait
tr|Sen bir arabanın bakımını düzenli yaparsan, araba daha uzun ...|dayanır|dayandı|dayanırdı
hu|Ha te rendszeresen szervizelteted az autót, tovább ...|bírja|bírta|bírná
MEDIA 5072 | meaning: a substance that is liquid, not solid or gas
E 40655 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|She waits in bed while ... from the brown bottle fills the spoon.|the liquid|a liquid|liquid
de|Sie wartet im Bett, während ... aus der braunen Flasche den Löffel füllt.|die Flüssigkeit|eine Flüssigkeit|Flüssigkeit
ua|Вона чекає в ліжку, поки ... з коричневої пляшки наповнює ложку.|рідина|рідина|рідина
es|Ella espera en la cama mientras ... del frasco marrón llena la cuchara.|el líquido|un líquido|líquido
fr|Elle attend au lit pendant que ... du flacon brun remplit la cuillère.|le liquide|un liquide|liquide
tr|O, kahverengi şişedeki ... kaşığı doldururken yatakta bekliyor.|sıvı|bir sıvı|sıvı
hu|Ő az ágyban vár, amíg ... a barna üvegből megtölti a kanalat.|a folyadék|egy folyadék|folyadék
MEDIA 5075 | meaning: having sticky properties, like glue
E 43602 | B1 type 49 So, Neither, Nor | style dramatic | options 3 | SEL
en|His hands are a sticky disaster! And ...|so are his arms.|so do his arms.|neither are his arms.
de|Seine Hände sind eine klebrige Katastrophe! Und ...|seine Arme auch.|seine Arme auch.|seine Arme nicht.
ua|Його долоні — липка катастрофа! І ...|руки теж.|руки теж.|руки теж ні.
es|¡Sus manos son un desastre pegajoso! Y ...|sus brazos también.|sus brazos también.|sus brazos tampoco.
fr|Ses mains sont une catastrophe collante ! Et ...|ses bras aussi.|ses bras aussi.|ses bras non plus.
tr|Elleri yapış yapış bir felaket! Ve ...|kolları da.|kolları da.|kolları da değil.
hu|A keze egy ragacsos katasztrófa! És ...|a karja is.|a karja is.|a karja sem.
E 43603 | B2 type 50 Past Perfect Continuous | style gossip | options 3 | SEL
en|Bestie, I heard he ... in the sun for ten minutes before his hands got sticky.|had been standing|has been standing|was standing
de|Bestie, ich hab gehört, er ... zehn Minuten in der Sonne gestanden, bevor seine Hände klebrig wurden.|hatte|hat|war
ua|Подруго, я чула, що він ... на сонці десять хвилин, перш ніж його руки стали липкими.|стояв|стоїть|стояв
