MEDIA 5374 | meaning: not deep, lacking much depth
E 42823 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
de|Omg, es heißt, dass sie den Vertrag ..., bevor jemand ein Wort sagen konnte.|zerrissen hatte|zerrissen hat|zerreißt
ua|Боже, кажуть, вона ... контракт, перш ніж хтось встиг сказати хоч слово.|розірвала|розірвала|рве
es|Dios, dicen que ella ... el contrato antes de que nadie pudiera decir nada.|había roto|ha roto|está rompiendo
fr|Omg, on dit qu'elle ... le contrat avant que quiconque puisse dire un mot.|avait déchiré|a déchiré|déchire
tr|Aman tanrım, dediklerine göre o, kimse tek kelime edemeden sözleşmeyi ...|yırtmıştı|yırtmış|yırtıyor
hu|Úristen, azt mondják, ő ... a szerződést, mielőtt bárki egy szót is szólhatott volna.|széttépte|széttépte|tépi
MEDIA 5387 | meaning: deep sadness, especially about a loss
E 43264 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|You ... a sad film when the sorrow got too much, and honestly, so relatable.|were watching|watched|are watching
de|Du ... gerade einen traurigen Film, als die Trauer zu viel wurde, und ehrlich, so nachvollziehbar.|sahst|sahst|siehst
ua|Ти ... сумний фільм, коли смуток став нестерпним, і, чесно, це так знайомо.|дивилася|подивилася|дивишся
es|Tú ... una película triste cuando la tristeza se volvió demasiado, y, sinceramente, qué identificable.|estabas viendo|viste|estás viendo
fr|Tu ... un film triste quand le chagrin est devenu trop lourd, et franchement, je me reconnais trop.|regardais|as regardé|regardes
tr|Hüzün fazla gelince sen hüzünlü bir film ..., ve açıkçası çok tanıdık.|izliyordun|izledin|izliyorsun
hu|Te ... egy szomorú filmet, amikor a bánat túl sok lett, és őszintén, annyira átérzem.|néztél|megnéztél|nézel
E 43274 | B2 type 62 Articles advanced | style flirt | options 3 | SEL
en|Honestly, you two share ... of a sad film like true friends.|the sorrow|a sorrow|sorrow
de|Ehrlich, ihr zwei teilt ... eines traurigen Films wie echte Freundinnen.|die Trauer|eine Trauer|Trauer
ua|Чесно, ви дві ділите ... сумного фільму, як справжні подруги.|смуток|смуток|смуток
es|Sinceramente, vosotras dos compartís ... de una película triste como verdaderas amigas.|la tristeza|una tristeza|tristeza
fr|Franchement, vous deux partagez ... d'un film triste comme de vraies amies.|le chagrin|un chagrin|chagrin
tr|Açıkçası siz ikiniz hüzünlü bir filmin ... gerçek dostlar gibi paylaşıyorsunuz.|hüznünü|bir hüznünü|hüznünü
hu|Őszintén, ti ketten úgy osztoztok ... egy szomorú film miatt, mint igazi barátnők.|a bánaton|egy bánaton|bánaton
MEDIA 5388 | meaning: things wrapped together in one package
E 41352 | B1 type 47 Gerund vs Infinitive | style gossip | options 3 | SEL
en|Listen, I heard she refused ... until she got that packet back.|to sit down|sitting down|sit down
de|Hör zu, ich hab gehört, sie hat sich geweigert, ..., bis sie die Tüte zurückhatte.|sich hinzusetzen|Hinsetzen|hinsetzen
ua|Слухай, я чула, що вона відмовилася ..., поки не отримала ту пачку назад.|сісти|сідання|сісти
es|Escucha, oí que ella se negó a ... hasta que recuperó ese paquete.|sentarse|sentándose|sentarse
fr|Écoute, j'ai entendu dire qu'elle a refusé ... jusqu'à ce qu'elle récupère ce paquet.|de s'asseoir|s'asseyant|s'asseoir
tr|Dinle, duydum ki o, o paketi geri alana kadar ... reddetmiş.|oturmayı|oturmak|otur
hu|Figyelj, azt hallottam, hogy ő nem volt hajlandó ..., amíg vissza nem kapta azt a zacskót.|leülni|leülve|leül
E 41355 | B2 type 50 Past Perfect Continuous | style flirt | options 3 | SEL
en|Honestly, you ... for that packet for two whole minutes before he gave up. Respect.|had been reaching|have been reaching|were reaching
de|Ehrlich, du ... dich zwei ganze Minuten nach der Tüte, bevor er aufgab. Respekt.|strecktest|streckst|strecktest
ua|Чесно, ти ... по ту пачку цілі дві хвилини, поки він не здався. Респект.|тягнулася|тягнешся|тягнулася
es|Sinceramente, tú ... ese paquete durante dos minutos enteros antes de que él se rindiera. Respeto.|habías estado intentando alcanzar|has estado intentando alcanzar|estabas intentando alcanzar
fr|Franchement, tu ... vers ce paquet pendant deux bonnes minutes avant qu'il abandonne. Respect.|avais tendu la main|tends la main|tendais la main
tr|Açıkçası sen, o pes edene kadar iki koca dakika o pakete ...; saygı.|uzanmıştın|uzanıyorsun|uzanıyordun
hu|Őszintén, te két teljes percig ... azért a zacskóért, mielőtt feladta. Respekt.|nyújtózkodtál|nyújtózkodsz|nyújtózkodtál
MEDIA 5389 | meaning: to make a sudden move to avoid something
E 38714 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|He ... every grab until she cornered him by the sofa.|dodged|was dodged|dodging
de|Er ... jedem Griff aus, bis sie ihn am Sofa in die Enge trieb.|wich|wurde ausgewichen|ausweichend
ua|Він ... від кожної спроби схопити, поки вона не загнала його в кут біля дивана.|ухилявся|був ухилений|ухиляючись
es|Él ... cada intento de agarrarlo hasta que ella lo acorraló junto al sofá.|esquivó|fue esquivado|esquivando
fr|Il ... chaque tentative jusqu'à ce qu'elle le coince près du canapé.|a esquivé|a été esquivé|esquivant
tr|O, kız onu kanepenin yanında köşeye sıkıştırana kadar her kapma hamlesinden ...|kaçtı|kaçıldı|kaçarak
hu|Ő minden kapás elől ..., amíg a lány sarokba nem szorította a kanapénál.|kitért|ki lett térve|kitérve
E 38717 | B2 type 67 All Future Tenses | style slang | options 3 | SEL
en|Bro, by the time she corners him, he ... her like twenty times, fr.|will have dodged|will dodge|dodges
de|Bro, bis sie ihn in die Ecke drängt, wird er ihr so zwanzigmal ..., echt.|ausgewichen sein|ausweichen|ausweichen
ua|Бро, поки вона зажене його в кут, він ... від неї разів двадцять, реально.|ухилиться|ухилятиметься|ухиляється
es|Bro, para cuando ella lo acorrale, él la ... como veinte veces, en serio.|habrá esquivado|esquivará|esquiva
fr|Frère, le temps qu'elle le coince, il ... genre vingt fois, sérieux.|aura esquivé|esquivera|esquive
tr|Kanka, kız onu köşeye sıkıştırana kadar o ondan yirmi kere falan ..., cidden.|kaçmış olacak|kaçacak|kaçıyor
hu|Tesó, mire sarokba szorítja, ő vagy hússzor ... előle, komolyan.|már kitért|ki fog térni|kitér
MEDIA 5391 | meaning: to look at something with fixed eyes
E 43512 | B1 type 38 0 Conditional | style slang | options 3 | SEL
en|Bro, if a video ... that crazy, everyone stares at the phone, fr.|is|was|will be
de|Bro, wenn ein Video so krass ..., starren alle aufs Handy, echt.|ist|war|sein wird
ua|Бро, якщо відео ... таке божевільне, всі витріщаються в телефон, реально.||було|буде
es|Bro, si un vídeo ... así de loco, todo el mundo se queda mirando el móvil, en serio.|es|era|será
fr|Frère, si une vidéo ... aussi dingue, tout le monde fixe le téléphone, sérieux.|est|était|sera
tr|Kanka, bir video o kadar çılgın ..., herkes telefona bakakalır, cidden.|olursa|olsaydı|olacaksa
hu|Tesó, ha egy videó ennyire őrült ..., mindenki a telefont bámulja, komolyan.||volt|lesz
E 43519 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Bestie, I heard they ... at that phone since the sun went down.|have been staring|are staring|stare
de|Bestie, ich hab gehört, sie ... auf das Handy, seit die Sonne untergegangen ist.|starren|starren|starren
ua|Бестіс, я чула, що вони ... в той телефон, відколи сіло сонце.|витріщаються|витріщаються|витріщаються
es|Bestie, oí que ellos ... ese móvil desde que se puso el sol.|han estado mirando fijamente|están mirando fijamente|miran fijamente
fr|Bestie, j'ai entendu dire qu'ils ... ce téléphone depuis le coucher du soleil.|fixent|fixent|fixent
tr|Kanka, duydum ki onlar güneş battığından beri o telefona ...|bakıyormuş|bakıyormuş|bakarmış
hu|Bestie, azt hallottam, hogy ők napnyugta óta ... azt a telefont.|bámulják|bámulják|bámulják
MEDIA 5392 | meaning: an overwhelming feeling of fear and worry
E 44032 | B1 type 33 Past Simple or Continuos | style ironic | options 3 | SEL
en|Clearly very relaxed: she ... his arm in terror when the clown appeared.|grabbed|was grabbing|grabs
de|Eindeutig total entspannt: Sie ... voller Panik seinen Arm, als der Clown auftauchte.|packte|packte gerade|packt
ua|Явно дуже розслаблена: вона ... його за руку від жаху, коли з'явився клоун.|схопила|хапала|хапає
es|Claramente muy relajada: ella le ... el brazo aterrorizada cuando apareció el payaso.|agarró|estaba agarrando|agarra
fr|Clairement très détendue : elle ... son bras, terrorisée, quand le clown est apparu.|a agrippé|agrippait|agrippe
tr|Belli ki çok rahat: palyaço belirince o dehşet içinde adamın kolunu ...|yakaladı|yakalıyordu|yakalıyor
hu|Egyértelműen nagyon laza: ő rémülten ... a karját, amikor megjelent a bohóc.|megragadta|ragadta|megragadja
E 44039 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|They kept walking ... their terror.|despite|although|because of
de|Sie gingen ... ihrer Angst weiter.|trotz|obwohl|wegen
ua|Вони йшли далі ... свій жах.|попри|хоча|через
es|Ellos siguieron caminando ... su terror.|a pesar de|aunque|debido a
fr|Ils ont continué à marcher ... leur terreur.|malgré|bien que|à cause de
tr|Onlar dehşetlerine ... yürümeye devam ettiler.|rağmen|gerçi|yüzünden
hu|Ők a rémületük ... tovább mentek.|ellenére|bár|miatt
MEDIA 5393 | meaning: staying steady in your mind under stress
E 37515 | B1 type 46 Used to, Would | style nerd | options 3 | SEL
en|Before the T-rex incident, the subject ... watch television in total calm every evening.|would|used|was used to
de|Vor dem T-Rex-Vorfall ... das Subjekt jeden Abend in völliger Ruhe fernzusehen.|pflegte|pflegte|war gewohnt
ua|До інциденту з тиранозавром суб'єкт щовечора ... телевізор у цілковитому спокої.|дивився|дивився|звик дивитися
es|Antes del incidente del T-rex, el sujeto ... ver la televisión con total calma cada noche.|solía|solía|estaba acostumbrado a
fr|Avant l'incident du T-rex, le sujet ... regarder la télévision dans un calme total chaque soir.|avait l'habitude de|avait l'habitude de|était habitué à
tr|T-rex olayından önce denek her akşam tam bir sükûnet içinde televizyon ...|izlerdi|izlerdi|izlemeye alışkındı
hu|A T-rex-incidens előtt az alany minden este teljes nyugalomban ... tévét.|nézett|szokott nézni|hozzá volt szokva nézni
E 37518 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Her calm ... gone since the T-rex attack, so she hides under the blanket.|has been|is|was
de|Ihre Ruhe ... seit dem T-Rex-Angriff weg, deshalb versteckt sie sich unter der Decke.|ist|ist|war
ua|Її спокій ... з часу нападу тиранозавра, тож вона ховається під ковдрою.|зник|зник|зник
es|Su calma ... desde el ataque del T-rex, así que se esconde bajo la manta.|ha desaparecido|ha desaparecido|desapareció
fr|Son calme ... envolé depuis l'attaque du T-rex, alors elle se cache sous la couverture.|s'est|s'est|était
tr|T-rex saldırısından beri sakinliği ..., o yüzden battaniyenin altına saklanıyor.|yok|yok|yoktu
hu|A nyugalma a T-rex-támadás óta ..., ezért a takaró alá bújik.|odavan|odavan|odavolt
MEDIA 5394 | meaning: to demand something as your own property
E 37826 | B1 type 41 Passive | style chill | options 3 | SEL
en|Right now the frozen land ... with a torn ochre flag.|is being claimed|is claiming|has claimed
de|Gerade wird das gefrorene Land mit einer zerrissenen ockerfarbenen Flagge ...|beansprucht|beansprucht|beansprucht
ua|Просто зараз замерзла земля ... пошарпаним вохристим прапором.|привласнюється|привласнює|привласнила
es|Ahora mismo la tierra helada ... con una bandera ocre rasgada.|está siendo reclamada|está reclamando|ha reclamado
fr|En ce moment, la terre gelée ... avec un drapeau ocre déchiré.|est revendiquée|revendique|a revendiqué
tr|Şu anda donmuş toprak yırtık hardal rengi bir bayrakla ...|sahipleniliyor|sahipleniyor|sahiplendi
hu|Épp most ... a fagyott földet egy szakadt okkersárga zászlóval.|veszik birtokba|birtokba veszi|birtokba vette
MEDIA 5395 | meaning: a large farm where cattle are raised
E 42066 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At noon tomorrow, he ... along the ranch fence again.|will be riding|will ride|rides
de|Morgen Mittag ... er wieder am Zaun der Ranch entlang.|reitet|reitet|reitet
ua|Завтра опівдні він знову ... вздовж паркану ранчо.|їхатиме|поїде|їде
es|Mañana al mediodía él ... de nuevo junto a la valla del rancho.|estará cabalgando|cabalgará|cabalga
fr|Demain à midi, il ... de nouveau le long de la clôture du ranch.|sera en train de chevaucher|chevauchera|chevauche
tr|Yarın öğlen o yine çiftliğin çiti boyunca ...|at sürüyor olacak|at sürecek|at sürüyor
hu|Holnap délben ő újra a tanya kerítése mentén ...|fog lovagolni|lovagol majd|lovagol
MEDIA 5396 | meaning: to designate a place with a mark
E 40882 | B2 type 60 Wish clauses | style slang | options 3 | SEL
en|Bro, she wishes they ... the line with a drone, 'cause those hills are kinda steep.|had marked|marked|have marked
de|Bro, sie wünschte, dass sie die Linie mit einer Drohne ..., weil die Hügel echt steil sind.|markiert hätten|markieren würden|markiert haben
ua|Бро, вона хотіла б, щоб вони ... лінію дроном, бо ті пагорби досить круті.|позначили|позначили|позначили
es|Bro, ella desearía que ellos ... la línea con un dron, porque esas colinas son bastante empinadas.|hubieran marcado|marcaran|hayan marcado
fr|Frère, elle aurait aimé qu'ils ... la ligne avec un drone, parce que ces collines sont assez raides.|aient marqué|marquent|aient marqué
tr|Kanka, o keşke çizgiyi drone ile ... diyor, çünkü o tepeler baya dik.|işaretleselerdi|işaretleseler|işaretlemiş olsalar
hu|Tesó, ő azt szeretné, bárcsak drónnal ... ki a vonalat, mert elég meredekek azok a dombok.|jelölték volna|jelölnék|jelölték
MEDIA 5397 | meaning: showing great strength or force
E 40984 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|I think the mighty wave ... over the gulls in a second.|will crash|will be crashing|is crashing
de|Ich glaube, die gewaltige Welle ... gleich über den Möwen.|bricht|bricht|bricht
ua|Я думаю, що могутня хвиля за секунду ... над чайками.|обрушиться|обрушуватиметься|обрушується
es|Yo creo que la poderosa ola ... sobre las gaviotas en un segundo.|romperá|estará rompiendo|está rompiendo
fr|Je pense que la puissante vague ... sur les mouettes dans une seconde.|s'écrasera|sera en train de s'écraser|s'écrase
tr|Bence o güçlü dalga bir saniye içinde martıların üstüne ...|çökecek|çöküyor olacak|çöküyor
hu|Szerintem a hatalmas hullám egy másodperc múlva ... a sirályokra.|le fog zúdulni|zúdul majd|zúdul le
MEDIA 5402 | meaning: the passage to your stomach and lungs
E 44053 | B1 type 44 Relative clauses | style nerd | options 3 | SEL
en|The throat, ... movement is observable when he swallows, carries the water down.|whose|which|that
de|Der Rachen, ... Bewegung beim Schlucken beobachtbar ist, befördert das Wasser nach unten.|dessen|der|das
ua|Горло, ... рух помітний, коли він ковтає, спрямовує воду вниз.|чий|яке|що
es|La garganta, ... movimiento es observable cuando él traga, lleva el agua hacia abajo.|cuyo|que|la cual
fr|La gorge, ... le mouvement est observable quand il avale, fait descendre l'eau.|dont|qui|que
tr|O yutkunduğunda ... hareketi gözlemlenebilen boğaz, suyu aşağıya taşır.|||
hu|A torok, ... mozgása megfigyelhető, amikor ő nyel, lefelé viszi a vizet.|amelynek|amely|ami
MEDIA 5405 | meaning: a young child
E 44136 | B1 type 37 Future Simple or Continuos | style gossip | options 3 | SEL
en|Girl, her dad swears he ... her very next step on video, no matter what.|will film|will be filming|is filming
de|Mädel, ihr Vater schwört, dass er ihren nächsten Schritt auf Video ..., egal was passiert.|aufnehmen wird|aufnehmen wird|aufnimmt
ua|Подруго, її тато клянеться, що він ... її наступний крок на відео, хай що станеться.|зніме|зніматиме|знімає
es|Amiga, su padre jura que él ... su próximo paso en vídeo, pase lo que pase.|grabará|estará grabando|está grabando
fr|Meuf, son père jure qu'il ... son tout prochain pas en vidéo, quoi qu'il arrive.|filmera|sera en train de filmer|filme
tr|Kızım, babası ne olursa olsun onun bir sonraki adımını videoya ... diye yemin ediyor.|çekecek|çekiyor olacak|çekiyor
hu|Csajszi, az apja esküszik, hogy ő a következő lépését videóra ..., bármi történjék.|veszi|venni fogja|veszi éppen
E 44140 | B2 type 66 All Past Tenses | style business | options 3 | SEL
en|Before the budget increase, the daycare ... 20 toddlers in one room for years.|had been looking after|was looking after|has looked after
de|Vor der Budgeterhöhung ... die Kita jahrelang 20 Kleinkinder in einem einzigen Raum.|betreute|betreute|betreut
ua|До збільшення бюджету ясла роками ... 20 малюків в одній кімнаті.|доглядали|доглядали|доглянули
es|Antes del aumento del presupuesto, la guardería ... de 20 niños pequeños en una sola sala durante años.|había estado cuidando|estaba cuidando|ha cuidado
