MEDIA 4817 | meaning: a long time with a shortage of rain
E 38824 | B2 type 64 Future in past | style chill | options 3 | SEL
fr|Un faux pas sur cette arête ... être la fin absolue !|pourrait|doit|ne peut pas
tr|Bu sırttan atılacak tek bir yanlış adım mutlak son ...!|olabilir|olmalı|olamaz
hu|Egy rossz lépés erről a gerincről maga a vég ...!|lehet|kell hogy legyen|nem lehet
MEDIA 4836 | meaning: to cut something using a saw
E 42597 | B2 type 54 Mixed Conditional | style chill | options 3 | SEL
en|If he had sawn the trunk too fast yesterday, the bear ... broken now.|would be|would have been|will be
de|Hätte er den Stamm gestern zu schnell gesägt, ... der Bär jetzt kaputt.|wäre|wäre gewesen|wird sein
ua|Якби він учора пиляв стовбур надто швидко, ведмідь ... зараз зламаний.|був би|був би|буде
es|Si él hubiera serrado el tronco demasiado rápido ayer, el oso ... roto ahora.|estaría|habría estado|estará
fr|S'il avait scié le tronc trop vite hier, l'ours ... cassé maintenant.|serait|aurait été|sera
tr|O dün gövdeyi çok hızlı kesmiş olsaydı, ayı şimdi kırık ...|olurdu|olmuş olurdu|olacak
hu|Ha ő tegnap túl gyorsan fűrészelte volna a törzset, a medve most törött ...|lenne|lett volna|lesz
MEDIA 4846 | meaning: to press clothes smooth with a hot iron
E 40308 | B1 type 47 Gerund vs Infinitive | style flirt | options 3 | SEL
en|You clearly enjoy ... that shirt, and honestly it shows.|ironing|to iron|iron
de|Dir macht es sichtlich Spaß, dieses Hemd zu ..., und ehrlich, man sieht's.|bügeln|bügeln|bügeln
ua|Ти явно любиш ... цю сорочку, і чесно, це видно.|прасувати|прасувати|прасувати
es|Tú claramente disfrutas ... esa camisa, y la verdad se nota.|planchando|planchar|planchar
fr|Tu aimes clairement ... cette chemise, et honnêtement, ça se voit.|repasser|repasser|repasser
tr|Sen o gömleği ... resmen bayılıyorsun, açıkçası belli oluyor.|ütülemeye|ütülemeye|ütülemeye
hu|Te láthatóan élvezed ... azt az inget, és őszintén, látszik is.|vasalni|vasalni|vasalni
E 40311 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The two women ... the sheet for an hour before it was finally smooth.|had been ironing|have been ironing|were ironing
de|Die zwei Frauen ... das Laken eine Stunde lang, bevor es endlich glatt war.|bügelten|bügeln|bügelten
ua|Дві жінки ... простирадло годину, перш ніж воно нарешті стало гладким.|прасували|прасують|прасували
es|Las dos mujeres ... la sábana durante una hora antes de que por fin quedara lisa.|habían estado planchando|han estado planchando|estaban planchando
fr|Les deux femmes ... le drap pendant une heure avant qu'il soit enfin lisse.|repassaient|repassent|repassaient
tr|İki kadın, çarşaf sonunda dümdüz olana kadar bir saat boyunca onu ...|ütülemişlerdi|ütülüyorlar|ütülüyorlardı
hu|A két nő egy órán át ... a lepedőt, mire végre sima lett.|vasalta|vasalja|vasalta
MEDIA 4852 | meaning: a toothed wheel that turns inside a machine
E 39763 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|Of all the parts in the machine, ... he fitted last was the biggest.|the gear|a gear|gear
de|Von allen Teilen der Maschine war ..., das er zuletzt einbaute, das größte.|das Zahnrad|ein Zahnrad|Zahnrad
ua|З усіх деталей у машині ..., яке він встановив останнім, було найбільшим.|зубчасте колесо|зубчасте колесо|зубчасте колесо
es|De todas las piezas de la máquina, ... que montó al final era el más grande.|el engranaje|un engranaje|engranaje
fr|De toutes les pièces de la machine, ... qu'il a montée en dernier était la plus grande.|la roue dentée|une roue dentée|roue dentée
tr|Makinedeki tüm parçalar içinde en son taktığı ... en büyüğüydü.|dişli|bir dişli|dişli
hu|A gép összes alkatrésze közül ..., amelyet utoljára szerelt be, volt a legnagyobb.|a fogaskerék|egy fogaskerék|fogaskerék
MEDIA 4853 | meaning: very small
E 44105 | B1 type 32 Present Perfect Continuous | style gossip | options 3 | SEL
en|Bestie, I heard she ... tiny cogs like this for ten years.|has been repairing|is repairing|repairs
de|Bestie, ich hab gehört, sie ... schon seit zehn Jahren so winzige Zahnräder.|repariert|repariert|repariert
ua|Подруго, я чула, що вона ... такі крихітні шестерні вже десять років.|ремонтує|ремонтує|ремонтує
es|Amiga, yo he oído que ... engranajes diminutos como estos desde hace diez años.|ha estado reparando|está reparando|repara
fr|Bestie, j'ai entendu dire qu'elle ... des rouages minuscules comme ça depuis dix ans.|répare|est en train de réparer|répare
tr|Kanka, ben duydum ki on yıldır böyle minik dişlileri ...|tamir ediyormuş|tamir ediyor|tamir eder
hu|Csajszi, én úgy hallottam, tíz éve ... ilyen apró fogaskerekeket.|javít|javít|javít
E 44110 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|She works with a loupe ... the cog being so tiny.|owing to|in spite of|because
de|Sie arbeitet ... des so winzigen Zahnrads mit einer Lupe.|aufgrund|trotz|weil
ua|Вона працює з лупою ... те, що шестерня така крихітна.|через|попри|бо
es|Ella trabaja con una lupa ... que el engranaje es tan diminuto.|debido a|a pesar de|porque
fr|Elle travaille à la loupe ... la taille minuscule du rouage.|en raison de|malgré|parce que
tr|O, dişli çok küçük olduğu ... büyüteçle çalışıyor.|için|halde|çünkü
hu|Ő nagyítóval dolgozik, ... a fogaskerék olyan apró.|mivel|annak ellenére, hogy|mert
MEDIA 4858 | meaning: a shape that curves round and round
E 43409 | B1 type 41 Passive | style ironic | options 3 | SEL
en|The whole spiral ... in one day by just one man. Clearly a quick job.|was set up|is set up|set up
de|Die ganze Spirale ... an einem einzigen Tag von nur einem Mann aufgebaut. Klar, ein schneller Job.|wurde|wird|hat
ua|Уся спіраль ... за один день лише одним чоловіком. Явно швидка робота.|була викладена|викладається|виклав
es|Toda la espiral ... en un solo día por un solo hombre. Un trabajo rapidito, claro.|fue montada|es montada|montó
fr|Toute la spirale ... en une seule journée par un seul homme. Clairement un petit boulot rapide.|a été montée|est montée|a monté
tr|Bütün spiral, tek bir günde ve tek bir adam tarafından ...; belli ki hızlı bir iş.|kuruldu|kuruluyor|kurdu
hu|Az egész spirál egyetlen nap alatt ... egyetlen ember által. Nyilván gyors meló.|lett felállítva|van felállítva|felállított
E 43417 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|You ... on that spiral for hours, and it shows. Respect.|have been working|are working|work
de|Du ... seit Stunden an dieser Spirale, und das sieht man. Respekt.|arbeitest|arbeitest|arbeitest
ua|Ти ... над цією спіраллю вже кілька годин, і це видно. Респект.|працюєш|працюєш|працюєш
es|Tú ... en esa espiral durante horas, y se nota. Respeto.|has estado trabajando|estás trabajando|trabajas
fr|Tu ... sur cette spirale depuis des heures, et ça se voit. Respect.|travailles|es en train de travailler|travailles
tr|Sen saatlerdir o spiral üzerinde ..., belli oluyor. Helal.|çalışıyorsun|çalışıyorsun|çalışırsın
hu|Te órák óta ... azon a spirálon, és látszik. Respekt.|dolgozol|dolgozol|dolgozol
MEDIA 4860 | meaning: a small ball of gas inside a liquid
E 37401 | B1 type 48 Question tags | style flirt | options 3 | SEL
en|Honestly, you love a good bubble experiment, ...?|don't you?|aren't you?|didn't you?
de|Ehrlich, du liebst ein gutes Blasenexperiment, ...?|oder?|oder?|oder?
ua|Чесно, ти обожнюєш класний експеримент із бульбашками, ...?|так?|так?|так?
es|La verdad, tú adoras un buen experimento con burbujas, ¿...|verdad?|verdad?|verdad?
  ~soft: unbalanced ¿?
fr|Honnêtement, tu adores une bonne expérience avec des bulles, ...|non ?|non ?|non ?
tr|Açıkçası sen güzel bir baloncuk deneyine bayılıyorsun, ...?|değil mi?|değil mi?|değil mi?
hu|Őszintén, te imádsz egy jó buborékos kísérletet, ...?|ugye?|ugye?|ugye?
E 37403 | B2 type 51 Future Perfect Simple | style flirt | options 3 | SEL
en|Honestly, by the end of the day you ... a thousand bubbles in that tank.|will have made|will make|will be making
de|Ehrlich, bis zum Ende des Tages ... du in diesem Tank tausend Blasen gemacht haben.|wirst|wirst|wirst
ua|Чесно, до кінця дня ти ... тисячу бульбашок у цьому резервуарі.|зробиш|зробиш|робитимеш
es|La verdad, para el final del día tú ... mil burbujas en ese tanque.|habrás hecho|harás|estarás haciendo
fr|Honnêtement, d'ici la fin de la journée, tu ... mille bulles dans ce bac.|auras fait|feras|seras en train de faire
tr|Açıkçası, gün sonuna kadar sen o tankta bin baloncuk ...|yapmış olacaksın|yapacaksın|yapıyor olacaksın
hu|Őszintén, mire vége a napnak, te ... ezer buborékot abban a tartályban.|csinálsz|csinálsz|fogsz csinálni
MEDIA 4865 | meaning: a glass device that bends light to form images
E 40581 | B1 type 41 Passive | style business | options 3 | SEL
en|The long lens ... for 2,000 euros from last year's budget.|was bought|bought|is bought
de|Das lange Objektiv ... für 2.000 Euro aus dem Budget des letzten Jahres gekauft.|wurde|hat|wird
ua|Довгий об'єктив ... за 2 000 євро з торішнього бюджету.|був куплений|купив|купується
es|El objetivo largo ... por 2.000 euros del presupuesto del año pasado.|fue comprado|compró|es comprado
fr|L'objectif long ... pour 2 000 euros sur le budget de l'an dernier.|a été acheté|a acheté|est acheté
tr|Uzun lens geçen yılın bütçesinden 2.000 euroya ...|satın alındı|satın aldı|satın alınıyor
hu|A hosszú objektívet ... 2000 euróért a tavalyi keretből.|megvették|megvette|megveszik
E 40584 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By the end of the night, he ... hundreds of photos through this lens.|will have taken|will take|takes
de|Bis zum Ende der Nacht ... er Hunderte Fotos mit diesem Objektiv gemacht haben.|wird|wird|macht
ua|До кінця ночі він ... сотні фото через цей об'єктив.|зробить|зробить|робить
es|Para el final de la noche, él ... cientos de fotos con este objetivo.|habrá hecho|hará|hace
fr|D'ici la fin de la nuit, il ... des centaines de photos avec cet objectif.|aura pris|prendra|prend
tr|Gecenin sonuna kadar o, bu lensle yüzlerce fotoğraf ...|çekmiş olacak|çekecek|çekiyor
hu|Az éjszaka végére ő ... több száz fotót ezzel az objektívvel.|elkészít|el fog készíteni|készít
MEDIA 4866 | meaning: a small flying machine with propellers
E 38811 | B1 type 31 Past Continuous | style flirt | options 3 | SEL
en|Honestly, you ... the drone so smoothly when the crew started clapping.|were flying|flew|have flown
de|Ehrlich, du ... die Drohne so geschmeidig, als die Crew anfing zu klatschen.|steuertest|steuertest|hast gesteuert
ua|Чесно, ти ... дрон так плавно, коли знімальна група почала аплодувати.|керував|керував|покерував
es|La verdad, tú ... el dron con tanta suavidad cuando el equipo empezó a aplaudir.|pilotabas|pilotaste|has pilotado
fr|Honnêtement, tu ... le drone avec tellement de fluidité quand l'équipe a commencé à applaudir.|pilotais|as piloté|as piloté
tr|Açıkçası, ekip alkışlamaya başladığında sen dronu öyle akıcı ...|uçuruyordun|uçurdun|uçurdun
hu|Őszintén, te olyan simán ... a drónt, amikor a stáb tapsolni kezdett.|irányítottad|irányítottad|irányítottad
E 38818 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The drone, ... propellers flatten the grass, lifts off over the field.|whose|which|that
de|Die Drohne, ... Propeller das Gras plattdrücken, hebt über dem Feld ab.|deren|die|die
ua|Дрон, ... пропелери притискають траву, злітає над полем.|чиї|який|що
es|El dron, ... hélices aplastan la hierba, despega sobre el campo.|cuyas|que|el cual
fr|Le drone, ... les hélices aplatissent l'herbe, décolle au-dessus du champ.|dont|qui|que
tr|Pervaneleri ... çimi yere yatıran dron, tarlanın üzerinde havalanıyor.|||
hu|A drón, ... propellerei lelapítják a füvet, felemelkedik a mező fölé.|amelynek a|amely|amelyik
MEDIA 4867 | meaning: the short thick finger on your hand
E 44063 | B1 type 49 So, Neither, Nor | style clueless | options 3 | SEL
en|She has two thumbs because she has two hands, and ...|so does the singer.|so is the singer.|so did the singer.
de|Sie hat zwei Daumen, weil sie zwei Hände hat, und ...|der Sänger auch.|der Sänger auch.|der Sänger auch.
ua|Вона має два великі пальці, бо має дві руки, і ...|співак теж.|співак теж.|співак теж.
es|Ella tiene dos pulgares porque tiene dos manos, y ...|el cantante también.|el cantante también.|el cantante también.
fr|Elle a deux pouces parce qu'elle a deux mains, et ...|le chanteur aussi.|le chanteur aussi.|le chanteur aussi.
tr|O, iki eli olduğu için iki başparmağa sahip, ve ...|şarkıcı da öyle.|şarkıcı da öyle.|şarkıcı da öyle.
hu|Neki két hüvelykujja van, mert két keze van, és ...|az énekesnek is.|az énekesnek is.|az énekesnek is.
E 44067 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|Her thumbs fill the frame, so she ... been sitting very close to the camera.|must have|can't have|should have
de|Ihre Daumen füllen das ganze Bild, also ... sie sehr nah an der Kamera gesessen haben.|muss|kann nicht|sollte
ua|Її пальці заповнюють увесь кадр, тож вона ... сидіти дуже близько до камери.|мусила|не могла|мала б
es|Sus pulgares llenan el encuadre, así que ella ... estado sentada muy cerca de la cámara.|debe de haber|no puede haber|debería haber
fr|Ses pouces remplissent le cadre, donc elle ... être assise très près de la caméra.|a dû|n'a pas pu|aurait dû
tr|Başparmakları kadrajı dolduruyor, yani o kameraya çok yakın ...|oturuyor olmalı|oturuyor olamaz|oturmalıydı
hu|A hüvelykujjai kitöltik a képet, szóval ő ... nagyon közel a kamerához.|biztosan ült|nem ülhetett|ülnie kellett volna
MEDIA 4868 | meaning: to write a computer program
E 41899 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|He ... program late at night when he was a student.|would|used|was used to
de|Er ... spät in der Nacht, als er Student war.|programmierte oft|programmierte früher|war es gewohnt zu programmieren
ua|Він ... пізно вночі, коли був студентом.|програмував|програмував|звик програмувати
es|Él ... hasta tarde por la noche cuando era estudiante.|programaba|solía programar|estaba acostumbrado a programar
fr|Il ... tard le soir quand il était étudiant.|programmait|avait l'habitude de programmer|était habitué à programmer
tr|O öğrenciyken gece geç saatlere kadar ...|program yazardı|program yazardı|program yazmaya alışkındı
hu|Ő ... késő éjjel, amikor diák volt.|programozott|programozni szokott|hozzá volt szokva a programozáshoz
E 41904 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Bro, they ... that app for weeks before the green check finally showed up, fr.|had been programming|were programming|have programmed
de|Bro, die ... wochenlang an der App, bevor endlich der grüne Haken kam, echt jetzt.|programmierten|programmierten|haben programmiert
ua|Бро, вони ... цей застосунок тижнями, поки нарешті не з'явилася зелена галочка, реально.|програмували|програмували|запрограмували
es|Bro, ellos ... esa app durante semanas antes de que por fin saliera el check verde, en serio.|habían estado programando|estaban programando|han programado
fr|Frère, ils ... cette appli pendant des semaines avant que la coche verte apparaisse enfin, sérieux.|avaient programmé|programmaient|ont programmé
tr|Kanka, onlar yeşil tik sonunda çıkana kadar haftalarca o uygulamayı ..., cidden.|kodlamışlardı|kodluyorlardı|kodladılar
hu|Tesó, ők hetekig ... azt az appot, mire végre megjelent a zöld pipa, komolyan.|programozták|programozták|leprogramozták
MEDIA 4870 | meaning: a mass of small white bubbles
E 39465 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|While he ... the foam off his cheek, his heart was completely in his mouth!|was shaving|shaved|has shaved
de|Während er sich den Schaum von der Wange ..., schlug ihm das Herz bis zum Hals!|rasierte|rasierte|hat rasiert
ua|Поки він ... піну зі щоки, серце в нього було просто в п'ятах!|збривав|збрив|збрив
es|¡Mientras él se ... la espuma de la mejilla, tenía el corazón en un puño!|afeitaba|afeitó|ha afeitado
fr|Pendant qu'il ... la mousse de sa joue, son cœur battait la chamade !|rasait|rasa|a rasé
tr|O yanağındaki köpüğü ..., kalbi resmen ağzına gelmişti!|tıraş ederken|tıraş etti|tıraş etmiş
hu|Miközben ő ... a habot az arcáról, a szíve a torkában dobogott!|borotválta|leborotválta|leborotválta
E 39474 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|... the foam, the razor left a clean stripe on his cheek.|Thanks to|In spite of|In case of
de|... dem Schaum hinterließ das Rasiermesser einen sauberen Streifen auf seiner Wange.|Dank|Trotz|Im Fall von
ua|... піні бритва залишила чисту смугу на його щоці.|Завдяки|Попри|У разі
es|... la espuma, la navaja dejó una franja limpia en su mejilla.|Gracias a|A pesar de|En caso de
fr|... la mousse, le rasoir a laissé une bande nette sur sa joue.|Grâce à|Malgré|En cas de
tr|Köpük ..., ustura yanağında temiz bir şerit bıraktı.|sayesinde|rağmen|durumunda
hu|A hab ..., a borotva tiszta csíkot hagyott az arcán.|miatt|ellenére|esetén
MEDIA 4871 | meaning: the act of signing up or enrolling
E 42192 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|The staff ... over 500 name badges at registration so far.|have printed|have been printing|printed
de|Das Team an der Anmeldung ... bisher über 500 Namensschilder gedruckt.|hat|hat|druckte
ua|Персонал на реєстрації ... вже понад 500 бейджів.|надрукував|друкував|надрукував
es|El personal ... más de 500 acreditaciones en el registro hasta ahora.|ha impreso|ha estado imprimiendo|imprimió
fr|Le personnel ... plus de 500 badges à l'accueil jusqu'ici.|a imprimé|imprime|imprima
tr|Görevliler kayıt masasında şimdiye kadar 500'den fazla isim kartı ...|bastı|basıyor|bastı
hu|A személyzet eddig több mint 500 névkártyát ... a regisztrációnál.|nyomtatott ki|nyomtatott|nyomtatott ki
E 42198 | B2 type 63 Advanced linkers | style dramatic | options 3 | SEL
en|Registration ended in ten minutes ... the endless queue! Absolutely unbelievable!|in spite of|because of|although
de|Die Anmeldung war ... der endlosen Schlange in zehn Minuten vorbei! Absolut unglaublich!|trotz|wegen|obwohl
ua|Реєстрація закінчилася за десять хвилин ... нескінченну чергу! Просто неймовірно!|попри|через|хоча
es|¡El registro terminó en diez minutos ... la cola interminable! ¡Absolutamente increíble!|a pesar de|por|aunque
fr|L'enregistrement s'est terminé en dix minutes ... la file interminable ! Absolument incroyable !|malgré|à cause de|bien que
tr|Kayıt, uçsuz bucaksız kuyruğa ... on dakikada bitti! İnanılmaz!|rağmen|yüzünden|gerçi
hu|A regisztráció a végtelen sor ... tíz perc alatt véget ért! Hihetetlen!|ellenére|miatt|bár
MEDIA 4873 | meaning: using your mind to learn a subject by reading
E 43735 | B1 type 47 Gerund vs Infinitive | style ironic | options 3 | SEL
en|She can't avoid ... more books to her study. A tiny reading list, clearly.|adding|to add|add
de|Sie kann das ... weiterer Bücher für ihr Studium nicht lassen. Eine winzige Leseliste, ganz klar.|Hinzufügen|hinzuzufügen|hinzufügen
ua|Вона не може уникнути ... нових книжок до свого навчання. Крихітний список літератури, звісно.|додавання|додати|додати
es|Ella no puede evitar ... más libros a su estudio. Una lista de lectura diminuta, claro.|añadir|añadir|añadir
fr|Elle ne peut pas s'empêcher ... encore des livres à ses études. Une toute petite liste de lecture, clairement.|d'ajouter|d'ajouter|ajouter
tr|O, çalışmalarına daha fazla kitap ... engel olamıyor. Minicik bir okuma listesi, belli.|eklemekten|eklemek|ekle
hu|Ő nem tudja elkerülni, hogy még több könyvet ... a tanulmányaihoz. Pici olvasmánylista, nyilván.|adjon|adjon|ad
E 43737 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|Her study ... just a few books before the piles reached the ceiling. Slightly unplanned.|had been|has been|was being
de|Ihr Studium ... nur ein paar Bücher gewesen, bevor die Stapel bis an die Decke reichten. Leicht ungeplant.|war|ist|wurde
ua|Її навчання ... лише кількома книжками, поки стоси не дісталися стелі. Трохи незаплановано.|було|було|було
es|Su estudio ... solo unos pocos libros antes de que las pilas llegaran al techo. Ligeramente imprevisto.|había sido|ha sido|estaba siendo
fr|Ses études ... juste quelques livres avant que les piles atteignent le plafond. Légèrement imprévu.|avaient été|ont été|étaient
tr|Yığınlar tavana dayanmadan önce çalışması sadece birkaç kitaptan ...; hafiften plansız.|ibaretti|ibaret oldu|ibaret oluyordu
hu|A tanulmánya csak pár könyvből ..., mielőtt a kupacok elérték a plafont. Kicsit nem volt betervezve.|állt|állt|állt
MEDIA 4876 | meaning: to spread your lips to show you are pleased
E 43183 | B1 type 46 Used to, Would | style dramatic | options 3 | SEL
en|She ... hate the rain, but now she smiles under the bus shelter.|used to|would|was used to
