MEDIA 4617 | meaning: to be engaged in a fight
E 39185 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
de|Stell dir vor, alle sagen, ... war der beste Teil der ganzen Show.|der Sturmangriff|ein Sturmangriff|Sturmangriff
ua|Уяви, всі кажуть, що ... була найкращою частиною всього шоу.|атака|атака|атака
es|Adivina, todo el mundo dice que ... fue lo mejor de todo el show.|la carga|una carga|carga
fr|Devine quoi, tout le monde dit que ... était le meilleur moment de tout le spectacle.|la charge|une charge|charge
tr|Tahmin et, herkes ... tüm gösterinin en iyi kısmı olduğunu söylüyor.|hücumun|bir hücumun|hücumun
hu|Képzeld, mindenki azt mondja, hogy ... volt az egész show legjobb része.|a roham|egy roham|roham
MEDIA 4620 | meaning: during or for one night
E 41317 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|He ... love travelling overnight, but this night at the airport is too long.|used to|would|was used to
de|Er ... Nachtreisen, aber diese Nacht am Flughafen ist zu lang.|liebte früher|liebte immer|war es gewohnt zu lieben
ua|Він ... подорожувати вночі, але ця ніч в аеропорту занадто довга.|колись любив|любив|звик любити
es|Él ... viajar de noche, pero esta noche en el aeropuerto es demasiado larga.|solía adorar|adoraba|estaba acostumbrado a adorar
fr|Il ... voyager de nuit, mais cette nuit à l'aéroport est trop longue.|adorait|adorait|avait l'habitude d'adorer
tr|O eskiden gece yolculuk etmeyi ..., ama havalimanındaki bu gece çok uzun.|severdi|severdi|sevmeye alışkındı
hu|Ő régen ... az éjszakai utazást, de ez az éjszaka a reptéren túl hosszú.|imádta|imádta|hozzá volt szokva, hogy imádja
MEDIA 4622 | meaning: to breathe out deeply and heavily
E 42995 | B1 type 48 Question tags | style chill | options 3 | SEL
en|She has sighed at the ceiling three times already, ...|hasn't she?|isn't she?|didn't she?
de|Sie hat schon dreimal zur Decke geseufzt, ...|oder?|nicht wahr?|oder?
ua|Вона вже тричі зітхнула до стелі, ...|так?|так?|так?
es|Ella ya ha suspirado mirando al techo tres veces, ...|¿verdad?|¿verdad?|¿verdad?
fr|Elle a déjà soupiré trois fois en regardant le plafond, ...|pas vrai ?|pas vrai ?|pas vrai ?
tr|O zaten üç kez tavana bakıp iç çekti, ...|değil mi?|değil mi?|değil mi?
hu|Ő már háromszor felsóhajtott a plafonra nézve, ...|ugye?|ugye?|ugye?
E 43001 | B2 type 58 Inversion basic | style dramatic | options 3 | SEL
en|Never ... so loudly at an airport gate. It was absolutely the worst night!|had she sighed|she had sighed|she sighed
de|Nie ... so laut an einem Gate. Es war absolut die schlimmste Nacht!|hatte sie geseufzt|hatte sie geseufzt|seufzte sie
ua|Ніколи ще вона не ... так голосно біля гейту. Це була абсолютно найгірша ніч!|зітхала|зітхала|зітхала
es|Ella nunca ... tan fuerte en la puerta de embarque. ¡Fue sin duda la peor noche!|había suspirado|había suspirado|suspiró
fr|Jamais elle ... aussi fort à une porte d'embarquement. C'était vraiment la pire nuit !|n'avait soupiré|n'avait soupiré|ne soupira
tr|O hiçbir kapıda bu kadar yüksek sesle ...! Kesinlikle en kötü geceydi!|iç çekmemişti|iç çekmemişti|iç çekmedi
hu|Ő még soha nem ... ilyen hangosan egy kapunál. Ez volt abszolút a legrosszabb éjszaka!|sóhajtott|sóhajtott|sóhajtott
MEDIA 4624 | meaning: more than half of the votes
E 40813 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|The majority chose ... their hands for the new plan.|to raise|raising|raise
de|Die Mehrheit entschied sich, für den neuen Plan die Hände ...|zu heben|zu heben|heben
ua|Більшість вирішила ... руки за новий план.|підняти|піднімати|підняти
es|La mayoría decidió ... la mano por el nuevo plan.|levantar|levantando|levantar
fr|La majorité a choisi de ... la main pour le nouveau plan.|lever|lever|lever
tr|Çoğunluk yeni plan için ellerini ... seçti.|kaldırmayı|kaldırmayı|kaldırmayı
hu|A többség úgy döntött, hogy ... a kezét az új tervre.|felemeli|felemeli|felemeli
MEDIA 4625 | meaning: to express your choice for a candidate
E 44565 | B1 type 32 Present Perfect Continuous | style ironic | options 3 | SEL
en|They ... in this queue to vote for an hour. A fast process, obviously.|have been standing|are standing|stand
de|Sie ... schon seit einer Stunde in dieser Schlange, um zu wählen. Ein schneller Prozess, offensichtlich.|stehen|stehen|stehen
ua|Вони ... в цій черзі на голосування вже годину. Швидкий процес, очевидно.|стоять|стоять|стоять
es|Ellos ... en esta cola para votar desde hace una hora. Un proceso rápido, obviamente.|han estado|están|están
fr|Ils ... la queue depuis une heure pour voter. Un processus rapide, évidemment.|font|font|font
tr|Onlar bir saattir bu kuyrukta ..., oy vermek için. Hızlı bir süreç, belli ki.|bekliyor|bekliyor|bekliyor
hu|Ők már egy órája ... ebben a sorban, hogy szavazzanak. Gyors folyamat, nyilván.|állnak|állnak|állnak
E 44573 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, I heard she ... in the queue for an hour before she finally voted.|had been waiting|has been waiting|is waiting
de|Hör mal, ich habe gehört, dass sie eine Stunde in der Schlange ..., bevor sie endlich gewählt hat.|gewartet hatte|gewartet hat|wartet
ua|Слухай, я чула, що вона ... в черзі годину, перш ніж нарешті проголосувала.|чекала|чекає|чекає
es|Oye, yo oí que ella ... una hora en la cola antes de votar por fin.|había estado esperando|ha estado esperando|está esperando
fr|Écoute, j'ai entendu qu'elle ... dans la file depuis une heure avant de finalement voter.|attendait|attend|attend
tr|Dinle, ben duydum ki o sonunda oy vermeden önce bir saat kuyrukta ...|beklemiş|bekliyormuş|bekliyor
hu|Figyelj, én azt hallottam, hogy ő egy órát ... a sorban, mielőtt végre szavazott.|várt|vár|vár
MEDIA 4629 | meaning: seeming to have no end, tiresomely long
E 38934 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|Nowhere in the print ... the endless dunes come to an end.|do|they do|does
de|Nirgendwo auf dem Druck ... gehen die endlosen Dünen zu Ende.||sie|
ua|Ніде на гравюрі ... нескінченні дюни не закінчуються.||вони|
  ~soft: SEL: pronoun inside an option
es|En ninguna parte del grabado ... terminan las dunas interminables.||ellas|
  ~soft: SEL: pronoun inside an option
fr|Nulle part sur la gravure ... les dunes infinies ne prennent fin.||elles|
tr|Baskının hiçbir yerinde ... sonsuz kumullar bitmiyor.||onlar|
hu|A metszeten sehol sem ... érnek véget a végtelen dűnék.||ők|
  ~soft: SEL: pronoun inside an option
MEDIA 4631 | meaning: to make or work out a plan for something
E 38539 | B1 type 37 Future Simple or Continuos | style nerd | options 3 | SEL
en|At noon tomorrow, the craftsman ... his next birdhouse, as he typically does.|will be designing|will design|is designing
de|Morgen um zwölf ... der Handwerker sein nächstes Vogelhaus, wie er es typischerweise tut.|entwirft gerade|wird entwerfen|entwirft
ua|Завтра опівдні майстер ... свій наступний шпаківник, як він зазвичай робить.|проєктуватиме|спроєктує|проєктує
es|Mañana al mediodía, el artesano ... su próxima casita para pájaros, como hace típicamente.|estará diseñando|diseñará|está diseñando
fr|Demain à midi, l'artisan ... son prochain nichoir, comme il le fait généralement.|sera en train de concevoir|concevra|est en train de concevoir
tr|Yarın öğlen zanaatkâr, tipik olarak yaptığı gibi, bir sonraki kuş evini ...|tasarlıyor olacak|tasarlayacak|tasarlıyor
hu|Holnap délben a mesterember ... a következő madárodúját, ahogy általában szokta.|épp tervezni fogja|megtervezi|tervezi
E 38542 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|Not gonna lie, you ... this birdhouse like a real architect right now.|are designing|design|have designed
de|Mal ehrlich, du ... dieses Vogelhaus gerade wie ein echter Architekt.|entwirfst|entwirfst|hast entworfen
ua|Не буду брехати, ти прямо зараз ... цей шпаківник, як справжній архітектор.|проєктуєш|проєктуєш|спроєктував
es|No voy a mentir, tú ... esta casita para pájaros como un auténtico arquitecto ahora mismo.|estás diseñando|diseñas|has diseñado
fr|Je vais pas mentir, tu ... ce nichoir comme un vrai architecte en ce moment.|es en train de concevoir|conçois|as conçu
tr|Yalan yok, sen şu an bu kuş evini gerçek bir mimar gibi ...|tasarlıyorsun|tasarlarsın|tasarladın
hu|Nem hazudok, te most úgy ... ezt a madárodút, mint egy igazi építész.|tervezed|tervezed|megtervezted
MEDIA 4632 | meaning: the desk area where you set up to work or study
E 44845 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At nine tomorrow, she ... at her new workspace.|will be studying|studies|studied
de|Morgen um neun ... sie gerade an ihrem neuen Arbeitsplatz.|lernt|lernt|lernte
ua|Завтра о дев'ятій вона ... за своїм новим робочим місцем.|навчатиметься|навчається|навчалася
es|Mañana a las nueve, ella ... en su nuevo espacio de trabajo.|estará estudiando|estudia|estudió
fr|Demain à neuf heures, elle ... à son nouveau poste de travail.|sera en train d'étudier|étudie|a étudié
tr|Yarın saat dokuzda o yeni çalışma alanında ...|ders çalışıyor olacak|ders çalışır|ders çalıştı
hu|Holnap kilenckor ő az új munkasarkában ...|fog tanulni|tanul|tanult
E 44854 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|She ... her workspace for an hour, and it is obviously still very minimalist.|has been decorating|is decorating|decorates
de|Sie ... ihren Arbeitsplatz schon seit einer Stunde, und er ist offensichtlich immer noch sehr minimalistisch.|dekoriert|dekoriert|dekoriert
ua|Вона ... своє робоче місце вже годину, і воно, очевидно, все ще дуже мінімалістичне.|прикрашає|прикрашає|прикрашає
es|Ella ... su espacio de trabajo desde hace una hora, y obviamente sigue siendo muy minimalista.|ha estado decorando|está decorando|decora
fr|Elle ... son espace de travail depuis une heure, et il est évidemment toujours très minimaliste.|décore|décore|décore
tr|O bir saattir çalışma alanını ..., ve belli ki hâlâ çok minimalist.|süslüyor|süslüyor|süsler
hu|Ő már egy órája ... a munkasarkát, és az nyilván még mindig nagyon minimalista.|díszíti|díszíti|díszíti
MEDIA 4633 | meaning: marked by despair or loss of hope
E 38546 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If his car started, he ... so desperate in the rain.|wouldn't feel|won't feel|doesn't feel
de|Wenn sein Auto anspringen würde, ... er sich im Regen nicht so verzweifelt.|fühlte|fühlt|fühlt
ua|Якби його машина завелася, він не ... таким відчайдушним під дощем.|почувався б|почуватиметься|почувається
es|Si su coche arrancara, él no ... tan desesperado bajo la lluvia.|se sentiría|se sentirá|se siente
fr|Si sa voiture démarrait, il ne ... pas aussi désespéré sous la pluie.|se sentirait|se sentira|se sent
tr|Arabası çalışsaydı, o yağmurda kendini bu kadar çaresiz ...|hissetmezdi|hissetmeyecek|hissetmiyor
hu|Ha beindulna az autója, ő nem ... ilyen kétségbeesettnek az esőben.|érezné magát|fogja érezni magát|érzi magát
E 38556 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|He ... to start the car for an hour when he finally sat down, desperate.|had been trying|has been trying|was trying
de|Er ... schon eine Stunde lang, das Auto zu starten, als er sich schließlich verzweifelt hinsetzte.|hatte versucht|versucht|versuchte
ua|Він ... завести машину вже годину, коли нарешті у відчаї сів.|намагався|намагається|намагався
es|Él ... arrancar el coche una hora cuando por fin se sentó, desesperado.|llevaba intentando|lleva intentando|estaba intentando
fr|Il ... de démarrer la voiture depuis une heure quand il s'est enfin assis, désespéré.|essayait|essaie|essayait
tr|O, sonunda çaresizce oturduğunda bir saattir arabayı çalıştırmaya ...|çalışıyordu|çalışıyor|çalışıyordu
hu|Ő már egy órája ... beindítani az autót, amikor végül kétségbeesetten leült.|próbálta|próbálja|próbálta
MEDIA 4635 | meaning: the place set as the end of a journey
E 38563 | B2 type 55 Advanced Passive Voice | style chill | options 3 | SEL
en|The lighthouse is said ... the destination of many travellers for years.|to have been|to be|being
de|Der Leuchtturm soll seit Jahren das Ziel vieler Reisender ...|gewesen sein|sein|sein
ua|Кажуть, що маяк уже роками ... місцем призначення багатьох мандрівників.|є|є|є
es|Se dice que el faro ... el destino de muchos viajeros durante años.|ha sido|es|siendo
fr|On dit que le phare ... la destination de nombreux voyageurs depuis des années.|est|est|est
tr|Deniz fenerinin yıllardır birçok gezginin varış noktası ... söyleniyor.|olduğu|olduğu|olduğu
hu|A világítótorony állítólag évek óta ... sok utazó úti célja.|||
MEDIA 4636 | meaning: a tall tower by the sea whose light guides ships
E 40646 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|She wishes she ... the lighthouse sooner, instead of only looking at a poster.|had visited|has visited|would visit
de|Sie wünscht sich, dass sie den Leuchtturm früher ..., statt nur auf ein Poster zu schauen.|besucht hätte|besucht hat|besuchen würde
ua|Вона шкодує, що не ... маяк раніше, замість того щоб лише дивитися на постер.|відвідала|відвідала|відвідала б
es|Ella desearía ... el faro antes, en lugar de solo mirar un póster.|haber visitado|ha visitado|visitaría
fr|Elle aimerait ... le phare plus tôt, au lieu de seulement regarder une affiche.|avoir visité|a visité|visiterait
tr|O, sadece bir postere bakmak yerine deniz fenerini daha önce ... diliyor.|ziyaret etmiş olmayı|ziyaret etmeyi|ziyaret edeceğini
hu|Ő azt kívánja, bárcsak korábban ... a világítótornyot, ahelyett hogy csak egy posztert nézne.|meglátogatta volna|meglátogatta|meglátogatná
MEDIA 4638 | meaning: the broken stones left when a building falls
E 42522 | B1 type 49 So, Neither, Nor | style slang | options 3 | SEL
en|Bro, the roof kinda turned into rubble, and ...|so did the front wall.|so was the front wall.|so does the front wall.
de|Bro, das Dach wurde irgendwie zu Schutt, und ...|die Vorderwand auch.|die Vorderwand auch.|die Vorderwand auch.
ua|Бро, дах типу перетворився на руїни, і ...|передня стіна теж.|передня стіна теж.|передня стіна теж.
es|Bro, el techo como que se convirtió en escombros, y ...|la pared delantera también.|la pared delantera también.|la pared delantera también.
fr|Frère, le toit s'est genre transformé en gravats, et ...|le mur de devant aussi.|le mur de devant aussi.|le mur de devant aussi.
tr|Kanka, çatı resmen moloza döndü, ve ...|ön duvar da öyle.|ön duvar da öyle.|ön duvar da öyle.
hu|Tesó, a tető kábé törmelékké vált, és ...|az elülső fal is.|az elülső fal is.|az elülső fal is.
E 42523 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By tonight, the excavator ... the whole house into rubble.|will have turned|will turn|will be turning
de|Bis heute Abend wird der Bagger das ganze Haus in Schutt ...|verwandelt haben|verwandeln|gerade verwandeln
ua|До вечора екскаватор ... весь будинок на руїни.|перетворить|перетворить|перетворюватиме
es|Para esta noche, la excavadora ... toda la casa en escombros.|habrá convertido|convertirá|estará convirtiendo
fr|D'ici ce soir, la pelleteuse ... toute la maison en gravats.|aura transformé|transformera|sera en train de transformer
tr|Bu akşama kadar ekskavatör bütün evi moloza ...|çevirmiş olacak|çevirecek|çeviriyor olacak
hu|Estére a markoló ... az egész házat törmelékké.|változtatja|változtatja|változtatni fogja
MEDIA 4639 | meaning: having the characteristics of a liquid, flowing
E 40652 | B1 type 48 Question tags | style chill | options 3 | SEL
en|The soap pouring out of the bottle is liquid, ...?|isn't it?|doesn't it?|wasn't it?
de|Die Seife, die aus der Flasche fließt, ist flüssig, ...?|oder|nicht wahr|oder
ua|Мило, що ллється з пляшки, рідке, ...?|так|правда|так
es|El jabón que sale de la botella es líquido, ¿...?|verdad|no|verdad
fr|Le savon qui coule de la bouteille est liquide, ... ?|n'est-ce pas|n'est-ce pas|n'est-ce pas
tr|Şişeden akan sabun sıvı, ...?|değil mi|değil mi|değil miydi
hu|Az üvegből ömlő szappan folyékony, ...?|ugye|ugye|ugye
MEDIA 4640 | meaning: a liquid or powder for washing dishes or clothes
E 38575 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|He ... this detergent three times this week.|has used|has been using|is using
de|Diese Woche hat er dieses Waschmittel dreimal ...|benutzt|benutzt|benutzt
ua|Він ... цей засіб для прання тричі цього тижня.|використав|використовував|використовує
es|Él ... este detergente tres veces esta semana.|ha usado|ha estado usando|está usando
fr|Il ... cette lessive trois fois cette semaine.|a utilisé|utilise|utilise
tr|O bu hafta bu deterjanı üç kez ...|kullandı|kullanıyor|kullanıyor
hu|Ő ezen a héten háromszor ... ezt a mosószert.|használta|használta|használja
E 38581 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Ok so, he told me he ... this detergent for weeks before it finally worked.|had been using|has been using|is using
de|Also, er hat mir erzählt, dass er dieses Waschmittel wochenlang ..., bevor es endlich gewirkt hat.|benutzt hatte|benutzt hat|benutzt
ua|Отже, він сказав мені, що ... цей засіб для прання тижнями, поки той нарешті не подіяв.|використовував|використовує|використовує
es|Vale, él me dijo que ... este detergente durante semanas antes de que por fin funcionara.|había estado usando|ha estado usando|está usando
fr|Bon, il m'a dit qu'il ... cette lessive pendant des semaines avant qu'elle marche enfin.|avait utilisé|a utilisé|utilise
tr|Tamam, o bana bu deterjanı sonunda işe yarayana kadar haftalarca ... söyledi.|kullandığını|kullandığını|kullandığını
hu|Szóval ő azt mondta nekem, hogy hetekig ... ezt a mosószert, mire végre hatott.|használta|használja|használja
MEDIA 4642 | meaning: a sizeable hole in the ground
E 41623 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the dog keeps scraping, the pit ... big enough for both of them.|will be|would be|was
de|Wenn der Hund weiter scharrt, ... die Grube groß genug für beide sein.|wird|würde|war
ua|Якщо пес і далі копатиме, яма ... достатньо великою для обох.|буде|була б|була
es|Si el perro sigue escarbando, el hoyo ... lo bastante grande para los dos.|será|sería|era
fr|Si le chien continue de gratter, le trou ... assez grand pour eux deux.|sera|serait|était
tr|Köpek kazımaya devam ederse, çukur ikisi için de yeterince büyük ...|olacak|olurdu|oldu
hu|Ha a kutya tovább kapar, a gödör elég nagy ... mindkettőjüknek.|lesz|lenne|volt
E 41628 | B2 type 67 All Future Tenses | style slang | options 3 | SEL
en|Bro, by sunset he ... this pit so deep he's gonna need a ladder, fr.|will have dug|will dig|digs
de|Bro, er wird diese Grube bis Sonnenuntergang so tief ..., dass er eine Leiter braucht, echt.|gegraben haben|graben|gräbt
ua|Бро, до заходу сонця він ... цю яму так глибоко, що йому знадобиться драбина, чесно.|викопає|копатиме|копає
es|Bro, para el atardecer él ... este hoyo tan hondo que va a necesitar una escalera, en serio.|habrá cavado|cavará|cava
fr|Frère, d'ici le coucher du soleil, il ... ce trou si profond qu'il va lui falloir une échelle, sérieux.|aura creusé|creusera|creuse
tr|Kanka, o gün batımına kadar bu çukuru o kadar derin ... ki merdivene ihtiyacı olacak, cidden.|kazmış olacak|kazacak|kazıyor
hu|Tesó, ő naplementére olyan mélyre ... ezt a gödröt, hogy létra kell majd neki, komolyan.|kiássa|ásni fogja|ássa
MEDIA 4643 | meaning: a show made for stage, screen or radio
E 41868 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At noon tomorrow, the crew ... the final scene of the production by the window.|will be filming|will film|film
de|Morgen um zwölf ... die Crew die letzte Szene der Produktion am Fenster.|dreht gerade|wird drehen|dreht
ua|Завтра опівдні знімальна група ... останню сцену постановки біля вікна.|зніматиме|зніме|знімає
es|Mañana al mediodía, el equipo ... la última escena de la producción junto a la ventana.|estará grabando|grabará|graba
fr|Demain à midi, l'équipe ... la dernière scène de la production près de la fenêtre.|sera en train de tourner|tournera|tourne
tr|Yarın öğlen ekip, yapımın son sahnesini pencerenin yanında ...|çekiyor olacak|çekecek|çeker
hu|Holnap délben a stáb épp ... a produkció utolsó jelenetét az ablaknál.|forgatni fogja|leforgatja|forgatja
E 41878 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The crew clapped because they ... the hardest scene of the production.|had just finished|were just finishing|have just finished
de|Die Crew klatschte, weil sie gerade die schwierigste Szene der Produktion ...|beendet hatte|beendete|beendet hat
ua|Знімальна група аплодувала, бо щойно ... найскладнішу сцену постановки.|завершила|завершувала|завершила
es|El equipo aplaudió porque ... la escena más difícil de la producción.|acababa de terminar|estaba terminando|acaba de terminar
fr|L'équipe a applaudi parce qu'elle ... la scène la plus difficile de la production.|venait de terminer|était en train de terminer|vient de terminer
tr|Ekip alkışladı çünkü yapımın en zor sahnesini daha yeni ...|bitirmişti|bitiriyordu|bitirdi
hu|A stáb tapsolt, mert épp ... a produkció legnehezebb jelenetét.|befejezte|fejezte be|befejezte
MEDIA 4645 | meaning: to fasten something so it is attached
E 36886 | B1 type 41 Passive | style clueless | options 3 | SEL
en|The blue balls ... to the rod, so they stay on the rod.|are attached|attach|attaching
de|Die blauen Kugeln ... an der Stange, deshalb bleiben sie an der Stange.|sind befestigt|befestigen|befestigend
ua|Сині кульки ... до стрижня, тому вони залишаються на стрижні.|прикріплені|прикріплюють|прикріплювання
es|Las bolas azules ... a la varilla, así que se quedan en la varilla.|están sujetas|sujetan|sujetando
fr|Les boules bleues ... à la tige, donc elles restent sur la tige.|sont fixées|fixent|fixant
tr|Mavi toplar çubuğa ..., bu yüzden çubukta kalıyorlar.|takılı|takıyor|takma
hu|A kék golyók a rúdhoz ..., így a rúdon maradnak.|vannak erősítve|erősítenek|erősítés
E 36893 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now, the hands ... a red ball to a green cup piece.|are attaching|attach|have attached
de|Gerade jetzt ... die Hände eine rote Kugel an einem grünen Becherteil.|befestigen|befestigen|haben befestigt
ua|Прямо зараз руки ... червону кульку до зеленої чашечки.|прикріплюють|прикріплюють|прикріпили
es|Ahora mismo, las manos ... una bola roja a una pieza verde en forma de vaso.|están sujetando|sujetan|han sujetado
fr|En ce moment, les mains ... une boule rouge à une pièce verte en forme de gobelet.|fixent|fixent|ont fixé
tr|Şu anda eller kırmızı bir topu yeşil bir fincan parçasına ...|takıyor|takar|taktı
hu|Épp most a kezek egy piros golyót ... egy zöld pohárdarabhoz.|erősítenek|erősítenek|erősítettek
MEDIA 4646 | meaning: the legal ending of a marriage
E 38691 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|Long before the divorce, they had a jeweller ... their wedding date inside the rings.|engrave|to engrave|engraved
de|Lange vor der Scheidung ließen sie einen Juwelier ihr Hochzeitsdatum in die Ringe ...|gravieren|gravieren|graviert
ua|Задовго до розлучення вони попросили ювеліра ... дату їхнього весілля всередині каблучок.|вигравіювати|вигравіювати|вигравіюваний
es|Mucho antes del divorcio, ellos hicieron que un joyero ... la fecha de su boda dentro de los anillos.|grabara|grabar|grabado
fr|Bien avant le divorce, ils ont fait ... leur date de mariage à l'intérieur des alliances par un bijoutier.|graver|graver|gravé
tr|Boşanmadan çok önce onlar bir kuyumcuya düğün tarihlerini yüzüklerin içine ...|kazıttılar|kazıttılar|kazınmış
hu|Jóval a válás előtt ők egy ékszerésszel ... a gyűrűk belsejébe az esküvőjük dátumát.|gravíroztatták|gravíroztatták|gravírozott
MEDIA 4648 | meaning: to consider something in detail to understand it
E 38989 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|The boy wishes the doctor ... him before lunch; now he is hungry.|had examined|examined|would examine
de|Der Junge wünscht sich, dass die Ärztin ihn vor dem Mittagessen ...; jetzt hat er Hunger.|untersucht hätte|untersuchte|untersuchen würde
ua|Хлопчик шкодує, що лікарка не ... його до обіду; тепер він голодний.|оглянула|оглянула|оглянула б
es|El niño desearía que la doctora lo ... antes de comer; ahora tiene hambre.|hubiera examinado|examinara|examinaría
fr|Le garçon aimerait que la médecin l'... avant le déjeuner ; maintenant il a faim.|ait examiné|examine|examinerait
tr|Çocuk, doktorun onu öğle yemeğinden önce ... diliyor; şimdi acıktı.|muayene etmiş olmasını|muayene etmesini|muayene edeceğini
hu|A fiú azt szeretné, ha az orvosnő ebéd előtt ... őt; most éhes.|megvizsgálta volna|megvizsgálta|megvizsgálná
MEDIA 4650 | meaning: a process in which substances change into others
E 42126 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The teacher had promised that the reaction ... safe for everyone.|would be|will be|is
de|Der Lehrer hatte versprochen, dass die Reaktion für alle sicher ...|sein würde|sein wird|ist
ua|Учитель пообіцяв, що реакція ... безпечною для всіх.|буде|буде|є
es|El profesor había prometido que la reacción ... segura para todos.|sería|será|es
fr|Le prof avait promis que la réaction ... sans danger pour tout le monde.|serait|sera|est
tr|Öğretmen tepkimenin herkes için güvenli ... söz vermişti.|olacağına|olacağına|olduğuna
hu|A tanár megígérte, hogy a reakció mindenkire nézve biztonságos ...|lesz|lesz|
E 42129 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|This is ... reaction the class has ever seen.|the biggest|a biggest|biggest
de|Das ist ... Reaktion, die die Klasse je gesehen hat.|die größte|eine größte|größte
ua|Це ... реакція, яку клас коли-небудь бачив.|найбільша|найбільша|найбільша
es|Esta es ... reacción que la clase ha visto jamás.|la mayor|una mayor|mayor
fr|C'est ... réaction que la classe ait jamais vue.|la plus grande|une plus grande|plus grande
tr|Bu, sınıfın şimdiye kadar gördüğü ... tepkime.|en büyük|en büyük|en büyük
hu|Ez ... reakció, amit az osztály valaha látott.|a legnagyobb|egy legnagyobb|legnagyobb
MEDIA 4652 | meaning: to take part in a contest against others
E 37943 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If two people ... at arm wrestling, both elbows stay on the pads.|compete|will compete|competed
de|Wenn zwei Leute im Armdrücken ..., bleiben beide Ellbogen auf den Polstern.|gegeneinander antreten|antreten werden|antraten
ua|Коли двоє людей ... в армреслінгу, обидва лікті залишаються на подушках.|змагаються|змагатимуться|змагалися
es|Si dos personas ... en un pulso, los dos codos se quedan sobre las almohadillas.|compiten|competirán|competían
