MEDIA 5052 | meaning: having little physical weight, not heavy
E 33728 | A1 type 1 TO BE | style chill | options 3 | SEL
es|Él pasa ... tarjeta porque es un socio con tarjeta.|su|su|su
fr|Il présente ... carte parce qu'il est un membre avec une carte.|sa|sa|sa
tr|O ... kartını okutuyor çünkü kartlı bir üye.|onun|onun|onun
hu|Ő odaérinti a ..., mert kártyás tag.|kártyáját|kártyáját|kártyáját
E 33919 | A2 type 18 Going to or Will | style ironic | options 2 | SEL
en|A real professional: the tick is green, so the member ... through.|is going to walk|will walk|
de|Ein echter Profi: Der Haken ist grün, also ... das Mitglied durchgehen.|wird|wird|
ua|Справжній професіонал: галочка зелена, тож учасник ... всередину.|збирається пройти|пройде|
es|Todo un profesional: el tic está en verde, así que el socio ...|va a pasar|pasará|
fr|Un vrai pro : la coche est verte, donc le membre ...|va passer|passera|
tr|Tam bir profesyonel: tik yeşil, bu yüzden üye içeri ...|geçecek|geçecek|
hu|Igazi profi: a pipa zöld, szóval a tag ...|át fog menni|át fog menni|
MEDIA 5080 | meaning: the color between green and orange
E 36492 | A1 type 1 TO BE | style chill | options 3 | SEL
en|Her new summer dress ... bright yellow.|is|are|am
de|Ihr neues Sommerkleid ... knallgelb.|ist|sind|bin
ua|Її нова літня сукня ... яскраво-жовта.|є|є|є
es|Su nuevo vestido de verano ... amarillo chillón.|es|son|soy
fr|Sa nouvelle robe d'été ... jaune vif.|est|sont|suis
tr|Onun yeni yazlık elbisesi parlak sarı ...|||
hu|Az új nyári ruhája ... élénksárga.|||vagyok
E 36499 | A2 type 25 Adverb formation | style ironic | options 3 | SEL
en|A very calm moment, obviously: she spins ... in her yellow dress.|wildly|wild|wilder
de|Ein sehr ruhiger Moment, klar: Sie dreht sich ... in ihrem gelben Kleid.|wild|wild|wilder
ua|Дуже спокійний момент, очевидно: вона ... крутиться у своїй жовтій сукні.|шалено|шалений|шаленіший
es|Un momento muy tranquilo, obviamente: ella gira ... con su vestido amarillo.|locamente|loco|más loco
fr|Un moment très calme, évidemment : elle tourne ... dans sa robe jaune.|follement|fou|plus fou
tr|Çok sakin bir an tabii: o sarı elbisesiyle ... dönüyor.|çılgınca|çılgın|daha çılgın
hu|Nagyon nyugodt pillanat, persze: ő ... pörög a sárga ruhájában.|vadul|vad|vadabb
MEDIA 5081 | meaning: the color between red and blue
E 34571 | A1 type 1 TO BE | style chill | options 3 | SEL
en|Her new dress in the dining room ... purple.|is|are|be
de|Ihr neues Kleid im Esszimmer ... lila.|ist|sind|sein
ua|Її нова сукня в їдальні ... фіолетова.|є|є|бути
es|Su vestido nuevo en el comedor ... morado.|es|son|ser
fr|Sa nouvelle robe dans la salle à manger ... violette.|est|sont|être
tr|Yemek odasındaki yeni elbisesi mor ...|||olmak
hu|Az új ruhája az ebédlőben ... lila.|||lenni
E 34575 | A2 type 23 Must, Have to... | style dramatic | options 3 | SEL
en|Dress code: purple! She ... wear this dress or it's a disaster!|has to|must|should
de|Dresscode: Lila! Sie ... dieses Kleid tragen, sonst ist es eine Katastrophe!|muss|muss|sollte
ua|Дрес-код: фіолетовий! Вона ... вдягнути цю сукню, інакше катастрофа!|має|мусить|мала б
es|¡Código de vestimenta: morado! ¡Ella ... llevar este vestido o es un desastre!|tiene que|debe|debería
fr|Dress code : violet ! Elle ... porter cette robe, sinon c'est la catastrophe !|doit|doit|devrait
tr|Kıyafet kuralı: mor! O bu elbiseyi ..., yoksa felaket!|giymek zorunda|giymeli|giymeli
hu|Dresszkód: lila! Neki ... ezt a ruhát viselnie, különben katasztrófa!|kell|kell|kellene
MEDIA 5082 | meaning: the way someone's hair is cut and arranged
E 33156 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|... hairstyle with two buns is new.|This|These|Those
de|... Frisur mit zwei Dutts ist neu.|Diese|Diese|Jene
ua|... зачіска з двома гульками нова.|Ця|Ці|Ті
es|... peinado con dos moños es nuevo.|Este|Estos|Esos
fr|... coiffure à deux chignons est nouvelle.|Cette|Ces|Ces
tr|... iki topuzlu saç modeli yeni.|Bu|Bu|Şu
hu|... a két kontyos frizura új.|Ez|Ezek|Azok
E 33159 | A2 type 20 Much, Many, Some... | style chill | options 3 | SEL
en|She needs ... time for her new hairstyle.|some|many|a few
de|Sie braucht ... Zeit für ihre neue Frisur.|etwas|viele|ein paar
ua|Вона потребує ... часу для своєї нової зачіски.|трохи|багато|кілька
es|Ella necesita ... tiempo para su nuevo peinado.|algo de|muchos|unos pocos
fr|Il lui faut ... temps pour sa nouvelle coiffure.|du|beaucoup de|quelques
tr|O, yeni saç modeli için ... zamana ihtiyaç duyuyor.|biraz|çok|birkaç
hu|Neki ... időre van szüksége az új frizurájához.|némi|sok|pár
MEDIA 5084 | meaning: the color between blue and yellow
E 33053 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... colour is the model's gown? It is green.|What|Who|Where
de|... Farbe hat das Kleid des Models? Es ist grün.|Welche|Wer|Wo
ua|... кольору сукня моделі? Вона зелена.|Якого|Хто|Де
es|¿De ... color es el vestido de la modelo? Es verde.|qué|quién|dónde
fr|De ... couleur est la robe du mannequin ? Elle est verte.|quelle|qui|où
tr|Modelin elbisesi ... renkte? O yeşil.|ne|kim|nerede
hu|... színű a modell estélyije? Zöld.|Milyen|Ki|Hol
E 33057 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|Models usually wear black here, but today she ... a green gown.|is wearing|wears|
de|Models tragen hier sonst Schwarz, aber heute ... sie ein grünes Kleid.|trägt|trägt|
ua|Моделі тут зазвичай носять чорне, але сьогодні вона ... зелену сукню.|носить|носить|
es|Aquí las modelos suelen llevar negro, pero hoy ella ... un vestido verde.|está llevando|lleva|
fr|Ici, les mannequins portent d'habitude du noir, mais aujourd'hui elle ... une robe verte.|porte|porte|
tr|Mankenler burada genelde siyah giyer ama bugün o yeşil bir elbise ...|giyiyor|giyer|
hu|A modellek itt általában feketét hordanak, de ma ő egy zöld estélyit ...|visel|visel|
MEDIA 5085 | meaning: a sculpture of a person or animal
E 35483 | A1 type 2 HAVE GOT | style dramatic | options 3 | SEL
en|Nightmare! This bronze statue ... a huge beard!|has got|have got|has get
de|Albtraum! Diese Bronzestatue ... einen riesigen Bart!|hat|haben|hat
ua|Жах! Ця бронзова статуя ... величезну бороду!|має|мати|має
es|¡Pesadilla! ¡Esta estatua de bronce ... una barba enorme!|tiene|tienen|tiene
fr|Cauchemar ! Cette statue en bronze ... une barbe énorme !|a|ont|a
tr|Kâbus! Bu bronz heykelin kocaman bir sakalı ...!|var|var|var
hu|Rémálom! Ennek a bronzszobornak hatalmas szakálla ...!|van|van|van
E 35488 | A2 type 23 Must, Have to... | style ironic | options 3 | SEL
en|Park rule, clearly a fun one: visitors ... stay off the statue.|have to|must|should
de|Parkregel, offensichtlich eine lustige: Besucher ... sich von der Statue fernhalten.|müssen|müssen|sollten
ua|Правило парку, явно дуже веселе: відвідувачі ... триматися подалі від статуї.|мають|мусять|мали б
es|Norma del parque, claramente muy divertida: los visitantes ... mantenerse lejos de la estatua.|tienen que|deben|deberían
fr|Règle du parc, clairement très fun : les visiteurs ... rester loin de la statue.|doivent|doivent|devraient
tr|Park kuralı, belli ki çok eğlenceli: ziyaretçiler heykelden uzak ...|durmak zorunda|durmalı|durmalı
hu|Parkszabály, nyilván nagyon vicces: a látogatóknak ... távol maradniuk a szobortól.|kell|kell|kellene
MEDIA 5089 | meaning: a woman who has given birth to a child
E 33969 | A1 type 11 Cardinal numbers | style dramatic | options 3 | SEL
en|The mother has got ... hungry children and one pancake! Disaster!|three|third|threes
de|Die Mutter hat ... hungrige Kinder und einen Pfannkuchen! Katastrophe!|drei|dritte|Dreien
ua|Мама має ... голодних дітей і один млинець! Катастрофа!|трьох|третіх|трійки
es|¡La madre tiene ... hijos hambrientos y una tortita! ¡Desastre!|tres|terceros|tres
fr|La mère a ... enfants affamés et une crêpe ! Catastrophe !|trois|troisièmes|trois
tr|Annenin ... aç çocuğu ve bir pankeki var! Felaket!|üç|üçüncü|üçler
hu|Az anyának ... éhes gyereke és egy palacsintája van! Katasztrófa!|három|harmadik|hármasok
E 33971 | A2 type 17 Future BE GOING TO | style gossip | options 3 | SEL
en|Ok so the mother ... pancakes for the whole class tomorrow, she said.|is going to make|make|going to make
de|Okay, pass auf: Die Mutter ... morgen Pfannkuchen für die ganze Klasse machen, hat sie gesagt.|wird|machen|wird
ua|Коротше, мама завтра ... млинці для всього класу, так вона сказала.|збирається напекти|пекти|збирається напекти
es|Vale, pues la madre ... tortitas para toda la clase mañana, eso dijo.|va a hacer|hacer|va a hacer
fr|Bon, alors la mère ... des crêpes pour toute la classe demain, elle l'a dit.|va faire|faire|va faire
tr|Tamam, anne yarın bütün sınıf için pankek ..., öyle dedi.|yapacak|yapmak|yapacak
hu|Oké, szóval az anya holnap palacsintát ... az egész osztálynak, ő mondta.|fog sütni|sütni|fog sütni
MEDIA 5091 | meaning: a two-wheeled motor vehicle you ride
E 33981 | A1 type 6 A, AN, THE | style dramatic | options 3 | SEL
en|He sells the green one and buys ... huge black motorbike! The end!|a|an|the
de|Er verkauft das grüne und kauft ... riesiges schwarzes Motorrad! Ende!|ein|ein|das
ua|Він продає зелений і купує ... величезний чорний мотоцикл! Кінець!|||
es|¡Él vende la verde y compra ... moto negra enorme! ¡Fin!|una|una|la
fr|Il vend la verte et achète ... énorme moto noire ! Fin !|une|une|l'
tr|O yeşil olanı satıyor ve ... kocaman siyah motosiklet alıyor! Son!|bir|bir|
hu|Ő eladja a zöldet, és vesz ... hatalmas fekete motort! Vége!|egy|egy|a
E 33984 | A2 type 26 Basic conjunctions | style ironic | options 3 | SEL
en|His green motorbike worked fine, ... obviously he needed a bigger one.|but|so|because
de|Sein grünes Motorrad lief gut, ... natürlich brauchte er ein größeres.|aber|also|weil
ua|Його зелений мотоцикл чудово працював, ... звісно ж, йому був потрібен більший.|але|тому|бо
es|Su moto verde funcionaba bien, ... obviamente él necesitaba una más grande.|pero|así que|porque
fr|Sa moto verte marchait bien, ... évidemment il lui en fallait une plus grande.|mais|donc|parce que
tr|Yeşil motosikleti gayet iyi çalışıyordu, ... tabii ki daha büyüğüne ihtiyacı vardı.|ama|bu yüzden|çünkü
hu|A zöld motorja jól működött, ... nyilván egy nagyobb kellett neki.|de|ezért|mert
MEDIA 5092 | meaning: a person who helps someone
E 33285 | A1 type 7 This, That, These... | style business | options 3 | SEL
en|... helpers cost zero euros. Great for the budget.|These|This|That
de|... Helfer kosten null Euro. Super fürs Budget.|Diese|Dieser|Jener
ua|... помічники коштують нуль євро. Супер для бюджету.|Ці|Цей|Той
es|... ayudantes cuestan cero euros. Genial para el presupuesto.|Estos|Este|Ese
fr|... aides coûtent zéro euro. Top pour le budget.|Ces|Cet|Cet
tr|... yardımcılar sıfır euroya mal oluyor. Bütçe için harika.|Bu|Bu|Şu
hu|... a segítők nulla euróba kerülnek. Szuper a költségvetésnek.|Ezek|Ez|Az
E 33291 | A2 type 13 Present or Past Simple | style slang | options 2 | SEL
en|Bro, she usually moves alone, but yesterday two helpers ... her, fr.|helped|help|
de|Digga, sie zieht sonst allein um, aber gestern ... ihr zwei Helfer, echt jetzt.|halfen|helfen|
ua|Бро, вона зазвичай переїжджає сама, але вчора їй ... двоє помічників, реально.|допомогли|допомагають|
es|Bro, ella normalmente se muda sola, pero ayer dos ayudantes la ..., en serio.|ayudaron|ayudan|
fr|Frère, d'habitude elle déménage seule, mais hier deux aides ..., sérieux.|l'ont aidée|l'aident|
tr|Kanka, o genelde yalnız taşınır ama dün ona iki yardımcı ..., cidden.|yardım etti|yardım eder|
hu|Tesó, ő általában egyedül költözik, de tegnap két segítő ... neki, komolyan.|segített|segít|
MEDIA 5096 | meaning: the solid surface of the earth you stand on
E 33079 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|A big mushroom ... out of the ground.|grows|grow|growing
de|Ein großer Pilz ... aus dem Boden.|wächst|wachsen|wachsend
ua|Великий гриб ... із землі.|росте|рости|ростучи
es|Una seta grande ... del suelo.|crece|crecer|creciendo
fr|Un gros champignon ... du sol.|pousse|pousser|poussant
tr|Büyük bir mantar topraktan ...|biter|bitmek|biterek
hu|Egy nagy gomba ... ki a földből.|nő|nőni|növő
MEDIA 5097 | meaning: an art form of instrumental or vocal tones
E 34038 | A2 type 23 Must, Have to... | style chill | options 3 | SEL
en|The street has a rule: the music ... stop at nine.|has to|must|should
de|Die Straße hat eine Regel: Die Musik ... um neun aufhören.|muss|muss|sollte
ua|Вулиця має правило: музика ... стихнути о дев'ятій.|має|мусить|мала б
es|La calle tiene una norma: la música ... parar a las nueve.|tiene que|debe|debería
fr|La rue a une règle : la musique ... s'arrêter à neuf heures.|doit|doit|devrait
tr|Sokağın bir kuralı var: müzik dokuzda ...|durmak zorunda|durmalı|durmalı
hu|Az utcának van egy szabálya: a zenének kilenckor ... abbamaradnia.|kell|kell|kellene
MEDIA 5098 | meaning: belonging to one nation or country
E 34049 | A1 type 1 TO BE | style dramatic | options 3 | SEL
en|These ... the national colours! I am literally crying!|are|is|be
de|Das ... die Nationalfarben! Ich weine buchstäblich!|sind|ist|sein
ua|Це ... національні кольори! Я буквально плачу!|є|є|бути
es|¡Estos ... los colores nacionales! ¡Estoy llorando literalmente!|son|es|ser
fr|Ce ... les couleurs nationales ! Je pleure littéralement !|sont|est|être
tr|Bunlar ulusal renkler ...! Resmen ağlıyorum!|||olmak
hu|Ezek ... a nemzeti színek! Szó szerint sírok!|||lenni
E 34053 | A2 type 22 Adjective comparison | style flirt | options 3 | SEL
en|Honestly, you are ... than the whole national team today.|louder|more loud|loudest
de|Ehrlich, du bist heute ... als die ganze Nationalmannschaft.|lauter|lauter|am lautesten
ua|Чесно, ти сьогодні ... за всю національну збірну.|гучніший|більш гучний|найгучніший
es|Sinceramente, tú hoy eres ... que toda la selección nacional.|más ruidoso|más ruidoso|el más ruidoso
fr|Franchement, tu es ... que toute l'équipe nationale aujourd'hui.|plus bruyant|plus bruyant|le plus bruyant
tr|Açıkçası sen bugün bütün milli takımdan ...|daha gürültülüsün|daha gürültülüsün|en gürültülüsün
hu|Őszintén, te ma ... vagy, mint az egész válogatott.|hangosabb|hangosabb|leghangosabb
MEDIA 5099 | meaning: a print of a person or scene
E 34355 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|The map is full of small ... and flags.|photos|photo|photoes
de|Die Karte ist voller kleiner ... und Fahnen.|Fotos|Foto|Fotos
ua|Мапа повна маленьких ... і прапорців.|фотографій|фотографія|фотографій
es|El mapa está lleno de pequeñas ... y banderas.|fotos|foto|fotos
fr|La carte est pleine de petites ... et de drapeaux.|photos|photo|photos
tr|Harita küçük ... ve bayraklarla dolu.|fotoğraflar|fotoğraf|fotoğraflar
hu|A térkép tele van kis ... és zászlókkal.|fotókkal|fotóval|fotókkal
E 34361 | A2 type 13 Present or Past Simple | style gossip | options 2 | SEL
en|Listen, he told me he hates photos, but yesterday he ... ten selfies.|took|takes|
de|Hör zu, er hat mir gesagt, er hasst Fotos, aber gestern ... er zehn Selfies.|machte|macht|
ua|Слухай, він сказав мені, що ненавидить фото, але вчора ... десять селфі.|зробив|робить|
es|Oye, él me dijo que odia las fotos, pero ayer se ... diez selfies.|hizo|hace|
fr|Écoute, il m'a dit qu'il déteste les photos, mais hier il ... dix selfies.|a pris|prend|
tr|Dinle, o bana fotoğraflardan nefret ettiğini söyledi ama dün on selfie ...|çekti|çeker|
hu|Figyelj, ő azt mondta nekem, hogy utálja a fotókat, de tegnap ... tíz szelfit.|csinált|csinál|
MEDIA 5103 | meaning: the part that connects the head to the body
E 34058 | A2 type 14 Present Continuous | style business | options 3 | SEL
en|She ... her neck, 10 minutes before the deadline.|is rubbing|rubs|is rub
de|Sie ... sich den Nacken, 10 Minuten vor der Deadline.|reibt|reibt|reibt
ua|Вона ... шию, за 10 хвилин до дедлайну.|розтирає|розтирає|розтирає
es|Ella se ... el cuello, 10 minutos antes de la fecha límite.|está frotando|frota|está frotando
fr|Elle ... la nuque, 10 minutes avant la deadline.|est en train de se frotter|se frotte|est en train de se frotter
tr|O deadline'dan 10 dakika önce boynunu ...|ovuyor|ovar|ovuyor
hu|Ő ... a nyakát, 10 perccel a határidő előtt.|dörzsöli|dörzsöli|dörzsöli
MEDIA 5108 | meaning: a place where people live, smaller than a town
E 36196 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|The children wave from ... house in the village.|their|his|its
de|Die Kinder winken aus ... Haus im Dorf.|ihrem|seinem|seinem
ua|Діти махають зі ... будинку в селі.|свого|свого|свого
es|Los niños saludan desde ... casa en el pueblo.|su|su|su
fr|Les enfants font signe depuis ... maison au village.|leur|sa|sa
tr|Çocuklar köydeki ... evinden el sallıyor.|onların|onun|onun
hu|A gyerekek a falubeli ... integetnek.|házukból|házából|házából
MEDIA 5109 | meaning: having the taste of sugar
E 35719 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|Your cupcakes ... so sweet, and that Welcome card is kind of cool.|are|is|am
de|Deine Cupcakes ... so süß, und diese Willkommenskarte ist irgendwie cool.|sind|ist|bin
ua|Твої капкейки ... такі солодкі, а та вітальна листівка якась крута.|є|є|є
es|Tus cupcakes ... tan dulces, y esa tarjeta de bienvenida es bastante guay.|son|es|soy
fr|Tes cupcakes ... tellement sucrés, et cette carte de bienvenue est plutôt cool.|sont|est|suis
tr|Cupcake'lerin çok tatlı ... ve o hoş geldin kartı da epey havalı.|||
hu|A cupcake-jeid ... olyan édesek, és az a Welcome-kártya elég menő.|||vagyok
E 35723 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|She usually eats sweet cupcakes alone, but now she ... on the door.|is knocking|knocks|
de|Sie isst süße Cupcakes sonst allein, aber jetzt ... sie an die Tür.|klopft|klopft|
ua|Вона зазвичай їсть солодкі капкейки сама, але зараз ... у двері.|стукає|стукає|
es|Normalmente ella come cupcakes dulces sola, pero ahora ... a la puerta.|está llamando|llama|
fr|D'habitude elle mange des cupcakes sucrés seule, mais maintenant elle ... à la porte.|est en train de frapper|frappe|
tr|O genelde tatlı cupcake'leri yalnız yer ama şimdi kapıyı ...|çalıyor|çalar|
hu|Ő általában egyedül eszi az édes cupcake-eket, de most ... az ajtón.|kopog|kopog|
MEDIA 5110 | meaning: with almost no activity going on
E 34607 | A2 type 22 Adjective comparison | style chill | options 3 | SEL
en|The empty park is ... than the busy street.|quieter|more quieter|quietest
de|Der leere Park ist ... als die belebte Straße.|ruhiger|ruhiger|am ruhigsten
ua|Порожній парк ... за жваву вулицю.|тихіший|тихіший|найтихіший
es|El parque vacío está ... que la calle concurrida.|más tranquilo|más tranquilo|el más tranquilo
fr|Le parc vide est ... que la rue animée.|plus calme|plus calme|le plus calme
tr|Boş park kalabalık caddeden ...|daha sessiz|daha sessiz|en sessiz
hu|Az üres park ... a forgalmas utcánál.|csendesebb|csendesebb|legcsendesebb
MEDIA 5115 | meaning: to look at something in detail
E 35609 | A1 type 3 Present Simple | style dramatic | options 3 | SEL
en|Every day she ... tiny insects! No insect is safe!|studies|study|studys
de|Jeden Tag ... sie winzige Insekten! Kein Insekt ist sicher!|untersucht|untersuchen|untersucht
ua|Щодня вона ... крихітних комах! Жодна комаха не в безпеці!|досліджує|досліджувати|досліджує
es|¡Cada día ella ... insectos diminutos! ¡Ningún insecto está a salvo!|estudia|estudiar|estudia
fr|Chaque jour, elle ... de minuscules insectes ! Aucun insecte n'est en sécurité !|étudie|étudier|étudie
tr|O her gün minicik böcekleri ...! Hiçbir böcek güvende değil!|inceler|incelemek|inceler
hu|Ő minden nap ... apró rovarokat! Egyetlen rovar sincs biztonságban!|tanulmányoz|tanulmányozni|tanulmányoz
E 35615 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|The insect is tiny, so she ... study it with a lens.|should|shoulds|should to
de|Das Insekt ist winzig, also ... sie es mit einer Lupe untersuchen.|sollte|sollte|sollte
