MEDIA 4233 | meaning: rock cut into blocks for building
E 35541 | A2 type 20 Much, Many, Some... | style dramatic | options 3 | SEL
hu|Neki nincs sok ... egy ilyen árú lakásra.|pénze|pénze|eurója
MEDIA 4316 | meaning: feeling regret over something you did
E 35377 | A1 type 3 Present Simple | style flirt | options 3 | SEL
en|You ... sorry with flowers. Respect.|say|says|saying
de|Du ... mit Blumen sorry. Respekt.|sagst|sagt|sagend
ua|Ти ... «вибач» із квітами. Респект.|кажеш|каже|кажучи
es|Tú ... perdón con flores. Respeto.|pides|pide|pidiendo
fr|Tu ... pardon avec des fleurs. Respect.|demandes|demande|demandant
tr|Sen çiçeklerle özür ... Helal olsun.|dilersin|diler|dileyerek
hu|Te virággal ... bocsánatot. Respekt.|kérsz|kér|kérő
E 35381 | A2 type 22 Adjective comparison | style chill | options 3 | SEL
en|He is sorry because this mess is ... than a small drop.|bigger|more big|biggest
de|Es tut ihm leid, weil diese Sauerei ... ist als ein kleiner Tropfen.|größer|größer|am größten
ua|Він шкодує, бо цей безлад ... за маленьку краплю.|більший|більш великий|найбільший
es|Él lo siente porque este desastre es ... que una gotita.|más grande|más grande|el más grande
fr|Il est désolé parce que ce bazar est ... qu'une petite goutte.|plus grand|plus grand|le plus grand
tr|O üzgün çünkü bu dağınıklık küçük bir damladan ...|daha büyük|daha büyük|en büyük
hu|Ő sajnálja, mert ez a kosz ... egy kis cseppnél.|nagyobb|nagyobb|legnagyobb
MEDIA 4320 | meaning: a scale drawing of a building
E 34426 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|He ... draw a plan of a house with a rule.|can|cans|can to
de|Er ... mit einem Lineal den Plan eines Hauses zeichnen.|kann|kann|kann
ua|Він ... накреслити план будинку за допомогою лінійки.|може|може|може
es|Él ... dibujar el plano de una casa con una regla.|puede|puede|puede
fr|Il ... dessiner le plan d'une maison avec une règle.|peut|peut|peut
tr|O cetvelle bir evin planını ...|çizebilir|çizebilir|çizebilir
hu|Ő ... megrajzolni egy ház tervrajzát vonalzóval.|tudja|tudja|tudja
MEDIA 4323 | meaning: a narrow way or road
E 33652 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|Two ... dance in the narrow lane.|people|peoples|person
de|Zwei ... tanzen in der engen Gasse.|Personen|Personen|Person
ua|Двоє ... танцюють у вузькому провулку.|людей|людей|людина
es|Dos ... bailan en el callejón estrecho.|personas|personas|persona
fr|Deux ... dansent dans la ruelle étroite.|personnes|personnes|personne
tr|Dar sokakta iki ... dans ediyor.|insanlar|insanlar|insan
hu|Két ... táncol a szűk sikátorban.|ember|ember|ember
MEDIA 4326 | meaning: the hard substance under the bark of trees
E 36445 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|The wood ... in the fire pit.|burns|burn|burning
