MEDIA 4535 | meaning: a unit of instruction
E 33713 | A1 type 10 Prepositions of place/time | style clueless | options 3 | SEL
fr|Sans mentir, la verseuse est enfin pleine. Tu ... cette tasse.|adoreras|adores|as adoré
tr|Yalan yok, sürahi sonunda doldu. Sen bu fincana ...|bayılacaksın|bayılırsın|bayıldın
hu|Nem hazudok, a kancsó végre tele van. Te ... ezt a csészét.|imádni fogod|imádod|imádtad
MEDIA 4553 | meaning: the threadlike growth covering the head
E 33137 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|After her own hair, she brushes ... dog's hair over there.|that|those|these
de|Nach ihren eigenen Haaren bürstet sie das Fell ... Hundes dort drüben.|jenes|jener|dieser
ua|Після власного волосся вона розчісує шерсть ... пса там.|того|тих|цих
es|Después de su propio pelo, ella cepilla el pelo de ... perro de allí.|ese|esos|estos
fr|Après ses propres cheveux, elle brosse les poils de ... chien là-bas.|ce|ces|ces
tr|Kendi saçından sonra o, oradaki ... köpeğin tüylerini tarıyor.|şu|şu|bu
hu|A saját haja után ő ... a kutya szőrét keféli ott.|annak|azoknak|ezeknek
E 33141 | A2 type 19 Countable and uncountable | style gossip | options 3 | SEL
en|Ok so, I heard there was so much dog ... on her rug!|hair|hairs|a hair
de|Okay, also ich hab gehört, auf ihrem Teppich war so viel ... vom Hund!|Haar|Haar|ein Haar
ua|Коротше, я чула, що на її килимі було стільки собачої ...!|шерсті|шерсті|шерсті
es|¡Vale, yo he oído que había tanto ... de perro en su alfombra!|pelo|pelo|un pelo
fr|Bon, j'ai entendu dire qu'il y avait tellement de ... de chien sur son tapis !|poils|poils|un poil
tr|Tamam, ben duydum ki onun halısında o kadar çok köpek ... varmış!|tüyü|tüyleri|bir tüy
hu|Szóval, én azt hallottam, hogy annyi ... volt a szőnyegén a kutyától!|szőr|szőr|egy szőr
MEDIA 4565 | meaning: an object shaped like a ball
E 32994 | A2 type 18 Going to or Will | style chill | options 2 | SEL
en|The earth is a huge globe. I think the child ... it forever.|will remember|is going to remember|
de|Die Erde ist eine riesige Kugel. Ich glaube, dass das Kind sich für immer daran ...|erinnern wird|erinnern wird|
ua|Земля — величезна куля. Я думаю, дитина ... її назавжди.|запам'ятає|збирається запам'ятати|
es|La Tierra es un globo enorme. Yo creo que el niño lo ... para siempre.|recordará|va a recordar|
fr|La Terre est un immense globe. Je pense que l'enfant ... pour toujours.|s'en souviendra|va s'en souvenir|
tr|Dünya kocaman bir küre. Ben düşünüyorum ki çocuk onu sonsuza dek ...|hatırlayacak|hatırlayacak|
hu|A Föld egy hatalmas gömb. Én azt hiszem, a gyerek örökre ... rá.|emlékezni fog|emlékezni fog|
MEDIA 4567 | meaning: affected by a physical or mental problem
E 33449 | A2 type 22 Adjective comparison | style chill | options 3 | SEL
en|She is ill, and her cough is ... than yesterday.|worse|badder|worst
de|Sie ist krank, und ihr Husten ist ... als gestern.|schlimmer|schlimmer|am schlimmsten
ua|Вона хвора, і її кашель ... ніж учора.|гірший|гірший|найгірший
es|Ella está enferma y su tos está ... que ayer.|peor|peor|la peor
fr|Elle est malade, et sa toux est ... qu'hier.|pire|pire|la pire
tr|O hasta ve öksürüğü dünden ...|daha kötü|daha kötü|en kötü
hu|Ő beteg, és a köhögése ..., mint tegnap.|rosszabb|rosszabb|legrosszabb
MEDIA 4569 | meaning: to cook food in hot oil in a pan
E 32881 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|... you fry fish in a camper van? Yes, you can.|Can|Do|Are
de|... du in einem Campervan Fisch braten? Ja, kannst du.|Kannst||Bist
ua|Чи ... ти смажити рибу в кемпері? Так, можеш.|можеш||є
es|¿... tú freír pescado en una autocaravana? Sí, puedes.|Puedes||Estás
fr|Est-ce que tu ... faire frire du poisson dans un van aménagé ? Oui, tu peux.|peux||es
tr|Sen karavanda balık ... misin? Evet, kızartabilirsin.|kızartabilir||
hu|Te ... halat sütni egy lakóautóban? Igen, tudsz.|tudsz||vagy
E 32887 | A2 type 26 Basic conjunctions | style chill | options 3 | SEL
en|He wants a hot dinner, ... he fries fish by the sea.|so|but|because
de|Er will ein warmes Abendessen, ... brät er am Meer Fisch.|also|aber|weil
ua|Він хоче гарячу вечерю, ... смажить рибу біля моря.|тому|але|бо
es|Él quiere una cena caliente, ... fríe pescado junto al mar.|así que|pero|porque
fr|Il veut un dîner chaud, ... il fait frire du poisson au bord de la mer.|donc|mais|parce que
tr|O sıcak bir akşam yemeği istiyor, ... deniz kenarında balık kızartıyor.|bu yüzden|ama|çünkü
hu|Ő meleg vacsorát szeretne, ... halat süt a tengerparton.|ezért|de|mert
MEDIA 4571 | meaning: to move something with force
E 34582 | A1 type 9 Wh- questions | style slang | options 3 | SEL
en|Bro, ... pushes the boat? The whole village, gotta help.|Who|What|Where
de|Digga, ... schiebt das Boot? Das ganze Dorf, muss ja helfen.|wer|was|wo
ua|Бро, ... штовхає човен? Усе село, треба ж допомогти.|хто|що|де
es|Tío, ¿... empuja el barco? Todo el pueblo, hay que ayudar.|quién|qué|dónde
fr|Frérot, ... pousse le bateau ? Tout le village, faut bien aider.|qui|que|où
tr|Kanka, tekneyi ... itiyor? Bütün köy, yardım etmek lazım.|kim|ne|nerede
hu|Tesó, ... tolja a hajót? Az egész falu, segíteni kell.|ki|mi|hol
  ~soft: SEL: pronoun inside an option
E 34586 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|The old man says they ... push on the count of three.|should|shoulds|should to
de|Der alte Mann sagt, sie ... auf drei schieben.|sollten|sollten|sollten
ua|Старий каже, що вони ... штовхати на рахунок три.|мали б|мали б|мали б
es|El anciano dice que ... empujar a la de tres.|deberían|deberían|deberían
fr|Le vieil homme dit qu'ils ... pousser à trois.|devraient|devraient|devraient
tr|Yaşlı adam diyor ki üç deyince ...|itmeliler|itmeliler|itmeliler
hu|Az öreg azt mondja, hogy háromra ... tolniuk.|kellene|kellene|kellene
MEDIA 4588 | meaning: the vehicles and people moving along a place
E 36033 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The cars in the traffic wait ... night in the rain.|at|in|on
de|Die Autos im Verkehr warten ... der Nacht im Regen.|in|in|an
ua|Машини в потоці чекають ... нічний час під дощем.|у|у|на
es|Los coches del tráfico esperan ... noche bajo la lluvia.|de|en|sobre
fr|Les voitures dans la circulation attendent ... la nuit sous la pluie.||dans|sur
tr|Trafikteki arabalar gece ... yağmurda bekliyor.|||
hu|A forgalomban az autók ... várnak az esőben.|éjjel|éjszakában|éjszakán
MEDIA 4590 | meaning: leisure time away from work for rest or fun
E 36163 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|The ship on her vacation has ... funnels.|two|second|twice
de|Das Schiff in ihrem Urlaub hat ... Schornsteine.|zwei|zweite|zweimal
ua|Корабель у її відпустці має ... труби.|дві|другі|двічі
es|El barco de sus vacaciones tiene ... chimeneas.|dos|segundas|dos veces
fr|Le bateau de ses vacances a ... cheminées.|deux|deuxièmes|deux fois
tr|Tatilindeki geminin ... bacası var.|iki|ikinci|iki kez
hu|A nyaralásán lévő hajónak ... kéménye van.|két|második|kétszer
MEDIA 4591 | meaning: a large vessel that carries passengers or goods
E 35071 | A1 type 8 My, Your, His,... | style dramatic | options 3 | SEL
en|Absolutely! This ship is ... new home forever!|her|his|its
de|Absolut! Dieses Schiff ist für immer ... neues Zuhause!|ihr|sein|sein
ua|Абсолютно! Цей корабель — ... новий дім назавжди!|її|його|його
es|¡Totalmente! ¡Este barco es ... nuevo hogar para siempre!|su|su|su
fr|Absolument ! Ce bateau est ... nouvelle maison pour toujours !|sa|sa|sa
tr|Kesinlikle! Bu gemi sonsuza dek ... yeni evi!|onun|onun|onun
hu|Abszolút! Ez a hajó örökre az új ...!|otthona|otthona|otthona
E 35072 | A2 type 19 Countable and uncountable | style dramatic | options 3 | SEL
en|Nightmare! The ship's buffet had so much ...!|food|foods|meals
de|Albtraum! Das Buffet auf dem Schiff hatte so viel ...!|Essen|Essen|Mahlzeiten
ua|Жах! На шведському столі на кораблі було стільки ...!|їжі|їжі|страв
es|¡Pesadilla! ¡El bufé del barco tenía tanta ...!|comida|comida|platos
fr|Cauchemar ! Le buffet du bateau avait tellement de ... !|nourriture|nourriture|repas
tr|Kâbus! Geminin açık büfesinde o kadar çok ... vardı ki!|yemek|yemekler|öğün
hu|Rémálom! A hajó büféjében annyi ... volt!|étel|étel|fogás
MEDIA 4593 | meaning: a health facility where patients get treatment
E 33382 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|He walks on crutches ... the hospital corridor.|in|on|at
de|Er läuft auf Krücken ... Krankenhausflur.|im|auf dem|am
ua|Він іде на милицях ... лікарняному коридору.|по|на|біля
es|Él camina con muletas ... el pasillo del hospital.|por|sobre|a
fr|Il marche avec des béquilles ... le couloir de l'hôpital.|dans|sur|à
tr|O, koltuk değnekleriyle hastane koridorunun ... yürüyor.|içinde|üstünde|
hu|Ő mankóval megy a kórházi ...|folyosón|folyosón|folyosónál
E 33384 | A2 type 21 There is, are | style chill | options 3 | SEL
en|There ... handrails on both sides of the hospital corridor.|are|is|be
de|Auf beiden Seiten des Krankenhausflurs ... Handläufe.|sind|ist|sein
ua|По обидва боки лікарняного коридору ... поручні.|є|є|бути
es|... pasamanos a ambos lados del pasillo del hospital.|Hay|Hay|Hay
fr|... des rampes des deux côtés du couloir de l'hôpital.|Il y a|Il y a|Il y a
tr|Hastane koridorunun iki yanında da tırabzanlar ...|var|var|olmak
hu|A kórházi folyosó mindkét oldalán korlátok ...|vannak|van|lenni
MEDIA 4594 | meaning: with each other, close or touching
E 35916 | A1 type 1 TO BE | style dramatic | options 3 | SEL
en|We ... together forever! No goodbyes, never!|are|is|am
de|Wir ... für immer zusammen! Kein Abschied, niemals!|sind|ist|bin
ua|Ми ... разом назавжди! Жодних прощань, ніколи!|є|є|є
es|¡Nosotros ... juntos para siempre! ¡Sin despedidas, nunca!|estamos|está|estoy
fr|Nous ... ensemble pour toujours ! Pas d'adieux, jamais !|sommes|est|suis
tr|Biz sonsuza dek birlikte ...! Veda yok, asla!|||
hu|Mi örökre együtt ...! Semmi búcsú, soha!|vagyunk|van|vagyok
E 35922 | A2 type 22 Adjective comparison | style chill | options 3 | SEL
en|Together, the friends are ... than they were alone.|happier|more happy|happiest
de|Zusammen sind die Freunde ... als allein.|glücklicher|glücklicher|am glücklichsten
ua|Разом друзі ... ніж були поодинці.|щасливіші|більш щасливі|найщасливіші
es|Juntos, los amigos son ... que cuando estaban solos.|más felices|más felices|los más felices
fr|Ensemble, les amis sont ... que lorsqu'ils étaient seuls.|plus heureux|plus heureux|les plus heureux
tr|Arkadaşlar birlikteyken, yalnız olduklarından ...|daha mutlu|daha mutlu|en mutlu
hu|Együtt a barátok ..., mint egyedül.|boldogabbak|boldogabbak|legboldogabbak
MEDIA 4596 | meaning: the organ of smell in the middle of the face
E 34078 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|She takes a tissue and blows her nose into ... tissue.|the|a|an
de|Sie nimmt ein Taschentuch und putzt sich die Nase in ... Taschentuch.|das|ein|ein
ua|Вона бере серветку й сякається в ... серветку.|||
es|Ella coge un pañuelo y se suena la nariz con ... pañuelo.|el|un|un
fr|Elle prend un mouchoir et se mouche dans ... mouchoir.|le|un|un
tr|O bir mendil alıyor ve burnunu ... mendile siliyor.||bir|bir
hu|Ő fog egy zsebkendőt, és kifújja az orrát ... zsebkendőbe.|a|egy|egy
E 34081 | A2 type 19 Countable and uncountable | style chill | options 3 | SEL
en|She cries so much that her nose needs many ...|tissues|tissue|a tissue
de|Sie weint so sehr, dass ihre Nase viele ... braucht.|Taschentücher|Taschentuch|ein Taschentuch
ua|Вона так плаче, що її носу потрібно багато ...|серветок|серветки|серветки
es|Ella llora tanto que su nariz necesita muchos ...|pañuelos|pañuelo|un pañuelo
fr|Elle pleure tellement que son nez a besoin de beaucoup de ...|mouchoirs|mouchoir|un mouchoir
tr|O, o kadar çok ağlıyor ki burnunun birçok ... ihtiyacı var.|mendillere|mendile|bir mendile
hu|Ő annyit sír, hogy az orrának sok ... kell.|zsebkendő|zsebkendő|egy zsebkendő
MEDIA 4603 | meaning: an open public way for travel by vehicles
E 34817 | A2 type 21 There is, are | style flirt | options 3 | SEL
en|Not gonna lie, there ... no rider on this road like you.|is|are|be
de|Ehrlich gesagt, auf dieser Straße ... kein Fahrer wie du.|ist|sind|sein
ua|Чесно, на цій дорозі ... такого велосипедиста, як ти.|немає|немає|бути
es|No te voy a mentir, ... ningún ciclista como tú en esta carretera.|no hay|no hay|no hay
fr|Sans mentir, ... aucun cycliste comme toi sur cette route.|il n'y a|il n'y a|il n'y a
tr|Yalan yok, bu yolda senin gibi bir sürücü ...|yok|yok|olmak
hu|Nem hazudok, ezen az úton ... olyan bringás, mint te.|nincs|nincsenek|lenni
MEDIA 4606 | meaning: a tall narrow structure
E 35986 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is the clock? On the old tower.|Where|What|Who
de|... ist die Uhr? Am alten Turm.|Wo|Was|Wer
ua|... годинник? На старій вежі.|Де|Що|Хто
es|¿... está el reloj? En la torre antigua.|Dónde|Qué|Quién
fr|... est l'horloge ? Sur la vieille tour.|Où|Que|Qui
tr|Saat ...? Eski kulede.|nerede|ne|kim
hu|... van az óra? A régi tornyon.|Hol|Mi|Ki
  ~soft: SEL: pronoun inside an option
MEDIA 4612 | meaning: to give something in exchange for money
E 34999 | A2 type 16 Future with WILL | style chill | options 3 | SEL
en|The customer wants peaches, so tomorrow the man ... him more.|will sell|sold|selled
de|Der Kunde will Pfirsiche, also ... ihm der Mann morgen mehr verkaufen.|wird|verkaufte|verkaufte
ua|Покупець хоче персиків, тож завтра чоловік ... йому ще.|продасть|продав|продав
es|El cliente quiere melocotones, así que mañana el hombre le ... más.|venderá|vendió|vendió
fr|Le client veut des pêches, alors demain l'homme lui en ... davantage.|vendra|a vendu|a vendu
tr|Müşteri şeftali istiyor, bu yüzden adam yarın ona daha fazla ...|satacak|sattı|sattı
hu|A vevő barackot akar, ezért holnap a férfi még többet ... neki.|fog eladni|eladott|eladott
MEDIA 4619 | meaning: not processed or cooked, in a simple natural state
E 34637 | A1 type 3 Present Simple | style flirt | options 3 | SEL
en|Low-key impressive, you ... the raw chicken like a real chef.|wash|washes|washing
de|Lowkey beeindruckend, du ... das rohe Hähnchen wie ein echter Koch.|wäschst|wäscht|waschend
ua|Лоукі вражає: ти ... сиру курку як справжній шеф.|миєш|миє|миючи
es|La verdad, impresionante: tú ... el pollo crudo como un chef de verdad.|lavas|lava|lavando
fr|Discrètement impressionnant, tu ... le poulet cru comme un vrai chef.|laves|lave|lavant
tr|Açıkçası etkileyici, sen çiğ tavuğu gerçek bir şef gibi ...|yıkarsın|yıkar|yıkayarak
hu|Lowkey lenyűgöző, te úgy ... a nyers csirkét, mint egy igazi séf.|mosod|mossa|mosó
E 34641 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|The chicken is raw, so he ... wash his hands after.|should|shoulds|should to
de|Das Hähnchen ist roh, also ... er sich danach die Hände waschen.|sollte|sollte|sollte
ua|Курка сира, тож він ... потім помити руки.|мав би|мав би|мав би
es|El pollo está crudo, así que él ... lavarse las manos después.|debería|debería|debería
fr|Le poulet est cru, donc il ... se laver les mains après.|devrait|devrait|devrait
tr|Tavuk çiğ, bu yüzden o sonra ellerini ...|yıkamalı|yıkamalı|yıkamalı
hu|A csirke nyers, ezért neki utána ... kezet mosnia.|kellene|kellene|kellene
MEDIA 4621 | meaning: a traveler riding in a vehicle, not driving it
E 34270 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|Two men and one woman sleep, so ... passengers are asleep.|three|third|threes
de|Zwei Männer und eine Frau schlafen, also schlafen ... Passagiere.|drei|dritte|Dreien
ua|Двоє чоловіків і одна жінка сплять, тож ... пасажири сплять.|троє|треті|трійки
es|Dos hombres y una mujer duermen, así que ... pasajeros están dormidos.|tres|terceros|tres
fr|Deux hommes et une femme dorment, donc ... passagers sont endormis.|trois|troisièmes|trois
tr|İki adam ve bir kadın uyuyor, yani ... yolcu uykuda.|üç|üçüncü|üçler
hu|Két férfi és egy nő alszik, tehát ... utas alszik.|három|harmadik|hármasok
E 34271 | A2 type 14 Present Continuous | style flirt | options 3 | SEL
en|Passenger of the year: you ... your travel pillow with style, honestly.|are wearing|wear|are wear
de|Passagierin des Jahres: Du ... dein Reisekissen mit Stil, ehrlich.|trägst|trägst|trägst
ua|Пасажирка року: ти ... свою дорожню подушку зі стилем, чесно.|носиш|носиш|носиш
es|Pasajera del año: tú ... tu almohada de viaje con estilo, en serio.|estás llevando|llevas|estás llevando
fr|Passagère de l'année : tu ... ton coussin de voyage avec style, franchement.|es en train de porter|portes|es en train de porter
tr|Yılın yolcusu: sen seyahat yastığını tarzla ..., cidden.|takıyorsun|takarsın|takıyorsun
hu|Az év utasa: te stílusosan ... az utazópárnádat, komolyan.|viseled|viseled|viseled
MEDIA 4623 | meaning: a choice made by counting people in favor
E 36237 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Last night the officials ... every vote on the table.|counted|counts|countted
de|Gestern Abend ... die Wahlhelfer jede Stimme auf dem Tisch.|zählten|zählt|zählten
ua|Учора ввечері посадовці ... кожен голос на столі.|порахували|рахує|порахували
es|Anoche los funcionarios ... cada voto sobre la mesa.|contaron|cuenta|contaron
fr|Hier soir, les responsables ... chaque vote sur la table.|ont compté|compte|ont compté
tr|Dün gece görevliler masadaki her oyu ...|saydı|sayar|saydı
hu|Tegnap este a tisztviselők ... az összes szavazatot az asztalon.|megszámolták|megszámolja|megszámolták
MEDIA 4627 | meaning: to go away from a place
E 33702 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|... the ship leave now? Yes, it can.|Can|Does|Is
de|... das Schiff jetzt ablegen? Ja, kann es.|Kann||Ist
ua|Чи ... корабель відплисти зараз? Так, може.|може||є
es|¿... el barco zarpar ahora? Sí, puede.|Puede||Está
fr|Est-ce que le bateau ... partir maintenant ? Oui, il peut.|peut||est
tr|Gemi şimdi ... mi? Evet, kalkabilir.|kalkabilir||
hu|... most a hajó? Igen, indulhat.|Indulhat||Van
E 33704 | A2 type 12 Past Simple | style slang | options 3 | SEL
en|Bro, the train ... and he just kept waving, no cap.|left|leaves|leaved
de|Digga, der Zug ... ab und er hat einfach weitergewinkt, ohne Witz.|fuhr|fährt|fuhr
ua|Бро, потяг ... а він просто далі махав, без брехні.|поїхав|їде|поїхав
es|Tío, el tren se ... y siguió saludando, sin mentir.|fue|va|fue
fr|Frérot, le train ... et lui, il a continué à faire coucou, sans mentir.|est parti|part|est parti
tr|Kanka, tren ... ve o el sallamaya devam etti, yemin ederim.|gitti|gider|gitti
  ~soft: no diacritics at all
hu|Tesó, a vonat ..., ő meg csak integetett tovább, komolyan.|elment|elmegy|elment
MEDIA 4628 | meaning: feeling or showing unhappiness
E 34896 | A1 type 1 TO BE | style slang | options 3 | SEL
en|Nah man, he ... so sad, no picnic, gonna cry.|is|are|am
de|Nee Mann, er ... so traurig, kein Picknick, gleich heult er.|ist|sind|bin
ua|Ні, чувак, він ... такий сумний, ніякого пікніка, зараз заплаче.|є|є|є
es|Qué va, tío, él ... tan triste, sin pícnic, va a llorar.|está|están|estoy
fr|Non mec, il ... trop triste, pas de pique-nique, il va pleurer.|est|sont|suis
tr|Yok kanka, o çok üzgün ..., piknik yok, ağlayacak.|||
hu|Nem, haver, ő ... annyira szomorú, nincs piknik, mindjárt sír.|||vagyok
E 34900 | A2 type 16 Future with WILL | style chill | options 3 | SEL
en|He is sad now, but tomorrow he ... have his picnic.|will|is|was
de|Er ist jetzt traurig, aber morgen ... er sein Picknick haben.|wird|ist|war
ua|Він зараз сумний, але завтра в нього ... пікнік.|буде|є|був
es|Él está triste ahora, pero mañana ... tener su pícnic.||está|estaba
fr|Il est triste maintenant, mais demain il ... avoir son pique-nique.||est|était
tr|O şimdi üzgün ama yarın pikniğini ...|yapacak||idi
hu|Ő most szomorú, de holnap meg ... tartani a piknikjét.|fogja|van|volt
MEDIA 4630 | meaning: the shape and style your hair is cut in
E 33148 | A1 type 8 My, Your, His,... | style slang | options 3 | SEL
en|Ok but the barber shaved a line into ... haircut, kinda iconic.|his|her|their
de|Okay, aber der Friseur hat eine Linie in ... Haarschnitt rasiert, irgendwie ikonisch.|seinen|ihren|ihren
ua|Окей, але барбер виголив лінію на ... стрижці, трохи культово.|його|її|їхній
es|Vale, pero el barbero le rapó una línea en ... corte, bastante icónico.|su|su|su
fr|Ok, mais le barbier a rasé une ligne dans ... coupe, plutôt iconique.|sa|sa|leur
tr|Tamam ama berber ... saç kesimine bir çizgi kazıdı, baya ikonik.|onun|onun|onların
hu|Oké, de a borbély egy csíkot borotvált a ..., elég ikonikus.|frizurájába|frizurájába|frizurájukba
E 33151 | A2 type 21 There is, are | style clueless | options 3 | SEL
en|There ... a line in his haircut because the barber put it there.|is|are|be
de|In seinem Haarschnitt ... eine Linie, weil der Friseur sie dort hingemacht hat.|ist|sind|sein
ua|У його стрижці ... лінія, бо барбер її туди зробив.|є|є|бути
es|... una línea en su corte porque el barbero la puso ahí.|Hay|Hay|Hay
fr|... une ligne dans sa coupe parce que le barbier l'a mise là.|Il y a|Il y a|Il y a
tr|Onun saç kesiminde bir çizgi ... çünkü berber onu oraya yaptı.|var|var|olmak
hu|A frizurájában ... egy csík, mert a borbély oda tette.|van|vannak|lenni
MEDIA 4634 | meaning: to arrive at a destination
E 34645 | A2 type 13 Present or Past Simple | style chill | options 2 | SEL
en|Every summer she walks here, and last night she ... the bay.|reached|reaches|
de|Jeden Sommer wandert sie hierher, und gestern Abend ... sie die Bucht.|erreichte|erreicht|
ua|Щоліта вона ходить сюди, а вчора ввечері вона ... до затоки.|дійшла|доходить|
es|Ella camina hasta aquí cada verano, y anoche ... a la bahía.|llegó|llega|
fr|Chaque été, elle marche jusqu'ici, et hier soir elle ... la baie.|a atteint|atteint|
tr|O her yaz buraya yürür ve dün akşam koya ...|ulaştı|ulaşır|
hu|Ő minden nyáron ide sétál, és tegnap este ... az öbölhöz.|odaért|odaér|
MEDIA 4660 | meaning: a collection of objects laid on top of each other
E 34399 | A1 type 11 Cardinal numbers | style flirt | options 3 | SEL
en|Ten boxes plus two bags: honestly, your pile has ... things.|twelve|twelfth|twelves
de|Zehn Kisten plus zwei Taschen: ehrlich, dein Stapel hat ... Sachen.|zwölf|zwölfte|Zwölfen
ua|Десять коробок плюс дві сумки: чесно, у твоїй купі ... речей.|дванадцять|дванадцята|дванадцятки
es|Diez cajas más dos bolsas: en serio, tu montón tiene ... cosas.|doce|duodécimas|doce
fr|Dix boîtes plus deux sacs : franchement, ta pile a ... choses.|douze|douzièmes|douze
tr|On kutu artı iki çanta: açıkçası yığınında ... şey var.|on iki|on ikinci|on ikiler
hu|Tíz doboz plusz két táska: őszintén, a kupacodban ... dolog van.|tizenkét|tizenkettedik|tizenkettesek
E 34404 | A2 type 18 Going to or Will | style chill | options 2 | SEL
en|Her boxes lie in a pile. I think a shopper ... her.|will help|is going to help|
de|Ihre Kisten liegen auf einem Haufen. Ich glaube, dass ihr ein Kunde ...|helfen wird|helfen wird|
