# id | pos | members | ok {a/b} | bad {a/b} [| head=N] [| irr=lemma:f;f]
# ---- Phase 1 false rejections (report lines 1236-1290)
near_beside | x | near, beside, next to, by | Two dolphins jump out of the ocean {near/beside} the boat. | She lives {near/beside} London, about ten miles away.
photo_picture | n | photo, picture, photograph | Can I take a {photo/picture} of you? | She painted a {picture/photo} of the sea.
umbrella_parasol | n | umbrella, parasol, sunshade | They sat under a beach {umbrella/parasol}. | Take an {umbrella/parasol}, it's pouring.
pass_go_past | v | pass, go past, move past | A bus {passed/went past} us. | Did you {pass/go past} your exam?
arrive_come | v | arrive, come, get | When did you {arrive/come}? | {Come/Arrive} here, please.
add_throw_in | v | add, throw in, put in, toss in | She {added/threw in} the basil. | Two and two {add/throw in} up to four. | head=0
vendor_seller | n | vendor, seller, stallholder, trader | The {vendor/seller} gave me a discount. | This book was a best {seller/vendor}.
roof_rooftop | n | roof, rooftop | They had a party on the {roof/rooftop}. | The {roof/rooftop} of my mouth is burning.
lean | v | lean, rest | She {leaned/rested} her bike against the wall. | You look tired, go and {rest/lean}.
usually_normally | x | usually, normally | She {usually/normally} sings in the shower. | Her heart is beating {normally/usually} again.
shout_yell | v | shout, yell | The director {yelled/shouted} "Action!" | It's my turn to {shout/yell} you a drink.
shout_call_out | v | shout, call out, call | She {shouted/called out} his name. | Critics {called out/shouted} the company for lying.
customer_client | n | customer, client | The shop was full of {customers/clients}. | The email {client/customer} crashed again.
wooden_wood | x | wooden, wood | a {wooden/wood} table | She gave a {wooden/wood} performance.
sled_sledge | v | sled, sledge | The kids {sledge/sled} down the hill. | He hit the rock with a {sledge/sled}hammer.
charm_pendant | n | charm, pendant | She wore a silver {charm/pendant} on a chain. | He won her over with his {charm/pendant}.
return_come_back | v | come back, return, be back, go back | She will {come back/return} to this market. | Please {return/come back} the book to the library.
of_course_sure | x | of course, sure | "Can I sit here?" "{Of course/Sure}." | I'm not {sure/of course} about that.
a_lot_of_lots_of | x | a lot of, lots of, plenty of | There were {a lot of/lots of} people. | I have {a lot of/plenty of} work, too much in fact.
advertisement_ad | n | advertisement, ad, advert, commercial | I saw an {advertisement/ad} for this phone. | We watched a {commercial/ad} flight take off.
calm_relaxed | x | calm, relaxed | She felt {calm/relaxed} after yoga. | The sea was {calm/relaxed} today.
orange_ginger_cat | x | orange, ginger | A fat {orange/ginger} cat slept on the wall. | I'd like an {orange/ginger} juice.
very_really | x | very, really | It's {very/really} cold. | Do you {really/very} think so?
very_so | x | very, so, really | She was {so/very} tired. | I think {so/very}.
meadow_field | n | meadow, field | Cows grazed in the {meadow/field}. | Physics is not my {field/meadow}.
hike_walk | v | hike, walk | We {hiked/walked} in the mountains. | I {walk/hike} the dog every morning.
trail_path_footpath | n | trail, path, footpath, track | We followed the {trail/path} to the lake. | The police lost his {trail/footpath}.
beam_ray | n | beam, ray | A {beam/ray} of sunlight came through the window. | The roof rests on a wooden {beam/ray}.
finish_complete | v | finish, complete | She {finished/completed} every exercise. | Have you {finished/completed} your coffee?
finished_done | x | finished, done | Are you {finished/done} with the laptop? | The steak is well {done/finished}.
pull_drag | v | pull, drag | She was {pulling/dragging} a heavy suitcase. | He {pulled/dragged} a muscle.
give_hand | v | give, hand | She {gives/hands} him the keys. | She {gave/handed} a great speech.
matter_question | n | question, matter | It's a {question/matter} of time. | Can I ask you a {question/matter}?
this_time_tomorrow | x | this time tomorrow, at this time tomorrow, tomorrow at this time | {This time tomorrow/Tomorrow at this time} she will be flying. | I'll do it {tomorrow at this time/this time tomorrow}, but not again.
jug_pitcher | n | jug, pitcher | a {jug/pitcher} of lemonade | The {pitcher/jug} threw a fast ball.
watermelon_melon | n | watermelon, melon | She cut the {watermelon/melon} into slices. | A cantaloupe is a type of {melon/watermelon}.
messy_dirty | a | messy, dirty | His room is even {messier/dirtier} than mine. | Wash your {dirty/messy} hands.
once_more | x | once more, one more time, again | Try it {once more/one more time}. | Can you say that {again/once more}? What was his name?
drop_lower_reduce | v | lower, reduce, cut, drop | They {lowered/reduced} the price. | {Lower/Reduce} your voice, please.
trainer_coach | n | trainer, coach | Her {trainer/coach} made her run ten laps. | I need new {trainers/coaches} for running.
a_bit_a_little | x | a bit, a little, slightly | I'm {a bit/a little} tired. | I'd like {a little/slightly} milk.
flatmate_roommate | n | flatmate, roommate, housemate | My {flatmate/housemate} always leaves the lights on. | Twins shared a bedroom; they were {roommates/housemates} as kids.
trip_foul_bring_down | v | trip, foul, bring down | The defender {tripped/fouled} her in the box. | He {tripped/fouled} over the cable.
tip_knock_over | v | tip over, knock over, overturn | The cat {knocked over/tipped over} the vase. | The court {overturned/knocked over} the decision.
pillow_cushion | n | pillow, cushion | She threw a {cushion/pillow} at him. | The savings are a {cushion/pillow} against hard times.
start_begin | v | start, begin | The film {started/began} at eight. | I can't {start/begin} the car.
get_receive | v | get, receive | She {got/received} a letter. | I'll {get/receive} some milk on the way home.
put_place_set | v | put, place, set | She {put/placed} the vase on the table. | He {put/placed} on his coat.
push_shove | v | push, shove | Someone {pushed/shoved} me in the queue. | {Push/Shove} the button to start.
bag_sack | n | bag, sack | a {bag/sack} of potatoes | He got the {sack/bag} for being late.
drums_drum_kit | n | drum kit, drums | She plays the {drums/drum kit}. | Oil is stored in {drums/drum kits}.
pill_tablet | n | pill, tablet | Take one {pill/tablet} after meals. | She reads e-books on her {tablet/pill}.
bad_terrible_awful | x | bad, terrible, awful, severe | She has a {bad/terrible} headache. | Smoking is {bad/terrible} for you, just a bit.
careful_watch_out | x | be careful, watch out, look out | {Be careful/Watch out}, the floor is wet! | {Look out/Be careful} of the window, the view is great.
grab_take_hold_of | v | grab, take hold of, grasp, seize | She {grabbed/took hold of} the rope. | Let's {grab/take hold of} a coffee.
stay_indoors | v | stay inside, stay indoors | It's raining, so she {stays inside/stays indoors}. | Keep the receipt {inside/indoors} the box.
observe_watch | v | watch, observe | The scientists {watched/observed} the birds. | {Watch/Observe} out for cars!
darling_honey | n | darling, honey, sweetie | Come here, {darling/honey}. | Bees make {honey/darling}.
apparently_supposedly | x | apparently, supposedly | {Apparently/Supposedly} the shop closes at six. | She was {apparently/supposedly} upset, you could see it on her face.
bowl_dish | n | bowl, dish | Put the salad in a {bowl/dish}. | Let's go {bowling/dishing}.
stone_rock | n | stone, rock | She threw a {stone/rock} into the lake. | She lost three {stone/rock} in weight.
pitch_field | n | pitch, field | The players ran onto the {pitch/field}. | Her voice has a high {pitch/field}.
bother_annoy | v | bother, annoy | The noise doesn't {bother/annoy} me. | Don't {bother/annoy} cooking, we'll eat out.
officer_official | n | officer, official, clerk | The customs {officer/official} checked the bag. | The {clerk/officer} at the bank was friendly.
keeper_goalkeeper | n | keeper, goalkeeper, goalie | The {keeper/goalkeeper} saved the penalty. | The zoo {keeper/goalkeeper} fed the lions.
goal_line | n | line, goal line | The ball didn't cross the {line/goal line}. | Stand in {line/goal line}, please.
spot_penalty_spot | n | spot, penalty spot | She placed the ball on the {spot/penalty spot}. | She has a {spot/penalty spot} on her chin.
disaster_catastrophe | n | disaster, catastrophe | The party was a {disaster/catastrophe}. | Natural {disasters/catastrophes} relief fund.
change_replace | v | change, replace | She {changed/replaced} the battery. | She {changed/replaced} into a dress.
copy_imitate | v | copy, imitate | He started {copying/imitating} her style. | Please {copy/imitate} this file to the USB stick.
look_style | n | look, style | She copied her {look/style}. | Have a {look/style} at this.
stick_put | v | stick, put | She {stuck/put} a note on the fridge. | The door {sticks/puts} in wet weather.
wobble_shake | v | wobble, shake | The table {wobbles/shakes}. | Let's {shake/wobble} hands.
shop_store | n | shop, store | The {shop/store} closes at six. | We {store/shop} the wine in the cellar.
jumpsuit_overalls | n | jumpsuit, overalls, boiler suit | She wore green {overalls/jumpsuit}. | {Overalls/Jumpsuit}, the team did well.
collapse_give_way | v | collapse, give way, give out, fall | The old bridge {collapsed/gave way}. | Cars must {give way/collapse} at this junction.
burst_laughing | x | burst out laughing, burst into laughter, exploded with laughter, erupted in laughter | The hall {burst out laughing/burst into laughter}. |
podium_lectern | n | podium, lectern | She stood at the {podium/lectern}. | She finished third and stood on the {podium/lectern}.
stand_is_standing | x | stands, is standing | The statue {stands/is standing} in the square. | A new cinema {stands/is standing} for election.
bye_goodbye | x | bye, goodbye | Say {goodbye/bye} to your aunt. | That was a {bye/goodbye} week for the team.
rust_rusty | x | completely rusty, rusted through, completely rusted | The old car is {completely rusty/rusted through}. | My French is {completely rusty/rusted through}.
bike_bicycle | n | bike, bicycle | She rides her {bike/bicycle} to school. | He rides a {bike/bicycle} with a 1000cc engine.
motorbike_motorcycle | n | motorbike, motorcycle, bike | He fixed his old {motorbike/motorcycle}. | She pedals her {bike/motorbike} to school.
dip_plunge | v | dip, plunge | She {dipped/plunged} her hand into the cold water. | Prices {plunged/dipped} by 50%.
exactly_just_right | x | exactly, just, right | She arrived {exactly/just} at noon. | I {just/exactly} want to sleep.
purple_violet | x | purple, violet | a {purple/violet} dress | She sent him a {violet/purple} to the florist's order.
chopping_board | n | chopping board, cutting board, board | Put the onion on the {chopping board/cutting board}. | The {board/cutting board} of directors met today.
quietly_silently | x | quietly, silently | She sat {quietly/silently} in the corner. | Speak {quietly/silently}, the baby is asleep.
book_schedule | v | book, schedule | She {booked/scheduled} a session with a trainer. | She {booked/scheduled} a hotel room.
walk_onto_step_onto | v | walk onto, step onto, go onto, get on | She {walked onto/stepped onto} the stage. | She {got on/stepped onto} well with her boss.
stag_deer | n | stag, deer | A {stag/deer} stood in the clearing. | His {stag/deer} party was in Prague.
swell_swollen | v | swell, swell up | Her ankle {swelled/swelled up}. | The music {swelled/swelled up} to a climax. -- borderline
no_nah_nope | x | no, nah, nope | "Are you coming?" "{No/Nah}." | There is {no/nah} milk left.
dude_mate_bro | n | dude, mate, bro, man | Hey {dude/mate}, what's up? | He's been my best {mate/dude} since school.
money_cash | n | money, cash | I don't have any {money/cash} on me. | She has {money/cash} in the bank.
feeling_sense | n | feeling, sense | She had a strange {feeling/sense} that someone was watching. | That doesn't make {sense/feeling}.
tip_empty | v | tip, empty, tip out, empty out | She {tipped/emptied} the bucket into the sink. | She {tipped/emptied} the waiter ten euros.
clean_pure | a | clean, pure | the {cleanest/purest} water in the country | Wash your hands; they're not {clean/pure}.
round_circular | x | round, circular | a {round/circular} table | It's my {round/circular}, what are you drinking?
full_of_filled_with | x | full of, filled with | a box {full of/filled with} toys | She is {full of/filled with} herself.
handle_cope_with | v | handle, cope with, manage, deal with | She {handled/coped with} the pressure well. | {Handle/Cope with} with care. | head=0
dusty_covered_in_dust | x | dusty, covered in dust, full of dust | The shelf was {dusty/covered in dust}. | a {dusty/covered in dust} pink colour
wipe_clean_dust | v | wipe, clean, dust | She {wiped/cleaned} the table. | She {cleaned/wiped} the whole kitchen floor with a mop.
plane_airplane | n | plane, airplane, aeroplane | The {plane/airplane} landed on time. | Use a {plane/airplane} to smooth the wood.
right_correct | x | right, correct | That's the {right/correct} answer. | Turn {right/correct} at the lights.
film_shoot | v | film, shoot | They will {film/shoot} the scene before lunch. | He {shot/filmed} the burglar.
cross_go_across | v | cross, go across | She {crossed/went across} the street. | Don't {cross/go across} your arms.
reach_get_to | v | reach, get to | We {reached/got to} the summit at noon. | Can you {reach/get to} the top shelf? -- ok; bad
strange_weird_odd | x | strange, weird, odd, peculiar | What a {strange/weird} dream. | Pick an {odd/weird} number.
sign_road_sign | n | sign, road sign | The {sign/road sign} said "Stop". | Please {sign/road sign} here.
friend_buddy | n | friend, buddy, pal | She's my best {friend/buddy}. | My {buddy/friend} at the dive centre checked my air. -- ok ; see bad
about_because_of | x | about, because of | They argued {about/because of} the couch. | It's {about/because of} ten o'clock.
wear_put_on | v | wear, put on | She {wore/put on} her boots. | She {wears/puts on} glasses every day. -- borderline
boots_wellies | n | rubber boots, wellies, wellingtons, rain boots, wellington boots | She put on her {wellies/rubber boots}. | {Wellington/Rubber boots} is the capital of New Zealand.
fix_repair | v | fix, repair | He {fixed/repaired} the bike. | Let me {fix/repair} you a sandwich.
in_the_end_ultimately | x | in the end, ultimately, eventually, finally | {In the end/Eventually} we took a taxi. | The shop is {in the end/eventually} of the street.
nerve_courage_guts | n | nerve, courage, guts | She didn't have the {nerve/courage} to say it. | The fish {guts/courage} went in the bin.
argument_fight_quarrel | n | argument, fight, quarrel, row | They had a loud {argument/fight}. | His {argument/fight} is logical.
sofa_couch_settee | n | sofa, couch, settee | She fell asleep on the {sofa/couch}. | He is a {couch/sofa} potato. -- idiom
pad_mitt | n | pad, mitt, focus pad, focus mitt | The coach held the {pads/mitts}. | Write it on a {pad/mitt} of paper.
evidence_proof | n | evidence, proof | There is no {evidence/proof} that he did it. | This drink is 80 {proof/evidence}.
pass_ticket | n | pass, ticket | Show your bus {pass/ticket}. | He got a parking {ticket/pass}.
fall_apart | v | fall apart, collapse, break down | The old chair {fell apart/collapsed}. | The talks {broke down/fell apart} -- ok; bad:
fridge_refrigerator | n | fridge, refrigerator | Put the milk in the {fridge/refrigerator}. | {Fridge/Refrigerator} magnets of Rome.
cash_machine_atm | n | cash machine, ATM, cashpoint | I took money from the {cash machine/ATM}. | {ATM/Cash machine} could also mean "at the moment" in a text message.
eerie_creepy_spooky | x | eerie, creepy, spooky, scary | The empty station was {eerie/creepy}. | That guy keeps staring at me, he's {creepy/eerie}.
fade_go_out | v | fade, go out, die out, die down | The light {faded/went out} slowly. | They {went out/faded} for dinner.
station_yard | n | station, railway station, train station | We met at the {station/train station}. | The radio {station/train station} plays jazz.
garden_bed_patch | n | bed, vegetable patch, vegetable bed, garden bed | She planted carrots in the {vegetable patch/vegetable bed}. | She went to {bed/vegetable bed} early.
incredibly_unbelievably | x | incredibly, unbelievably, amazingly | It was {incredibly/unbelievably} hot. | {Unbelievably/Incredibly}, he told the truth this time? -- ok
jump_leap | v | jump, leap | The dolphins {jump/leap} out of the water. | The price {jumped/leaped} to the top of the queue. -- bad:
buy_get | v | buy, get | I {bought/got} a new phone. | I don't {buy/get} it — explain again.
bigger_larger | a | big, large | She needs a {bigger/larger} size. | a {big/large} decision
arrive_get_to | v | arrive, get, come | When does the train {arrive/get} here? | I {get/arrive} it now.
avoid_stay_away | v | avoid, stay away from, keep away from | {Avoid/Stay away from} that street at night. | I {avoided/stayed away from} answering the question.
barely_hardly | x | barely, hardly, scarcely | She {barely/hardly} lifted her eyes. | You {hardly/barely} work at all; you're lazy. -- ok; bad:
lollipop_lolly | n | lollipop, lolly | The kid licked a red {lollipop/lolly}. | He made a lot of {lolly/lollipop} (money) last year.
special_exceptional | x | special, exceptional | Her cooking is {special/exceptional}. | Today's {special/exceptional} is fish soup.
crate_box | n | crate, box | The apples came in a wooden {crate/box}. | Tick the {box/crate}.
under_beneath | x | under, underneath, beneath, below | The cat is {under/beneath} the table. | Children {under/beneath} 12 travel free.
manual_instructions | n | manual, instruction manual, instructions, instruction sheet | Read the {manual/instructions} first. | The car has a {manual/instruction sheet} gearbox.
board_plank | n | board, plank | The floor {boards/planks} creaked. | The {board/plank} met on Monday.
noon_midday | x | noon, midday, lunchtime | We meet at {noon/midday}. | We had {lunchtime/noon} at a café. -- lunch
build_assemble | v | build, assemble, put together | They {built/assembled} the wardrobe. | The class {assembled/put together} in the hall.
fast_quickly | x | quickly, fast | She runs {quickly/fast}. | She is on a {fast/quickly} before surgery.
quick_fast | a | quick, fast | a {quick/fast} runner | A {quick/fast} look at the menu. -- ok; bad:
boil_come_to_boil | v | boil, come to the boil, come to a boil | Wait for the water to {boil/come to the boil}. | {Boil/Come to the boil} the potatoes for twenty minutes.
carefully_with_care | x | carefully, with care | Handle it {carefully/with care}. | Listen {carefully/with care} to the question.
north | x | north, to the north, towards the north | The needle points {north/to the north}. | {North/To the north} America is huge.
settle_land | v | settle, land | The dragonfly {settled/landed} on the reed. | They {settled/landed} the argument.
further_farther | a | far | -- placeholder
appear_show_up | v | appear, show up, come up, turn up | The sun finally {appeared/came up}. | It {appears/shows up} that you're right.
too_as_well | x | too, as well, also | I like tea {too/as well}. | This is {too/as well} expensive.
motionless_still_stand | x | still, motionless, unmoving | The deer stood {still/motionless}. | I {still/motionless} love you.
brought_down | v | knock down, bring down | He {knocked down/brought down} the striker. | They {knocked down/brought down} the old building. -- ok? bad:
# ---- general A1-B2 verbs
begin_commence | v | begin, start, commence | The ceremony {began/commenced} at noon. | My car won't {start/commence}.
end_finish | v | end, finish | The film {ended/finished} at ten. | I haven't {finished/ended} my soup.
stop_quit | v | stop, quit, give up | She {stopped/quit} smoking. | The bus {stopped/quit} at the corner.
try_attempt | v | try, attempt | She {tried/attempted} to climb the wall. | {Try/Attempt} this cake!
try_taste | v | try, taste | Can I {try/taste} the salsa? | Try on the dress / {Try/Taste} this jacket on.
look_seem_appear | v | look, seem, appear | She {looks/seems} tired. | {Look/Seem} at me!
seem_appear | v | seem, appear | It {seems/appears} that she left. | A rabbit {appeared/seemed} from the hat.
look_for_search | v | look for, search for, seek | I'm {looking for/searching for} my keys. | They {searched/looked for} his bag at the airport. -- bad
see_watch | v | see, watch | Did you {see/watch} the match? | I can't {see/watch} without my glasses.
hear_listen | v | hear, listen to | Did you {hear/listen to} the news? | I can't {hear/listen to} you, speak up.
speak_talk | v | speak, talk | She {spoke/talked} to her boss. | Do you {speak/talk} French?
say_tell | v | say, tell | -- skipped
tell_inform | v | tell, inform | She {told/informed} us about the change. | She {told/informed} a joke.
ask_inquire | v | ask, inquire, enquire | She {asked/inquired} about the price. | Can I {ask/inquire} you a favour?
answer_reply | v | answer, reply | She didn't {answer/reply}. | Can you {answer/reply} the door?
answer_respond | v | answer, respond, reply | She never {responded/replied} to my email. | The patient {responded/replied} well to the treatment.
help_assist | v | help, assist | Can I {help/assist} you? | I can't {help/assist} laughing.
choose_pick_select | v | choose, pick, select | {Choose/Pick} a card. | Don't {pick/choose} your nose.
decide_choose | v | decide, choose | She {decided/chose} to stay. | She {chose/decided} the red dress.
keep_hold | v | keep, hold | {Keep/Hold} still. | {Keep/Hold} the change.
keep_continue | v | keep, continue, go on, carry on | She {kept/continued} talking. | Can I {keep/continue} this pen?
continue_go_on | v | continue, go on, carry on | Please {continue/go on}. | What's {going on/continuing} here?
