lang,id,mark,reason
tr,137708,?,Turkish question (mi/misin/miyim particle)
tr,231794,?,Turkish question (nerede)
tr,119708,.,"English is a question, Turkish became a statement ('Sen onu kırabilirsin'); stop fits the Turkish as written — translation mismatch, noted"
tr,23525,.,English ends on a quoted 'Cut!'/'Action!'; Turkish ends on a plain statement
tr,29492,.,English ends on a quoted 'Cut!'/'Action!'; Turkish ends on a plain statement
cz,152536,.,"question + answer; the sentence ends on the answer, English has only the question"
cz,153814,.,"question + answer; the sentence ends on the answer, English has only the question"
sk,152533,.,"question + answer; the sentence ends on the answer, English has only the question"
sk,153811,.,"question + answer; the sentence ends on the answer, English has only the question"
ua,152539,.,"question + answer; the sentence ends on the answer, English has only the question"
ua,153817,.,"question + answer; the sentence ends on the answer, English has only the question"
ua,154087,.,"question + answer; the sentence ends on the answer, English has only the question"
