item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
122	12077	hu	YES	clause	hu says the sea bottom is under the clear water, not sandy and bright	change hu: A tenger feneke homokos és világos.
123	12131	hu	YES	clause	hu says the box is in the empty flat, not almost full	change hu: A nagy kartondoboz majdnem tele van.
124	12144	es	YES	number_person_gender	es él (he) vs en she	change es: él está cerrando → ella está cerrando
125	12193	sk	YES	time_frame	sk past zaťalo/išlo vs en present clenches/walks	change sk: Dievčatko zatne obe päste a ide ďalej.
126	12510	es	YES	number_person_gender	es Él (he) vs en She	change es: Él unta → Ella unta
127	12572	fr	YES	noun_verb_place	fr drops of cake (une grosse part only)	change fr: une grosse part → une grosse part de gâteau
128	12789	es	YES	number_person_gender	es ella (she) vs en he	change es: ella está mirando → él está mirando
129	12836	es	YES	number_person_gender	es Él (he) vs en She	change es: Él lava → Ella lava
130	12836	tr	YES	noun_verb_place	tr kova (bucket) vs en watering can	change tr: kova ile → sulama kabıyla
131	12845	es	YES	number_person_gender	es él (he) vs en she	change es: él recoge → ella recoge
132	13112	es	YES	number_person_gender	es Él (he) vs en She	change es: Él da → Ella da
133	13157	ua	YES	time_frame	ua була (was) vs en is	change ua: була → є
134	13157	hu	YES	clause	hu says a big cheese wheel is on the table; drops yellow and very old, adds table	change hu: A nagy sajtkerék sárga és nagyon régi.
135	13171	es	YES	number_person_gender	es Él (he) vs en She	change es: Él a menudo → Ella a menudo
136	13260	ua	NO	-	-	-
137	13260	tr	NO	-	-	-
138	13260	hu	NO	-	-	-
139	13260	sk	NO	-	-	-
140	13260	cz	NO	-	-	-
141	13312	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella a menudo → Él a menudo
142	13416	es	YES	number_person_gender	es Él (he) vs en She	change es: Él escribe → Ella escribe
