item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
330	23088	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella se sube → Él se sube
331	23110	cz	YES	gap	cz gap ospalá (sleepy) is the adjective, not the verb gets; sentence says "is sleepy"	change cz: je vždycky ospalá [gap: ospalá] → vždycky bývá ospalá [gap: bývá]
332	23495	hu	YES	noun_verb_place	hu says the orange soda is there in the can; en says it is orange and very fizzy	change hu: A dobozban lévő üdítő narancssárga és nagyon szénsavas.
333	23606	hu	YES	noun_verb_place	hu says three spoons are on the wooden table; en says the soup spoon is bigger than the teaspoon	change hu: A leveseskanál nagyobb, mint a teáskanál.
334	23662	de	YES	noun_verb_place	de Physikstunde (physics lesson) vs en science lesson	change de: Physikstunde → Naturwissenschaftsstunde
335	23699	es	YES	number_person_gender	es Él (he) vs en She	change es: Él levanta → Ella levanta
336	23705	es	YES	number_person_gender	es Él (he) vs en She	change es: Él tiene → Ella tiene
337	23720	es	YES	number_person_gender	es Él (he) vs en She	change es: Él saluda → Ella saluda
338	23998	hu	YES	noun_verb_place	hu adds "at the gate" and turns it into there-is sentence	change hu: A futár sárga láthatósági mellényben van.
339	24164	hu	YES	noun_verb_place	hu adds "on the wall" and turns it into there-is sentence	change hu: A téglasor hosszú és nagyon egyenes.
340	24450	hu	YES	noun_verb_place	hu adds "on the beach" and drops "very light"	change hu: A szörfdeszka hosszú, fehér és nagyon könnyű.
341	24568	es	YES	number_person_gender	es Él (he) vs en She	change es: Él lleva → Ella lleva
342	24603	es	YES	number_person_gender	es ella (she) vs en he	change es: elige ella → elige él
343	24635	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella le dibuja → Él le dibuja
344	24644	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella no necesita → Él no necesita
345	24664	es	YES	number_person_gender	es él (he) vs en she	change es: ¿Qué tiene él → ¿Qué tiene ella
346	24693	de	YES	clause	de drops "in the alley"	change de: an vier geparkten Autos vorbei → in der Gasse an vier geparkten Autos vorbei
347	24869	es	YES	number_person_gender	es Él (he) vs en She	change es: Él lee → Ella lee
348	25189	de	YES	noun_verb_place	de Wand (wall) vs en board	change de: Die Wand → Das Brett
349	25189	ua	YES	noun_verb_place	ua Стіна (wall) vs en board	change ua: Стіна → Дошка
350	25189	sk	YES	noun_verb_place	sk Stena (wall) vs en board	change sk: Stena → Doska
351	25189	cz	YES	noun_verb_place	cz Stěna (wall) vs en board	change cz: Stěna → Deska
352	25227	es	YES	number_person_gender	es Él (he) vs en She	change es: Él solo necesita → Ella solo necesita
353	25312	tr	YES	noun_verb_place	tr drops the verb waits (the team is next to the finish line)	change tr: Takım bitiş çizgisinin yanında bekliyor.
354	25312	hu	YES	noun_verb_place	hu drops the verb waits (the team is by the finish line)	change hu: A csapat a célvonal mellett vár.
355	25327	es	YES	number_person_gender	es Él (he) vs en She	change es: Él toma → Ella toma
